         4.75x4.75E               (475x475E.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1347      0.1053       0.000       0.001       0.002       0.015       0.000       0.010      64.855        0.02       2716.    0.3745  
        0.17      0.0372      0.0469      0.1341      0.1064       0.000       0.001       0.002       0.015       0.000       0.010      63.892        0.02       2719.    0.3682  
        0.33      0.0744      0.0922      0.1335      0.1076       0.000       0.001       0.002       0.016       0.000       0.010      62.879        0.02       2722.    0.3615  
        0.50      0.1116      0.1360      0.1328      0.1089       0.000       0.001       0.002       0.016       0.000       0.010      61.819        0.02       2726.    0.3545  
        0.67      0.1488      0.1782      0.1321      0.1103       0.000       0.001       0.002       0.016       0.000       0.010      60.716        0.02       2730.    0.3472  
        0.84      0.1860      0.2185      0.1313      0.1117       0.000       0.001       0.002       0.016       0.000       0.009      59.576        0.02       2734.    0.3396  
        1.00      0.2232      0.2570      0.1304      0.1132       0.000       0.001       0.002       0.016       0.000       0.009      58.403        0.02       2739.    0.3318  
        1.17      0.2604      0.2937      0.1294      0.1147       0.000       0.001       0.002       0.017       0.000       0.009      57.203        0.02       2745.    0.3238  
        1.34      0.2976      0.3285      0.1284      0.1163       0.000       0.001       0.002       0.017       0.000       0.009      55.983        0.02       2751.    0.3156  
        1.51      0.3348      0.3614      0.1272      0.1178       0.000       0.001       0.002       0.017       0.000       0.009      54.747        0.02       2758.    0.3072  
        1.67      0.3720      0.3925      0.1258      0.1192       0.000       0.001       0.002       0.017       0.000       0.009      53.502        0.02       2765.    0.2986  
        1.84      0.4091      0.4216      0.1242      0.1205       0.000       0.001       0.002       0.017       0.000       0.009      52.253        0.02       2772.    0.2898  
