         4.75x5.5E                (475x55E.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1365      0.1166       0.000       0.001       0.002       0.017       0.000       0.010      59.354        0.02       2715.    0.3451  
        0.19      0.0420      0.0485      0.1361      0.1178       0.000       0.001       0.002       0.017       0.000       0.010      58.584        0.02       2718.    0.3400  
        0.38      0.0840      0.0956      0.1356      0.1190       0.000       0.001       0.002       0.017       0.000       0.010      57.754        0.02       2722.    0.3346  
        0.57      0.1260      0.1413      0.1351      0.1204       0.000       0.001       0.002       0.017       0.000       0.010      56.867        0.02       2726.    0.3289  
        0.76      0.1679      0.1852      0.1345      0.1220       0.000       0.001       0.002       0.018       0.000       0.010      55.927        0.02       2731.    0.3228  
        0.94      0.2099      0.2274      0.1340      0.1237       0.000       0.002       0.002       0.018       0.000       0.010      54.936        0.02       2736.    0.3164  
        1.13      0.2519      0.2678      0.1334      0.1255       0.000       0.002       0.002       0.018       0.000       0.010      53.900        0.02       2742.    0.3098  
        1.32      0.2939      0.3062      0.1328      0.1274       0.000       0.002       0.002       0.018       0.000       0.010      52.825        0.02       2749.    0.3029  
        1.51      0.3359      0.3426      0.1320      0.1295       0.000       0.002       0.002       0.019       0.000       0.010      51.716        0.02       2757.    0.2957  
        1.70      0.3779      0.3769      0.1312      0.1316       0.000       0.002       0.002       0.019       0.000       0.009      50.580        0.02       2765.    0.2883  
        1.89      0.4198      0.4092      0.1303      0.1337       0.000       0.002       0.002       0.019       0.000       0.009      49.423        0.02       2773.    0.2808  
        2.08      0.4618      0.4395      0.1293      0.1359       0.000       0.002       0.002       0.020       0.000       0.009      48.251        0.02       2783.    0.2730  
        2.27      0.5038      0.4677      0.1281      0.1380       0.000       0.002       0.002       0.020       0.000       0.009      47.069        0.02       2793.    0.2650  
        2.46      0.5458      0.4939      0.1266      0.1399       0.000       0.002       0.002       0.020       0.000       0.009      45.882        0.02       2804.    0.2569  
        2.64      0.5878                                                                                                                                                            
        2.83      0.6298      0.5406      0.1226      0.1428       0.000       0.002       0.002       0.021       0.000       0.009      43.524        0.02       2828.    0.2398  
        3.02      0.6717      0.5616      0.1195      0.1429       0.000       0.002       0.002       0.021       0.000       0.009      42.393        0.02       2841.    0.2306  
        3.21      0.7137      0.5813      0.1155      0.1418       0.000       0.002       0.002       0.021       0.000       0.008      41.299        0.02       2855.    0.2209  
        3.40      0.7557      0.5993      0.1104      0.1393       0.000       0.002       0.002       0.020       0.000       0.008      40.212        0.02       2869.    0.2103  
        3.59      0.7977      0.6148      0.1045      0.1355       0.000       0.002       0.002       0.020       0.000       0.008      39.083        0.02       2885.    0.1988  
        3.78      0.8397      0.6268      0.0977      0.1308       0.000       0.002       0.002       0.019       0.000       0.007      37.854        0.02       2901.    0.1862  
        3.97      0.8817      0.6340      0.0902      0.1255       0.000       0.002       0.001       0.018       0.000       0.007      36.464        0.02       2918.    0.1723  
        4.16      0.9236      0.6348      0.0822      0.1196       0.000       0.001       0.001       0.017       0.000       0.006      34.851        0.02       2935.    0.1572  
        4.34      0.9656      0.6275      0.0736      0.1133       0.000       0.001       0.001       0.016       0.000       0.005      32.952        0.02       2953.    0.1407  
        4.53      1.0076      0.6099      0.0646      0.1068       0.000       0.001       0.001       0.015       0.000       0.005      30.694        0.02       2971.    0.1228  
        4.72      1.0496      0.5794      0.0552      0.1000       0.000       0.001       0.001       0.015       0.000       0.004      27.993        0.02       2991.    0.1035  
        4.91      1.0916      0.5327      0.0454      0.0931       0.000       0.001       0.001       0.014       0.000       0.003      24.747        0.02       3010.    0.0830  
        5.10      1.1336      0.4657      0.0354      0.0861       0.000       0.001       0.001       0.013       0.000       0.003      20.830        0.02       3030.    0.0617  
        5.29      1.1756      0.3728      0.0251      0.0791       0.000       0.001       0.000       0.011       0.000       0.002      16.079        0.02       3051.    0.0401  
        5.48      1.2175      0.2469      0.0146      0.0720       0.000       0.001       0.000       0.010       0.000       0.001      10.283        0.02       3073.    0.0196  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1373      0.1052       0.000       0.005       0.009       0.122       0.001       0.040      33.085        0.04       5430.    0.3858  
