         4x3.3E                   (4x33E.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1852      0.1518       0.000       0.001       0.002       0.009       0.000       0.007      73.496        0.02       3019.    0.4191  
        0.12      0.0308      0.0370      0.1834      0.1526       0.000       0.001       0.001       0.009       0.000       0.007      72.372        0.02       3022.    0.4106  
        0.23      0.0616      0.0728      0.1814      0.1534       0.000       0.001       0.001       0.009       0.000       0.007      71.223        0.02       3026.    0.4019  
        0.35      0.0923      0.1074      0.1793      0.1541       0.000       0.001       0.001       0.009       0.000       0.007      70.055        0.02       3030.    0.3930  
        0.47      0.1231      0.1408      0.1770      0.1548       0.000       0.001       0.001       0.010       0.000       0.006      68.869        0.02       3035.    0.3839  
        0.58      0.1539      0.1729      0.1745      0.1553       0.000       0.001       0.001       0.010       0.000       0.006      67.667        0.02       3040.    0.3745  
        0.70      0.1847      0.2038      0.1718      0.1557       0.000       0.001       0.001       0.010       0.000       0.006      66.451        0.02       3045.    0.3649  
        0.82      0.2155      0.2334      0.1689      0.1559       0.000       0.001       0.001       0.010       0.000       0.006      65.222        0.02       3050.    0.3551  
        0.93      0.2462      0.2616      0.1657      0.1559       0.000       0.001       0.001       0.010       0.000       0.006      63.982        0.02       3056.    0.3451  
        1.05      0.2770      0.2886      0.1622      0.1558       0.000       0.001       0.001       0.010       0.000       0.006      62.729        0.02       3063.    0.3348  
        1.17      0.3078      0.3141      0.1585      0.1553       0.000       0.001       0.001       0.010       0.000       0.006      61.462        0.02       3069.    0.3242  
        1.28      0.3386      0.3383      0.1545      0.1546       0.000       0.001       0.001       0.009       0.000       0.006      60.178        0.02       3077.    0.3134  
        1.40      0.3694      0.3611      0.1501      0.1536       0.000       0.001       0.001       0.009       0.000       0.005      58.872        0.02       3084.    0.3022  
        1.52      0.4001      0.3823      0.1454      0.1522       0.000       0.001       0.001       0.009       0.000       0.005      57.537        0.02       3092.    0.2907  
        1.63      0.4309      0.4019      0.1404      0.1505       0.000       0.001       0.001       0.009       0.000       0.005      56.166        0.02       3100.    0.2788  
        1.75      0.4617      0.4197      0.1349      0.1484       0.000       0.001       0.001       0.009       0.000       0.005      54.745        0.02       3109.    0.2664  
        1.87      0.4925      0.4356      0.1291      0.1460       0.000       0.001       0.001       0.009       0.000       0.005      53.260        0.02       3118.    0.2536  
        1.98      0.5233      0.4492      0.1229      0.1432       0.000       0.001       0.001       0.009       0.000       0.004      51.694        0.02       3127.    0.2401  
        2.10      0.5540      0.4602      0.1163      0.1400       0.000       0.001       0.001       0.009       0.000       0.004      50.025        0.02       3137.    0.2261  
        2.22      0.5848      0.4684      0.1094      0.1366       0.000       0.001       0.001       0.008       0.000       0.004      48.231        0.02       3147.    0.2114  
        2.33      0.6156      0.4732      0.1022      0.1329       0.000       0.001       0.001       0.008       0.000       0.004      46.286        0.02       3158.    0.1960  
        2.45      0.6464      0.4741      0.0946      0.1290       0.000       0.001       0.001       0.008       0.000       0.003      44.165        0.02       3169.    0.1800  
        2.56      0.6771      0.4705      0.0868      0.1250       0.000       0.001       0.001       0.008       0.000       0.003      41.842        0.02       3180.    0.1634  
        2.68      0.7079      0.4619      0.0788      0.1208       0.000       0.001       0.001       0.007       0.000       0.003      39.289        0.02       3192.    0.1461  
        2.80      0.7387      0.4474      0.0706      0.1165       0.000       0.001       0.001       0.007       0.000       0.003      36.474        0.02       3204.    0.1284  
        2.91      0.7695      0.4263      0.0621      0.1121       0.000       0.001       0.001       0.007       0.000       0.002      33.364        0.02       3216.    0.1102  
        3.03      0.8003      0.3976      0.0535      0.1077       0.000       0.001       0.000       0.007       0.000       0.002      29.923        0.02       3229.    0.0917  
        3.15      0.8310      0.3603      0.0447      0.1031       0.000       0.001       0.000       0.006       0.000       0.002      26.107        0.02       3242.    0.0731  
        3.26      0.8618      0.3130      0.0358      0.0985       0.000       0.001       0.000       0.006       0.000       0.001      21.870        0.02       3255.    0.0548  
        3.38      0.8926      0.2543      0.0268      0.0939       0.000       0.000       0.000       0.006       0.000       0.001      17.156        0.02       3269.    0.0372  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1867      0.1346       0.000       0.003       0.006       0.066       0.000       0.027      41.768        0.03       6038.    0.4783  
        0.25      0.0335      0.0456      0.1848      0.1357       0.000       0.003       0.006       0.067       0.000       0.027      40.994        0.03       6045.    0.4669  
        0.51      0.0671      0.0895      0.1826      0.1368       0.000       0.003       0.006       0.067       0.000       0.027      40.207        0.03       6054.    0.4553  
        0.76      0.1006      0.1316      0.1803      0.1378       0.000       0.003       0.006       0.068       0.000       0.026      39.410        0.03       6063.    0.4435  
        1.02      0.1341      0.1719      0.1778      0.1387       0.000       0.003       0.006       0.068       0.000       0.026      38.605        0.03       6073.    0.4314  
        1.27      0.1676      0.2104      0.1751      0.1395       0.000       0.003       0.006       0.069       0.000       0.025      37.795        0.03       6084.    0.4190  
        1.52      0.2012      0.2471      0.1720      0.1401       0.000       0.003       0.006       0.069       0.000       0.025      36.982        0.03       6096.    0.4065  
        1.78      0.2347      0.2819      0.1687      0.1405       0.000       0.003       0.006       0.069       0.000       0.024      36.168        0.03       6108.    0.3937  
        2.03      0.2682      0.3149      0.1651      0.1406       0.000       0.003       0.005       0.069       0.000       0.024      35.354        0.03       6122.    0.3807  
        2.29      0.3017      0.3461      0.1612      0.1405       0.000       0.003       0.005       0.069       0.000       0.023      34.539        0.03       6136.    0.3674  
        2.54      0.3353      0.3755      0.1568      0.1400       0.000       0.003       0.005       0.069       0.000       0.023      33.723        0.03       6151.    0.3539  
        2.79      0.3688      0.4030      0.1521      0.1392       0.000       0.003       0.005       0.068       0.000       0.022      32.904        0.03       6168.    0.3401  
        3.05      0.4023      0.4286      0.1470      0.1380       0.000       0.003       0.005       0.068       0.000       0.021      32.079        0.03       6185.    0.3260  
        3.30      0.4358      0.4522      0.1415      0.1364       0.000       0.003       0.005       0.067       0.000       0.021      31.242        0.03       6203.    0.3114  
        3.56      0.4694      0.4737      0.1355      0.1343       0.000       0.003       0.004       0.066       0.000       0.020      30.387        0.03       6222.    0.2964  
        3.81      0.5029      0.4928      0.1291      0.1317       0.000       0.003       0.004       0.065       0.000       0.019      29.505        0.03       6242.    0.2809  
        4.06      0.5364      0.5092      0.1222      0.1287       0.000       0.003       0.004       0.063       0.000       0.018      28.585        0.03       6263.    0.2648  
        4.32      0.5699      0.5227      0.1148      0.1252       0.000       0.003       0.004       0.062       0.000       0.017      27.614        0.03       6285.    0.2480  
        4.57      0.6035      0.5326      0.1071      0.1213       0.000       0.003       0.003       0.060       0.000       0.016      26.576        0.03       6308.    0.2305  
        4.83      0.6370      0.5385      0.0990      0.1172       0.000       0.002       0.003       0.058       0.000       0.014      25.455        0.03       6331.    0.2123  
        5.08      0.6705      0.5396      0.0907      0.1127       0.000       0.002       0.003       0.055       0.000       0.013      24.232        0.03       6356.    0.1934  
        5.33      0.7040      0.5351      0.0821      0.1080       0.000       0.002       0.003       0.053       0.000       0.012      22.886        0.03       6381.    0.1737  
        5.59      0.7376      0.5240      0.0732      0.1031       0.000       0.002       0.002       0.051       0.000       0.011      21.393        0.03       6407.    0.1534  
        5.84      0.7711      0.5052      0.0642      0.0979       0.000       0.002       0.002       0.048       0.000       0.009      19.726        0.03       6434.    0.1324  
        6.10      0.8046      0.4769      0.0549      0.0926       0.000       0.002       0.002       0.046       0.000       0.008      17.848        0.03       6461.    0.1108  
        6.35      0.8381      0.4375      0.0455      0.0872       0.000       0.002       0.001       0.043       0.000       0.007      15.717        0.03       6490.    0.0888  
        6.60      0.8717      0.3844      0.0360      0.0816       0.000       0.002       0.001       0.040       0.000       0.005      13.279        0.03       6519.    0.0667  
        6.86      0.9052      0.3145      0.0264      0.0759       0.000       0.002       0.001       0.037       0.000       0.004      10.463        0.03       6549.    0.0450  
        7.11      0.9387      0.2238      0.0167      0.0700       0.000       0.001       0.001       0.034       0.000       0.002       7.177        0.03       6580.    0.0246  
        7.37      0.9722      0.1066      0.0070      0.0641       0.000       0.001       0.000       0.032       0.000       0.001       3.301        0.03       6611.    0.0073  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1874      0.1269       0.000       0.006       0.014       0.211       0.001       0.061      29.639        0.05       9056.    0.5100  
        0.39      0.0342      0.0495      0.1854      0.1281       0.000       0.006       0.014       0.213       0.001       0.061      29.047        0.05       9068.    0.4972  
        0.78      0.0685      0.0970      0.1833      0.1293       0.000       0.006       0.013       0.215       0.001       0.060      28.447        0.05       9081.    0.4841  
        1.17      0.1027      0.1424      0.1809      0.1305       0.000       0.006       0.013       0.216       0.001       0.059      27.841        0.05       9095.    0.4707  
        1.56      0.1369      0.1858      0.1784      0.1315       0.000       0.006       0.013       0.218       0.001       0.058      27.232        0.05       9111.    0.4572  
        1.94      0.1712      0.2270      0.1756      0.1324       0.000       0.006       0.013       0.220       0.001       0.057      26.621        0.05       9128.    0.4434  
        2.33      0.2054      0.2661      0.1725      0.1331       0.000       0.006       0.013       0.221       0.001       0.056      26.010        0.05       9146.    0.4293  
        2.72      0.2396      0.3032      0.1691      0.1336       0.000       0.006       0.012       0.222       0.001       0.055      25.402        0.05       9165.    0.4152  
        3.11      0.2738      0.3383      0.1653      0.1338       0.000       0.006       0.012       0.222       0.001       0.054      24.796        0.05       9186.    0.4008  
        3.50      0.3081      0.3713      0.1613      0.1338       0.000       0.006       0.012       0.222       0.001       0.053      24.193        0.05       9208.    0.3862  
        3.89      0.3423      0.4023      0.1568      0.1334       0.000       0.006       0.012       0.221       0.001       0.051      23.593        0.05       9232.    0.3713  
        4.28      0.3765      0.4313      0.1519      0.1326       0.000       0.006       0.011       0.220       0.001       0.050      22.995        0.05       9257.    0.3562  
        4.67      0.4108      0.4583      0.1466      0.1314       0.000       0.006       0.011       0.218       0.001       0.048      22.397        0.05       9284.    0.3408  
        5.06      0.4450      0.4831      0.1408      0.1297       0.000       0.006       0.010       0.215       0.001       0.046      21.794        0.05       9312.    0.3251  
        5.45      0.4792      0.5057      0.1346      0.1275       0.000       0.006       0.010       0.212       0.001       0.044      21.182        0.05       9342.    0.3089  
        5.83      0.5135      0.5258      0.1279      0.1249       0.000       0.006       0.009       0.207       0.001       0.042      20.555        0.05       9373.    0.2922  
        6.22      0.5477      0.5431      0.1207      0.1217       0.000       0.006       0.009       0.202       0.001       0.039      19.905        0.05       9406.    0.2748  
