         5.1x5.0E-3               (51x50E-3.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2344      0.1925       0.000       0.003       0.005       0.040       0.000       0.022      57.505        0.02       4049.    0.4703  
        0.18      0.0366      0.0438      0.2326      0.1943       0.000       0.003       0.005       0.040       0.000       0.022      56.538        0.02       4055.    0.4606  
        0.35      0.0732      0.0861      0.2306      0.1961       0.000       0.003       0.005       0.041       0.000       0.022      55.545        0.02       4062.    0.4506  
        0.53      0.1098      0.1267      0.2284      0.1979       0.000       0.003       0.005       0.041       0.000       0.022      54.530        0.02       4069.    0.4403  
        0.71      0.1464      0.1658      0.2260      0.1995       0.000       0.003       0.005       0.041       0.000       0.022      53.496        0.02       4077.    0.4296  
        0.88      0.1830      0.2032      0.2233      0.2011       0.000       0.004       0.005       0.042       0.000       0.021      52.448        0.02       4085.    0.4187  
        1.06      0.2195      0.2389      0.2203      0.2024       0.000       0.004       0.005       0.042       0.000       0.021      51.387        0.02       4095.    0.4074  
        1.24      0.2561      0.2729      0.2169      0.2036       0.000       0.004       0.005       0.042       0.000       0.021      50.317        0.02       4105.    0.3958  
        1.41      0.2927      0.3052      0.2130      0.2043       0.000       0.004       0.005       0.042       0.000       0.020      49.241        0.02       4116.    0.3839  
        1.59      0.3293      0.3358      0.2088      0.2047       0.000       0.004       0.005       0.042       0.000       0.020      48.160        0.02       4127.    0.3717  
        1.77      0.3659      0.3647      0.2040      0.2046       0.000       0.004       0.004       0.042       0.000       0.020      47.075        0.02       4139.    0.3592  
        1.94      0.4025      0.3919      0.1986      0.2040       0.000       0.004       0.004       0.042       0.000       0.019      45.988        0.02       4152.    0.3462  
        2.12      0.4391      0.4174      0.1926      0.2026       0.000       0.004       0.004       0.042       0.000       0.018      44.895        0.02       4166.    0.3328  
        2.30      0.4757      0.4410      0.1859      0.2005       0.000       0.004       0.004       0.042       0.000       0.018      43.792        0.02       4181.    0.3190  
        2.47      0.5123      0.4628      0.1785      0.1976       0.000       0.003       0.004       0.041       0.000       0.017      42.670        0.02       4196.    0.3046  
        2.65      0.5489      0.4824      0.1705      0.1940       0.000       0.003       0.004       0.040       0.000       0.016      41.514        0.02       4212.    0.2896  
        2.83      0.5855      0.4996      0.1618      0.1896       0.000       0.003       0.003       0.039       0.000       0.016      40.305        0.02       4229.    0.2739  
        3.00      0.6220      0.5139      0.1525      0.1846       0.000       0.003       0.003       0.038       0.000       0.015      39.019        0.02       4247.    0.2574  
        3.18      0.6586      0.5248      0.1427      0.1791       0.000       0.003       0.003       0.037       0.000       0.014      37.631        0.02       4265.    0.2401  
        3.36      0.6952      0.5316      0.1324      0.1731       0.000       0.003       0.003       0.036       0.000       0.013      36.115        0.02       4284.    0.2220  
        3.53      0.7318      0.5337      0.1216      0.1667       0.000       0.003       0.003       0.035       0.000       0.012      34.443        0.02       4304.    0.2029  
        3.71      0.7684      0.5301      0.1104      0.1600       0.000       0.003       0.002       0.033       0.000       0.011      32.584        0.02       4324.    0.1829  
        3.89      0.8050      0.5199      0.0988      0.1530       0.000       0.003       0.002       0.032       0.000       0.009      30.502        0.02       4345.    0.1620  
        4.06      0.8416      0.5017      0.0868      0.1457       0.000       0.003       0.002       0.030       0.000       0.008      28.156        0.02       4367.    0.1402  
        4.24      0.8782      0.4740      0.0746      0.1381       0.000       0.002       0.002       0.029       0.000       0.007      25.495        0.02       4389.    0.1176  
        4.42      0.9148      0.4349      0.0620      0.1303       0.000       0.002       0.001       0.027       0.000       0.006      22.457        0.02       4412.    0.0944  
        4.59      0.9514      0.3820      0.0491      0.1223       0.000       0.002       0.001       0.025       0.000       0.005      18.966        0.02       4436.    0.0710  
        4.77      0.9880      0.3122      0.0361      0.1142       0.000       0.002       0.001       0.024       0.000       0.003      14.924        0.02       4460.    0.0479  
        4.95      1.0245      0.2214      0.0229      0.1059       0.000       0.002       0.000       0.022       0.000       0.002      10.205        0.02       4485.    0.0261  
        5.12      1.0611      0.1044      0.0096      0.0974       0.000       0.002       0.000       0.020       0.000       0.001       4.645        0.02       4510.    0.0077  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2362      0.1735       0.000       0.012       0.020       0.287       0.001       0.091      32.156        0.04       8097.    0.5280  
        0.36      0.0377      0.0504      0.2344      0.1756       0.000       0.012       0.020       0.291       0.001       0.090      31.538        0.04       8110.    0.5159  
        0.73      0.0755      0.0988      0.2325      0.1776       0.000       0.012       0.020       0.294       0.001       0.089      30.905        0.04       8124.    0.5035  
        1.09      0.1132      0.1451      0.2303      0.1797       0.000       0.013       0.020       0.298       0.001       0.088      30.260        0.04       8139.    0.4906  
        1.46      0.1510      0.1893      0.2278      0.1817       0.000       0.013       0.020       0.301       0.001       0.087      29.607        0.04       8156.    0.4774  
        1.82      0.1887      0.2313      0.2250      0.1836       0.000       0.013       0.019       0.304       0.001       0.086      28.948        0.04       8174.    0.4640  
        2.19      0.2265      0.2713      0.2219      0.1853       0.000       0.013       0.019       0.307       0.001       0.085      28.286        0.04       8193.    0.4502  
        2.55      0.2642      0.3091      0.2184      0.1867       0.000       0.013       0.019       0.309       0.001       0.084      27.624        0.04       8214.    0.4361  
        2.92      0.3020      0.3448      0.2144      0.1877       0.000       0.013       0.018       0.311       0.001       0.082      26.963        0.04       8237.    0.4218  
        3.28      0.3397      0.3784      0.2098      0.1884       0.000       0.013       0.018       0.312       0.001       0.080      26.305        0.04       8261.    0.4071  
        3.65      0.3774      0.4100      0.2048      0.1885       0.000       0.013       0.018       0.312       0.001       0.079      25.653        0.04       8287.    0.3922  
        4.01      0.4152      0.4396      0.1990      0.1880       0.000       0.013       0.017       0.311       0.001       0.076      25.006        0.04       8314.    0.3769  
        4.37      0.4529      0.4673      0.1926      0.1867       0.000       0.013       0.017       0.309       0.001       0.074      24.364        0.04       8343.    0.3613  
        4.74      0.4907      0.4930      0.1854      0.1846       0.000       0.013       0.016       0.306       0.001       0.071      23.726        0.04       8374.    0.3452  
        5.10      0.5284      0.5166      0.1775      0.1816       0.000       0.013       0.015       0.301       0.001       0.068      23.085        0.04       8407.    0.3286  
        5.47      0.5662      0.5379      0.1689      0.1778       0.000       0.012       0.015       0.294       0.001       0.065      22.435        0.04       8441.    0.3115  
        5.83      0.6039      0.5566      0.1596      0.1732       0.000       0.012       0.014       0.287       0.001       0.061      21.764        0.04       8476.    0.2938  
        6.20      0.6417      0.5722      0.1498      0.1680       0.000       0.012       0.013       0.278       0.001       0.057      21.060        0.04       8513.    0.2754  
        6.56      0.6794      0.5843      0.1394      0.1621       0.000       0.011       0.012       0.268       0.001       0.053      20.309        0.04       8552.    0.2562  
        6.93      0.7171      0.5921      0.1285      0.1557       0.000       0.011       0.011       0.258       0.001       0.049      19.498        0.04       8592.    0.2362  
        7.29      0.7549      0.5948      0.1172      0.1488       0.000       0.010       0.010       0.246       0.001       0.045      18.608        0.04       8634.    0.2153  
        7.66      0.7926      0.5915      0.1055      0.1414       0.000       0.010       0.009       0.234       0.001       0.040      17.623        0.04       8676.    0.1934  
        8.02      0.8304      0.5807      0.0935      0.1336       0.000       0.009       0.008       0.221       0.001       0.036      16.516        0.04       8721.    0.1706  
        8.39      0.8681      0.5609      0.0811      0.1255       0.000       0.009       0.007       0.208       0.001       0.031      15.259        0.04       8766.    0.1468  
        8.75      0.9059      0.5298      0.0684      0.1170       0.000       0.008       0.006       0.194       0.001       0.026      13.812        0.04       8813.    0.1221  
        9.11      0.9436      0.4843      0.0555      0.1082       0.000       0.008       0.005       0.179       0.001       0.021      12.121        0.04       8862.    0.0965  
        9.48      0.9814      0.4203      0.0424      0.0990       0.000       0.007       0.004       0.164       0.001       0.016      10.115        0.04       8911.    0.0704  
        9.84      1.0191      0.3318      0.0292      0.0896       0.000       0.006       0.003       0.148       0.001       0.011       7.689        0.04       8962.    0.0444  
