         5.25x8E                  (525x8E.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 05/03/2023                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1538      0.1638       0.000       0.003       0.004       0.039       0.000       0.017      43.089        0.02       3948.    0.2939  
        0.28      0.0558      0.0519      0.1533      0.1647       0.000       0.003       0.004       0.039       0.000       0.016      42.688        0.02       3955.    0.2906  
        0.56      0.1117      0.1028      0.1527      0.1660       0.000       0.003       0.004       0.040       0.000       0.016      42.225        0.02       3963.    0.2870  
        0.83      0.1675      0.1522      0.1523      0.1676       0.000       0.003       0.004       0.040       0.000       0.016      41.693        0.02       3972.    0.2829  
        1.11      0.2233      0.2000      0.1520      0.1697       0.000       0.003       0.004       0.041       0.000       0.016      41.092        0.02       3983.    0.2785  
        1.39      0.2792      0.2459      0.1516      0.1721       0.000       0.003       0.004       0.041       0.000       0.016      40.420        0.02       3996.    0.2737  
        1.67      0.3350      0.2897      0.1513      0.1750       0.000       0.004       0.004       0.042       0.000       0.016      39.680        0.02       4010.    0.2684  
        1.94      0.3908      0.3311      0.1510      0.1783       0.000       0.004       0.004       0.043       0.000       0.016      38.876        0.02       4026.    0.2627  
        2.22      0.4467      0.3701      0.1506      0.1818       0.000       0.004       0.004       0.043       0.000       0.016      38.015        0.02       4044.    0.2566  
        2.50      0.5025      0.4064      0.1501      0.1856       0.000       0.004       0.004       0.044       0.000       0.016      37.107        0.02       4064.    0.2500  
        2.78      0.5583      0.4400      0.1493      0.1895       0.000       0.004       0.004       0.045       0.000       0.016      36.160        0.02       4086.    0.2430  
        3.05      0.6142      0.4710      0.1482      0.1933       0.000       0.004       0.004       0.046       0.000       0.016      35.187        0.02       4109.    0.2356  
        3.33      0.6700      0.4993      0.1467      0.1968       0.000       0.004       0.004       0.047       0.000       0.016      34.196        0.02       4134.    0.2278  
        3.61      0.7258      0.5251      0.1446      0.1999       0.000       0.004       0.004       0.048       0.000       0.016      33.197        0.02       4162.    0.2195  
        3.89      0.7817      0.5485      0.1419      0.2022       0.000       0.004       0.003       0.048       0.000       0.015      32.196        0.02       4191.    0.2109  
        4.16      0.8375      0.5694      0.1384      0.2035       0.000       0.004       0.003       0.049       0.000       0.015      31.198        0.02       4222.    0.2018  
        4.44      0.8933      0.5881      0.1340      0.2035       0.000       0.004       0.003       0.049       0.000       0.014      30.205        0.02       4255.    0.1922  
        4.72      0.9492      0.6044      0.1286      0.2020       0.000       0.004       0.003       0.048       0.000       0.014      29.217        0.02       4289.    0.1822  
        5.00      1.0050      0.6182      0.1222      0.1987       0.000       0.004       0.003       0.048       0.000       0.013      28.227        0.02       4326.    0.1716  
        5.27      1.0608      0.6293      0.1149      0.1936       0.000       0.004       0.003       0.046       0.000       0.012      27.220        0.02       4364.    0.1604  
        5.55      1.1167      0.6368      0.1066      0.1869       0.000       0.004       0.003       0.045       0.000       0.011      26.167        0.02       4403.    0.1486  
        5.83      1.1725      0.6397      0.0976      0.1788       0.000       0.004       0.002       0.043       0.000       0.011      25.034        0.02       4444.    0.1360  
        6.11      1.2283      0.6366      0.0878      0.1695       0.000       0.003       0.002       0.041       0.000       0.009      23.779        0.02       4487.    0.1225  
        6.38      1.2842      0.6256      0.0776      0.1592       0.000       0.003       0.002       0.038       0.000       0.008      22.355        0.02       4531.    0.1083  
        6.66      1.3400      0.6046      0.0668      0.1481       0.000       0.003       0.002       0.035       0.000       0.007      20.703        0.02       4576.    0.0930  
        6.94      1.3958      0.5703      0.0557      0.1362       0.000       0.003       0.001       0.033       0.000       0.006      18.748        0.02       4623.    0.0769  
        7.22      1.4517      0.5183      0.0442      0.1238       0.000       0.003       0.001       0.030       0.000       0.005      16.384        0.02       4671.    0.0599  
        7.49      1.5075      0.4422      0.0325      0.1109       0.000       0.002       0.001       0.027       0.000       0.004      13.459        0.02       4720.    0.0422  
        7.77      1.5633      0.3318      0.0207      0.0976       0.000       0.002       0.001       0.023       0.000       0.002       9.738        0.02       4770.    0.0244  
        8.05      1.6192      0.1707      0.0089      0.0841       0.000       0.002       0.000       0.020       0.000       0.001       4.838        0.02       4822.    0.0079  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1550      0.1489       0.000       0.012       0.015       0.285       0.001       0.067      23.883        0.04       7896.    0.3270  
        0.57      0.0577      0.0595      0.1545      0.1499       0.000       0.012       0.015       0.287       0.001       0.067      23.650        0.04       7910.    0.3233  
        1.15      0.1155      0.1176      0.1541      0.1513       0.000       0.012       0.015       0.290       0.001       0.066      23.375        0.04       7927.    0.3191  
        1.72      0.1732      0.1740      0.1538      0.1531       0.000       0.012       0.015       0.293       0.001       0.066      23.055        0.04       7947.    0.3144  
        2.30      0.2309      0.2284      0.1536      0.1553       0.000       0.013       0.015       0.297       0.001       0.066      22.688        0.04       7970.    0.3092  
        2.87      0.2887      0.2803      0.1534      0.1580       0.000       0.013       0.015       0.302       0.001       0.066      22.274        0.04       7996.    0.3034  
        3.44      0.3464      0.3294      0.1532      0.1611       0.000       0.013       0.015       0.308       0.001       0.066      21.817        0.04       8027.    0.2970  
        4.02      0.4041      0.3755      0.1530      0.1647       0.000       0.013       0.015       0.315       0.002       0.066      21.319        0.04       8061.    0.2900  
        4.59      0.4619      0.4185      0.1527      0.1686       0.000       0.014       0.015       0.323       0.002       0.066      20.786        0.04       8099.    0.2825  
        5.17      0.5196      0.4581      0.1523      0.1727       0.000       0.014       0.015       0.331       0.002       0.066      20.226        0.04       8141.    0.2745  
        5.74      0.5773      0.4944      0.1515      0.1769       0.000       0.014       0.015       0.339       0.002       0.065      19.646        0.04       8187.    0.2659  
        6.31      0.6351      0.5274      0.1504      0.1811       0.000       0.015       0.015       0.347       0.002       0.065      19.053        0.04       8237.    0.2569  
        6.89      0.6928      0.5573      0.1487      0.1848       0.000       0.015       0.014       0.354       0.002       0.064      18.455        0.04       8291.    0.2475  
        7.46      0.7505      0.5842      0.1464      0.1880       0.000       0.015       0.014       0.360       0.002       0.063      17.857        0.04       8349.    0.2376  
        8.04      0.8083      0.6082      0.1432      0.1904       0.000       0.015       0.014       0.364       0.002       0.062      17.264        0.04       8411.    0.2272  
        8.61      0.8660      0.6296      0.1392      0.1915       0.000       0.015       0.013       0.367       0.002       0.060      16.680        0.04       8477.    0.2165  
        9.18      0.9237      0.6485      0.1342      0.1911       0.000       0.015       0.013       0.366       0.002       0.058      16.107        0.04       8547.    0.2052  
        9.76      0.9815      0.6650      0.1281      0.1890       0.000       0.015       0.012       0.362       0.002       0.055      15.545        0.04       8620.    0.1935  
       10.33      1.0392      0.6790      0.1208      0.1849       0.000       0.015       0.012       0.354       0.002       0.052      14.990        0.04       8698.    0.1812  
       10.91      1.0970      0.6901      0.1126      0.1790       0.000       0.014       0.011       0.343       0.002       0.048      14.432        0.04       8778.    0.1684  
       11.48      1.1547      0.6974      0.1035      0.1713       0.000       0.014       0.010       0.328       0.002       0.045      13.856        0.04       8862.    0.1550  
       12.05      1.2124      0.6998      0.0937      0.1623       0.000       0.013       0.009       0.311       0.001       0.040      13.242        0.04       8949.    0.1409  
       12.63      1.2702      0.6958      0.0832      0.1519       0.000       0.012       0.008       0.291       0.001       0.036      12.568        0.04       9040.    0.1261  
       13.20      1.3279      0.6834      0.0723      0.1405       0.000       0.011       0.007       0.269       0.001       0.031      11.807        0.05       9133.    0.1104  
       13.78      1.3856      0.6596      0.0611      0.1283       0.000       0.010       0.006       0.245       0.001       0.026      10.921        0.05       9229.    0.0938  
       14.35      1.4434      0.6201      0.0495      0.1152       0.000       0.009       0.005       0.220       0.001       0.021       9.856        0.05       9328.    0.0763  
       14.92      1.5011      0.5581      0.0377      0.1015       0.000       0.008       0.004       0.194       0.001       0.016       8.530        0.05       9429.    0.0576  
