         5.5x4.7E                 (55x47E.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1267      0.0920       0.000       0.002       0.004       0.028       0.000       0.016      60.306        0.02       3624.    0.3910  
        0.17      0.0328      0.0443      0.1256      0.0929       0.000       0.002       0.004       0.028       0.000       0.016      59.254        0.02       3628.    0.3826  
        0.34      0.0655      0.0870      0.1245      0.0937       0.000       0.002       0.004       0.028       0.000       0.016      58.165        0.02       3632.    0.3739  
        0.51      0.0983      0.1280      0.1232      0.0946       0.000       0.002       0.004       0.029       0.000       0.016      57.045        0.02       3636.    0.3648  
        0.68      0.1310      0.1672      0.1218      0.0954       0.000       0.002       0.004       0.029       0.000       0.016      55.898        0.02       3641.    0.3554  
        0.85      0.1638      0.2047      0.1202      0.0962       0.000       0.002       0.004       0.029       0.000       0.016      54.728        0.02       3646.    0.3457  
        1.02      0.1965      0.2403      0.1184      0.0969       0.000       0.002       0.003       0.029       0.000       0.015      53.539        0.02       3652.    0.3357  
        1.19      0.2293      0.2740      0.1165      0.0975       0.000       0.002       0.003       0.029       0.000       0.015      52.334        0.02       3658.    0.3254  
        1.36      0.2621      0.3059      0.1143      0.0979       0.000       0.002       0.003       0.030       0.000       0.015      51.115        0.02       3665.    0.3148  
        1.54      0.2948      0.3358      0.1118      0.0982       0.000       0.003       0.003       0.030       0.000       0.015      49.884        0.02       3672.    0.3039  
        1.71      0.3276      0.3638      0.1091      0.0983       0.000       0.003       0.003       0.030       0.000       0.014      48.640        0.02       3680.    0.2927  
        1.88      0.3603      0.3898      0.1062      0.0981       0.000       0.003       0.003       0.030       0.000       0.014      47.383        0.02       3688.    0.2813  
        2.05      0.3931      0.4138      0.1029      0.0977       0.000       0.002       0.003       0.030       0.000       0.013      46.109        0.02       3697.    0.2695  
