         5x3.7E-3                 (5x37E-3.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2149      0.1602       0.000       0.003       0.004       0.030       0.000       0.019      64.622        0.02       3958.    0.4962  
        0.13      0.0282      0.0372      0.2121      0.1606       0.000       0.003       0.004       0.030       0.000       0.019      63.615        0.02       3963.    0.4852  
        0.27      0.0564      0.0733      0.2089      0.1608       0.000       0.003       0.004       0.030       0.000       0.019      62.593        0.02       3968.    0.4739  
        0.40      0.0846      0.1081      0.2056      0.1609       0.000       0.003       0.004       0.030       0.000       0.018      61.556        0.02       3974.    0.4623  
        0.53      0.1128      0.1417      0.2020      0.1608       0.000       0.003       0.004       0.030       0.000       0.018      60.505        0.02       3980.    0.4503  
        0.67      0.1410      0.1740      0.1981      0.1605       0.000       0.003       0.004       0.030       0.000       0.018      59.438        0.02       3986.    0.4381  
        0.80      0.1692      0.2049      0.1939      0.1601       0.000       0.003       0.004       0.030       0.000       0.017      58.354        0.02       3993.    0.4255  
        0.93      0.1974      0.2346      0.1894      0.1593       0.000       0.003       0.004       0.030       0.000       0.017      57.252        0.02       4000.    0.4126  
        1.07      0.2256      0.2628      0.1845      0.1584       0.000       0.003       0.004       0.030       0.000       0.016      56.127        0.02       4008.    0.3993  
        1.20      0.2538      0.2896      0.1793      0.1571       0.000       0.002       0.004       0.029       0.000       0.016      54.975        0.02       4016.    0.3856  
        1.34      0.2820      0.3149      0.1738      0.1556       0.000       0.002       0.003       0.029       0.000       0.015      53.791        0.02       4024.    0.3714  
        1.47      0.3102      0.3385      0.1679      0.1538       0.000       0.002       0.003       0.029       0.000       0.015      52.566        0.02       4033.    0.3567  
        1.60      0.3384      0.3603      0.1616      0.1518       0.000       0.002       0.003       0.028       0.000       0.014      51.291        0.02       4042.    0.3415  
        1.74      0.3666      0.3801      0.1550      0.1494       0.000       0.002       0.003       0.028       0.000       0.014      49.955        0.02       4051.    0.3257  
        1.87      0.3948      0.3978      0.1480      0.1468       0.000       0.002       0.003       0.028       0.000       0.013      48.545        0.02       4061.    0.3093  
        2.00      0.4230      0.4131      0.1407      0.1440       0.000       0.002       0.003       0.027       0.000       0.012      47.046        0.02       4071.    0.2922  
        2.14      0.4512      0.4256      0.1330      0.1410       0.000       0.002       0.003       0.026       0.000       0.012      45.446        0.02       4082.    0.2745  
        2.27      0.4794      0.4351      0.1251      0.1378       0.000       0.002       0.002       0.026       0.000       0.011      43.727        0.02       4093.    0.2562  
        2.40      0.5076      0.4412      0.1169      0.1345       0.000       0.002       0.002       0.025       0.000       0.010      41.875        0.02       4104.    0.2371  
        2.54      0.5358      0.4435      0.1084      0.1310       0.000       0.002       0.002       0.025       0.000       0.010      39.872        0.02       4116.    0.2175  
        2.67      0.5640      0.4414      0.0997      0.1274       0.000       0.002       0.002       0.024       0.000       0.009      37.701        0.02       4128.    0.1972  
        2.80      0.5922      0.4344      0.0907      0.1237       0.000       0.002       0.002       0.023       0.000       0.008      35.340        0.02       4140.    0.1763  
        2.94      0.6204      0.4220      0.0815      0.1198       0.000       0.002       0.002       0.022       0.000       0.007      32.768        0.02       4153.    0.1549  
        3.07      0.6486      0.4033      0.0720      0.1158       0.000       0.002       0.001       0.022       0.000       0.006      29.958        0.02       4167.    0.1332  
        3.20      0.6768      0.3777      0.0624      0.1118       0.000       0.002       0.001       0.021       0.000       0.006      26.883        0.02       4180.    0.1112  
        3.34      0.7050      0.3440      0.0525      0.1076       0.000       0.002       0.001       0.020       0.000       0.005      23.510        0.02       4194.    0.0892  
        3.47      0.7332      0.3014      0.0425      0.1034       0.000       0.002       0.001       0.019       0.000       0.004      19.802        0.02       4208.    0.0676  
        3.61      0.7614      0.2484      0.0323      0.0990       0.000       0.002       0.001       0.019       0.000       0.003      15.717        0.02       4223.    0.0468  
        3.74      0.7896      0.1837      0.0220      0.0946       0.000       0.001       0.000       0.018       0.000       0.002      11.206        0.02       4238.    0.0275  
        3.87      0.8178      0.1055      0.0116      0.0902       0.000       0.001       0.000       0.017       0.000       0.001       6.215        0.02       4254.    0.0111  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2166      0.1433       0.000       0.009       0.017       0.215       0.001       0.077      36.406        0.04       7916.    0.5612  
        0.28      0.0294      0.0437      0.2136      0.1439       0.000       0.009       0.017       0.216       0.001       0.076      35.754        0.04       7926.    0.5473  
        0.56      0.0588      0.0857      0.2103      0.1444       0.000       0.009       0.017       0.217       0.001       0.075      35.097        0.04       7938.    0.5332  
        0.84      0.0883      0.1262      0.2068      0.1447       0.000       0.009       0.016       0.217       0.001       0.073      34.436        0.04       7949.    0.5188  
        1.11      0.1177      0.1650      0.2031      0.1448       0.000       0.009       0.016       0.217       0.001       0.072      33.771        0.04       7962.    0.5041  
        1.39      0.1471      0.2022      0.1990      0.1448       0.000       0.009       0.016       0.217       0.001       0.071      33.103        0.04       7975.    0.4891  
        1.67      0.1765      0.2377      0.1945      0.1445       0.000       0.009       0.015       0.217       0.001       0.069      32.431        0.04       7990.    0.4738  
        1.95      0.2059      0.2715      0.1897      0.1439       0.000       0.009       0.015       0.216       0.001       0.067      31.756        0.04       8005.    0.4582  
        2.23      0.2354      0.3036      0.1846      0.1431       0.000       0.009       0.015       0.215       0.001       0.065      31.074        0.04       8021.    0.4422  
        2.51      0.2648      0.3340      0.1790      0.1419       0.000       0.009       0.014       0.213       0.001       0.063      30.385        0.04       8037.    0.4259  
        2.79      0.2942      0.3626      0.1731      0.1405       0.000       0.009       0.014       0.211       0.001       0.061      29.685        0.04       8055.    0.4091  
        3.06      0.3236      0.3892      0.1668      0.1387       0.000       0.009       0.013       0.208       0.001       0.059      28.969        0.04       8074.    0.3919  
        3.34      0.3531      0.4138      0.1601      0.1366       0.000       0.009       0.013       0.205       0.001       0.057      28.233        0.04       8093.    0.3741  
        3.62      0.3825      0.4362      0.1529      0.1341       0.000       0.009       0.012       0.201       0.001       0.054      27.470        0.04       8113.    0.3558  
        3.90      0.4119      0.4561      0.1455      0.1314       0.000       0.008       0.012       0.197       0.001       0.052      26.673        0.04       8134.    0.3370  
        4.18      0.4413      0.4733      0.1377      0.1283       0.000       0.008       0.011       0.193       0.001       0.049      25.834        0.04       8156.    0.3175  
        4.46      0.4707      0.4875      0.1295      0.1251       0.000       0.008       0.010       0.188       0.001       0.046      24.943        0.04       8179.    0.2974  
        4.74      0.5002      0.4982      0.1211      0.1216       0.000       0.008       0.010       0.182       0.001       0.043      23.992        0.04       8202.    0.2766  
        5.01      0.5296      0.5050      0.1124      0.1179       0.000       0.007       0.009       0.177       0.001       0.040      22.970        0.04       8227.    0.2551  
        5.29      0.5590      0.5074      0.1034      0.1140       0.000       0.007       0.008       0.171       0.001       0.037      21.865        0.04       8252.    0.2329  
        5.57      0.5884      0.5048      0.0942      0.1098       0.000       0.007       0.008       0.165       0.001       0.033      20.663        0.04       8278.    0.2101  
