         6x3R-RH                  (6x3R-RH.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0644      0.0306       0.000       0.001       0.003       0.014       0.000       0.012      84.549        0.02       4301.    0.4265  
        0.09      0.0156      0.0323      0.0638      0.0307       0.000       0.001       0.003       0.014       0.000       0.012      83.354        0.02       4302.    0.4185  
        0.18      0.0311      0.0637      0.0632      0.0309       0.000       0.001       0.003       0.014       0.000       0.012      82.122        0.02       4304.    0.4102  
        0.27      0.0467      0.0940      0.0624      0.0310       0.000       0.001       0.003       0.014       0.000       0.011      80.859        0.02       4306.    0.4014  
        0.35      0.0623      0.1234      0.0615      0.0310       0.000       0.001       0.003       0.014       0.000       0.011      79.565        0.02       4308.    0.3923  
        0.44      0.0778      0.1517      0.0606      0.0311       0.000       0.001       0.003       0.015       0.000       0.011      78.240        0.02       4309.    0.3827  
        0.53      0.0934      0.1788      0.0595      0.0311       0.000       0.001       0.002       0.015       0.000       0.011      76.887        0.02       4312.    0.3728  
        0.62      0.1089      0.2049      0.0583      0.0310       0.000       0.001       0.002       0.014       0.000       0.011      75.503        0.02       4314.    0.3624  
        0.71      0.1245      0.2298      0.0570      0.0309       0.000       0.001       0.002       0.014       0.000       0.010      74.087        0.02       4316.    0.3516  
        0.80      0.1401      0.2534      0.0556      0.0307       0.000       0.001       0.002       0.014       0.000       0.010      72.638        0.02       4319.    0.3403  
