         7.4x7.7C                 (74x77C.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1482      0.1148       0.000       0.013       0.014       0.153       0.001       0.063      42.005        0.03       8124.    0.3964  
        0.27      0.0387      0.0490      0.1471      0.1163       0.000       0.013       0.014       0.155       0.001       0.063      41.156        0.03       8134.    0.3869  
        0.54      0.0775      0.0958      0.1459      0.1179       0.000       0.013       0.014       0.157       0.001       0.062      40.277        0.03       8145.    0.3771  
        0.81      0.1162      0.1405      0.1445      0.1195       0.000       0.013       0.014       0.159       0.002       0.061      39.375        0.03       8158.    0.3669  
        1.09      0.1549      0.1830      0.1430      0.1211       0.000       0.014       0.014       0.161       0.002       0.061      38.454        0.03       8172.    0.3565  
        1.36      0.1936      0.2232      0.1414      0.1226       0.000       0.014       0.014       0.163       0.002       0.060      37.520        0.03       8188.    0.3458  
        1.63      0.2324      0.2611      0.1395      0.1241       0.000       0.014       0.013       0.165       0.002       0.059      36.576        0.03       8205.    0.3348  
        1.90      0.2711      0.2967      0.1373      0.1255       0.000       0.014       0.013       0.167       0.002       0.058      35.626        0.03       8224.    0.3236  
        2.17      0.3098      0.3300      0.1349      0.1266       0.000       0.014       0.013       0.169       0.002       0.057      34.674        0.03       8245.    0.3122  
        2.44      0.3485      0.3611      0.1322      0.1276       0.000       0.014       0.013       0.170       0.002       0.056      33.721        0.03       8267.    0.3005  
        2.71      0.3873      0.3899      0.1291      0.1282       0.000       0.014       0.012       0.171       0.002       0.055      32.768        0.03       8291.    0.2886  
        2.99      0.4260      0.4164      0.1256      0.1285       0.000       0.014       0.012       0.171       0.002       0.053      31.815        0.03       8317.    0.2764  
        3.26      0.4647      0.4406      0.1217      0.1283       0.000       0.014       0.012       0.171       0.002       0.052      30.861        0.03       8344.    0.2639  
