         7x11E                    (7x11E.dat)
         v2022-0915
         Simulation Date: 11/07/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1488      0.1479       0.000       0.013       0.011       0.149       0.001       0.051      34.613        0.03       6539.    0.3096
        0.39      0.0589      0.0587      0.1484      0.1487       0.000       0.013       0.011       0.150       0.001       0.050      34.336        0.03       6550.    0.3067
        0.78      0.1178      0.1164      0.1480      0.1498       0.000       0.013       0.011       0.151       0.001       0.050      34.004        0.03       6564.    0.3033
        1.17      0.1766      0.1725      0.1477      0.1513       0.000       0.013       0.011       0.153       0.001       0.050      33.609        0.03       6581.    0.2995
        1.56      0.2355      0.2268      0.1476      0.1532       0.000       0.013       0.011       0.155       0.001       0.050      33.146        0.03       6600.    0.2953
        1.95      0.2944      0.2790      0.1476      0.1557       0.000       0.013       0.011       0.157       0.001       0.050      32.614        0.03       6623.    0.2905
        2.34      0.3533      0.3286      0.1476      0.1586       0.000       0.014       0.011       0.160       0.002       0.050      32.012        0.03       6648.    0.2851
        2.73      0.4121      0.3754      0.1476      0.1621       0.000       0.014       0.011       0.163       0.002       0.050      31.344        0.03       6677.    0.2792
        3.12      0.4710      0.4191      0.1477      0.1660       0.000       0.014       0.011       0.167       0.002       0.050      30.615        0.03       6709.    0.2728
        3.51      0.5299      0.4594      0.1477      0.1703       0.000       0.015       0.011       0.172       0.002       0.050      29.835        0.03       6744.    0.2658
        3.90      0.5888      0.4964      0.1475      0.1749       0.000       0.015       0.011       0.176       0.002       0.050      29.013        0.03       6783.    0.2583
        4.29      0.6476      0.5300      0.1470      0.1797       0.000       0.015       0.011       0.181       0.002       0.050      28.160        0.03       6826.    0.2504
        4.68      0.7065      0.5603      0.1462      0.1844       0.000       0.016       0.011       0.186       0.002       0.050      27.290        0.03       6871.    0.2420
        5.07      0.7654      0.5875      0.1449      0.1888       0.000       0.016       0.011       0.190       0.002       0.049      26.412        0.03       6921.    0.2331
        5.46      0.8243      0.6117      0.1429      0.1926       0.000       0.016       0.011       0.194       0.002       0.049      25.539        0.03       6973.    0.2239
        5.85      0.8831      0.6334      0.1401      0.1953       0.000       0.017       0.011       0.197       0.002       0.048      24.679        0.03       7029.    0.2142
        6.24      0.9420      0.6527      0.1362      0.1966       0.000       0.017       0.010       0.198       0.002       0.046      23.842        0.03       7088.    0.2040
        6.63      1.0009      0.6700      0.1311      0.1958       0.000       0.017       0.010       0.197       0.002       0.045      23.034        0.03       7151.    0.1933
        7.03      1.0598      0.6853      0.1246      0.1927       0.000       0.016       0.010       0.194       0.002       0.042      22.251        0.03       7217.    0.1821
        7.42      1.1186      0.6982      0.1169      0.1873       0.000       0.016       0.009       0.189       0.002       0.040      21.477        0.03       7286.    0.1702
        7.81      1.1775      0.7077      0.1081      0.1798       0.000       0.015       0.008       0.181       0.002       0.037      20.683        0.03       7358.    0.1576
        8.20      1.2364      0.7126      0.0983      0.1706       0.000       0.015       0.008       0.172       0.002       0.033      19.832        0.03       7432.    0.1442
        8.59      1.2953      0.7109      0.0878      0.1599       0.000       0.014       0.007       0.161       0.002       0.030      18.887        0.03       7509.    0.1297
        8.98      1.3542      0.7004      0.0766      0.1481       0.000       0.013       0.006       0.149       0.001       0.026      17.799        0.03       7589.    0.1142
        9.37      1.4130      0.6779      0.0650      0.1354       0.000       0.012       0.005       0.137       0.001       0.022      16.509        0.03       7671.    0.0976
        9.76      1.4719      0.6387      0.0529      0.1219       0.000       0.010       0.004       0.123       0.001       0.018      14.932        0.03       7756.    0.0796
       10.15      1.5308      0.5757      0.0405      0.1077       0.000       0.009       0.003       0.109       0.001       0.014      12.941        0.03       7842.    0.0604
       10.54      1.5897      0.4771      0.0279      0.0931       0.000       0.008       0.002       0.094       0.001       0.010      10.329        0.03       7931.    0.0400
       10.93      1.6485      0.3222      0.0152      0.0780       0.000       0.007       0.001       0.079       0.001       0.005       6.726        0.03       8022.    0.0193
       11.32      1.7074      0.0701      0.0026      0.0627       0.000       0.005       0.000       0.063       0.001       0.001       1.412        0.03       8115.    0.0017



         PROP RPM =       2000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1496      0.1380       0.001       0.047       0.046       1.113       0.005       0.204      18.651        0.06      13077.    0.3345
        0.79      0.0598      0.0643      0.1492      0.1388       0.002       0.047       0.046       1.120       0.005       0.203      18.498        0.06      13101.    0.3313
        1.59      0.1197      0.1273      0.1489      0.1399       0.002       0.048       0.046       1.129       0.005       0.203      18.311        0.06      13130.    0.3277
        2.38      0.1795      0.1887      0.1488      0.1415       0.002       0.048       0.046       1.142       0.005       0.203      18.086        0.06      13163.    0.3235
