         7x3.8WSF                 (7x38WSF.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1709      0.0811       0.000       0.007       0.013       0.082       0.001       0.058      72.506        0.03      10745.    0.6950  
        0.16      0.0242      0.0499      0.1675      0.0811       0.000       0.007       0.013       0.082       0.001       0.057      71.102        0.03      10756.    0.6748  
        0.32      0.0483      0.0979      0.1640      0.0810       0.000       0.007       0.013       0.082       0.001       0.056      69.695        0.03      10768.    0.6544  
        0.48      0.0725      0.1438      0.1603      0.0808       0.000       0.007       0.012       0.081       0.001       0.055      68.286        0.03      10781.    0.6339  
        0.64      0.0966      0.1878      0.1564      0.0805       0.000       0.007       0.012       0.081       0.001       0.053      66.874        0.03      10794.    0.6132  
        0.80      0.1208      0.2298      0.1523      0.0801       0.000       0.007       0.012       0.081       0.001       0.052      65.457        0.03      10808.    0.5923  
        0.96      0.1450      0.2697      0.1480      0.0796       0.000       0.007       0.011       0.080       0.001       0.050      64.031        0.03      10823.    0.5712  
        1.12      0.1691      0.3076      0.1436      0.0789       0.000       0.007       0.011       0.080       0.001       0.049      62.595        0.03      10838.    0.5500  
        1.28      0.1933      0.3434      0.1389      0.0782       0.000       0.007       0.011       0.079       0.001       0.047      61.144        0.03      10854.    0.5284  
        1.44      0.2174      0.3770      0.1341      0.0773       0.000       0.007       0.010       0.078       0.001       0.046      59.673        0.03      10871.    0.5067  
        1.60      0.2416      0.4084      0.1290      0.0763       0.000       0.007       0.010       0.077       0.001       0.044      58.177        0.03      10888.    0.4846  
        1.76      0.2657      0.4375      0.1238      0.0752       0.000       0.006       0.009       0.076       0.001       0.042      56.650        0.03      10906.    0.4622  
        1.92      0.2899      0.4641      0.1184      0.0739       0.000       0.006       0.009       0.075       0.001       0.040      55.083        0.03      10925.    0.4394  
        2.08      0.3141      0.4880      0.1127      0.0725       0.000       0.006       0.009       0.073       0.001       0.038      53.469        0.03      10944.    0.4162  
        2.24      0.3382      0.5091      0.1069      0.0710       0.000       0.006       0.008       0.072       0.001       0.036      51.796        0.03      10964.    0.3926  
        2.40      0.3624      0.5271      0.1008      0.0693       0.000       0.006       0.008       0.070       0.001       0.034      50.053        0.03      10985.    0.3685  
        2.56      0.3865      0.5417      0.0946      0.0675       0.000       0.006       0.007       0.068       0.001       0.032      48.227        0.03      11007.    0.3439  
        2.72      0.4107      0.5526      0.0882      0.0655       0.000       0.006       0.007       0.066       0.001       0.030      46.304        0.03      11029.    0.3188  
        2.88      0.4349      0.5594      0.0816      0.0635       0.000       0.005       0.006       0.064       0.001       0.028      44.268        0.03      11052.    0.2933  
        3.04      0.4590      0.5616      0.0749      0.0613       0.000       0.005       0.006       0.062       0.001       0.026      42.100        0.03      11075.    0.2672  
        3.20      0.4832      0.5585      0.0681      0.0589       0.000       0.005       0.005       0.059       0.001       0.023      39.774        0.03      11100.    0.2407  
        3.36      0.5073      0.5493      0.0612      0.0565       0.000       0.005       0.005       0.057       0.001       0.021      37.260        0.03      11125.    0.2137  
        3.52      0.5315      0.5332      0.0541      0.0539       0.000       0.005       0.004       0.054       0.001       0.018      34.522        0.03      11151.    0.1862  
        3.68      0.5556      0.5088      0.0469      0.0513       0.000       0.004       0.004       0.052       0.000       0.016      31.511        0.03      11177.    0.1583  
        3.84      0.5798      0.4746      0.0397      0.0485       0.000       0.004       0.003       0.049       0.000       0.014      28.169        0.03      11204.    0.1301  
        4.00      0.6040      0.4286      0.0323      0.0456       0.000       0.004       0.002       0.046       0.000       0.011      24.421        0.03      11232.    0.1018  
        4.16      0.6281      0.3682      0.0249      0.0426       0.000       0.004       0.002       0.043       0.000       0.008      20.170        0.03      11261.    0.0739  
        4.32      0.6523      0.2899      0.0175      0.0395       0.000       0.003       0.001       0.040       0.000       0.006      15.293        0.03      11290.    0.0470  
        4.48      0.6764      0.1893      0.0102      0.0363       0.000       0.003       0.001       0.037       0.000       0.003       9.630        0.03      11321.    0.0225  
        4.64      0.7006      0.0602      0.0028      0.0330       0.000       0.003       0.000       0.033       0.000       0.001       2.958        0.03      11351.    0.0037  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1711      0.0796       0.001       0.027       0.052       0.642       0.003       0.233      36.996        0.06      21489.    0.7096  
        0.32      0.0245      0.0516      0.1677      0.0796       0.001       0.027       0.051       0.642       0.003       0.228      36.262        0.06      21513.    0.6885  
        0.65      0.0490      0.1011      0.1641      0.0795       0.001       0.027       0.050       0.641       0.003       0.223      35.528        0.06      21537.    0.6674  
        0.97      0.0735      0.1485      0.1603      0.0793       0.001       0.027       0.049       0.640       0.003       0.218      34.796        0.06      21563.    0.6461  
        1.30      0.0979      0.1939      0.1563      0.0790       0.001       0.027       0.048       0.637       0.003       0.213      34.064        0.06      21590.    0.6246  
        1.62      0.1224      0.2372      0.1522      0.0786       0.001       0.027       0.047       0.634       0.003       0.207      33.332        0.06      21618.    0.6031  
        1.95      0.1469      0.2783      0.1479      0.0781       0.001       0.027       0.045       0.630       0.003       0.201      32.599        0.06      21648.    0.5813  
        2.27      0.1714      0.3174      0.1434      0.0774       0.001       0.026       0.044       0.625       0.003       0.195      31.862        0.06      21679.    0.5594  
        2.60      0.1959      0.3543      0.1386      0.0766       0.001       0.026       0.042       0.618       0.003       0.189      31.120        0.06      21712.    0.5373  
        2.92      0.2204      0.3890      0.1337      0.0757       0.001       0.026       0.041       0.611       0.003       0.182      30.371        0.06      21746.    0.5150  
        3.25      0.2448      0.4214      0.1286      0.0747       0.001       0.025       0.039       0.603       0.003       0.175      29.612        0.06      21781.    0.4924  
        3.57      0.2693      0.4514      0.1232      0.0735       0.001       0.025       0.038       0.593       0.003       0.168      28.839        0.06      21818.    0.4694  
        3.90      0.2938      0.4790      0.1177      0.0722       0.001       0.025       0.036       0.582       0.003       0.160      28.049        0.06      21856.    0.4462  
        4.22      0.3183      0.5039      0.1119      0.0707       0.001       0.024       0.034       0.570       0.003       0.152      27.237        0.06      21896.    0.4226  
        4.54      0.3428      0.5259      0.1060      0.0691       0.001       0.024       0.032       0.557       0.003       0.144      26.398        0.06      21937.    0.3985  
