         7x4.1SF                  (7x41SF.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1336      0.0575       0.000       0.005       0.010       0.058       0.001       0.045      79.940        0.03       6110.    0.6775  
        0.17      0.0260      0.0590      0.1320      0.0582       0.000       0.005       0.010       0.059       0.001       0.045      77.980        0.03       6116.    0.6569  
        0.35      0.0521      0.1151      0.1302      0.0589       0.000       0.005       0.010       0.059       0.001       0.044      76.043        0.03       6121.    0.6362  
        0.52      0.0781      0.1684      0.1282      0.0595       0.000       0.005       0.010       0.060       0.001       0.044      74.136        0.03       6127.    0.6155  
        0.69      0.1042      0.2188      0.1260      0.0600       0.000       0.005       0.010       0.061       0.001       0.043      72.263        0.03       6134.    0.5948  
        0.86      0.1302      0.2665      0.1236      0.0604       0.000       0.005       0.009       0.061       0.001       0.042      70.424        0.03       6141.    0.5741  
        1.04      0.1563      0.3117      0.1210      0.0607       0.000       0.005       0.009       0.061       0.001       0.041      68.621        0.03       6149.    0.5534  
        1.21      0.1823      0.3542      0.1181      0.0608       0.000       0.005       0.009       0.061       0.001       0.040      66.852        0.03       6157.    0.5326  
        1.38      0.2084      0.3943      0.1149      0.0607       0.000       0.005       0.009       0.061       0.001       0.039      65.114        0.03       6166.    0.5118  
