         7x5                      (7x5.dat)                                                                                                                                         
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1176      0.0839       0.000       0.007       0.009       0.085       0.001       0.040      48.261        0.03       6083.    0.3838  
        0.19      0.0286      0.0394      0.1163      0.0845       0.000       0.007       0.009       0.085       0.001       0.040      47.349        0.03       6088.    0.3744  
        0.38      0.0572      0.0772      0.1148      0.0851       0.000       0.007       0.009       0.086       0.001       0.039      46.414        0.03       6094.    0.3647  
        0.57      0.0858      0.1134      0.1132      0.0857       0.000       0.007       0.009       0.086       0.001       0.039      45.459        0.03       6100.    0.3547  
        0.76      0.1144      0.1479      0.1115      0.0862       0.000       0.007       0.009       0.087       0.001       0.038      44.485        0.03       6107.    0.3444  
        0.95      0.1430      0.1808      0.1095      0.0867       0.000       0.007       0.008       0.087       0.001       0.037      43.494        0.03       6114.    0.3338  
        1.14      0.1716      0.2119      0.1074      0.0870       0.000       0.007       0.008       0.088       0.001       0.037      42.488        0.03       6122.    0.3229  
        1.33      0.2002      0.2413      0.1051      0.0872       0.000       0.007       0.008       0.088       0.001       0.036      41.466        0.03       6131.    0.3117  
        1.52      0.2288      0.2688      0.1026      0.0873       0.000       0.007       0.008       0.088       0.001       0.035      40.427        0.03       6140.    0.3002  
        1.71      0.2574      0.2945      0.0998      0.0872       0.000       0.007       0.008       0.088       0.001       0.034      39.372        0.03       6150.    0.2884  
        1.90      0.2860      0.3183      0.0968      0.0870       0.000       0.007       0.007       0.088       0.001       0.033      38.298        0.03       6161.    0.2763  
        2.09      0.3146      0.3401      0.0936      0.0866       0.000       0.007       0.007       0.087       0.001       0.032      37.202        0.03       6172.    0.2639  
        2.28      0.3432      0.3599      0.0901      0.0859       0.000       0.007       0.007       0.087       0.001       0.031      36.080        0.03       6184.    0.2511  
        2.46      0.3718      0.3774      0.0863      0.0851       0.000       0.007       0.007       0.086       0.001       0.029      34.927        0.03       6197.    0.2379  
        2.65      0.4004      0.3926      0.0823      0.0840       0.000       0.007       0.006       0.085       0.001       0.028      33.737        0.03       6210.    0.2244  
        2.84      0.4290      0.4052      0.0781      0.0826       0.000       0.007       0.006       0.083       0.001       0.027      32.502        0.03       6224.    0.2106  
        3.03      0.4576      0.4152      0.0736      0.0811       0.000       0.007       0.006       0.082       0.001       0.025      31.216        0.03       6239.    0.1963  
        3.22      0.4862      0.4221      0.0689      0.0794       0.000       0.007       0.005       0.080       0.001       0.023      29.868        0.03       6255.    0.1818  
        3.41      0.5149      0.4256      0.0641      0.0775       0.000       0.007       0.005       0.078       0.001       0.022      28.448        0.03       6271.    0.1669  
        3.60      0.5435      0.4256      0.0590      0.0754       0.000       0.006       0.005       0.076       0.001       0.020      26.945        0.03       6288.    0.1518  
        3.79      0.5721      0.4213      0.0539      0.0732       0.000       0.006       0.004       0.074       0.001       0.018      25.345        0.03       6305.    0.1364  
        3.98      0.6007      0.4125      0.0486      0.0708       0.000       0.006       0.004       0.071       0.001       0.017      23.632        0.03       6324.    0.1208  
        4.17      0.6293      0.3984      0.0432      0.0682       0.000       0.006       0.003       0.069       0.001       0.015      21.786        0.03       6343.    0.1050  
        4.36      0.6579      0.3782      0.0377      0.0655       0.000       0.006       0.003       0.066       0.001       0.013      19.783        0.03       6362.    0.0890  
