         7x6W                     (7x6W.dat)                                                                                                                                        
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1464      0.1097       0.000       0.009       0.011       0.111       0.001       0.050      45.943        0.03       7542.    0.4076  
        0.22      0.0336      0.0439      0.1449      0.1108       0.000       0.009       0.011       0.112       0.001       0.049      45.023        0.03       7550.    0.3974  
        0.45      0.0672      0.0860      0.1433      0.1119       0.000       0.010       0.011       0.113       0.001       0.049      44.082        0.03       7560.    0.3870  
        0.67      0.1007      0.1262      0.1415      0.1129       0.000       0.010       0.011       0.114       0.001       0.048      43.124        0.03       7570.    0.3762  
        0.89      0.1343      0.1645      0.1396      0.1139       0.000       0.010       0.011       0.115       0.001       0.048      42.152        0.03       7581.    0.3651  
        1.11      0.1679      0.2009      0.1374      0.1149       0.000       0.010       0.011       0.116       0.001       0.047      41.169        0.03       7593.    0.3539  
        1.34      0.2015      0.2352      0.1350      0.1157       0.000       0.010       0.010       0.117       0.001       0.046      40.176        0.03       7606.    0.3423  
        1.56      0.2350      0.2676      0.1324      0.1163       0.000       0.010       0.010       0.117       0.001       0.045      39.175        0.03       7621.    0.3305  
        1.78      0.2686      0.2979      0.1295      0.1168       0.000       0.010       0.010       0.118       0.001       0.044      38.168        0.03       7636.    0.3185  
