         8.625x3.75               (8625x375.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0679      0.0417       0.000       0.010       0.012       0.119       0.001       0.053      45.471        0.03       6228.    0.3384  
        0.16      0.0197      0.0314      0.0666      0.0418       0.000       0.010       0.012       0.120       0.001       0.052      44.572        0.03       6231.    0.3287  
        0.32      0.0394      0.0616      0.0653      0.0418       0.000       0.010       0.012       0.120       0.001       0.051      43.647        0.03       6234.    0.3187  
        0.48      0.0591      0.0903      0.0639      0.0418       0.000       0.010       0.011       0.120       0.001       0.050      42.695        0.03       6237.    0.3084  
        0.64      0.0788      0.1177      0.0624      0.0418       0.000       0.010       0.011       0.120       0.001       0.049      41.717        0.03       6241.    0.2978  
        0.80      0.0985      0.1435      0.0609      0.0418       0.000       0.010       0.011       0.120       0.001       0.048      40.711        0.03       6245.    0.2870  
        0.97      0.1181      0.1679      0.0592      0.0417       0.000       0.010       0.010       0.119       0.001       0.046      39.678        0.03       6249.    0.2758  
        1.13      0.1378      0.1906      0.0574      0.0415       0.000       0.010       0.010       0.119       0.001       0.045      38.616        0.03       6253.    0.2644  
        1.29      0.1575      0.2117      0.0556      0.0414       0.000       0.010       0.010       0.119       0.001       0.044      37.523        0.03       6258.    0.2528  
        1.45      0.1772      0.2310      0.0537      0.0412       0.000       0.010       0.009       0.118       0.001       0.042      36.399        0.03       6263.    0.2409  
        1.61      0.1969      0.2485      0.0516      0.0409       0.000       0.010       0.009       0.117       0.001       0.041      35.241        0.03       6268.    0.2288  
        1.77      0.2166      0.2641      0.0495      0.0406       0.000       0.010       0.009       0.116       0.001       0.039      34.047        0.03       6274.    0.2165  
        1.93      0.2363      0.2777      0.0474      0.0403       0.000       0.010       0.008       0.115       0.001       0.037      32.815        0.03       6280.    0.2040  
        2.09      0.2560      0.2891      0.0451      0.0399       0.000       0.010       0.008       0.114       0.001       0.035      31.543        0.03       6286.    0.1914  
        2.25      0.2757      0.2984      0.0428      0.0395       0.000       0.010       0.008       0.113       0.001       0.034      30.227        0.03       6292.    0.1786  
        2.41      0.2954      0.3053      0.0404      0.0390       0.000       0.009       0.007       0.112       0.001       0.032      28.864        0.03       6299.    0.1657  
        2.57      0.3151      0.3097      0.0379      0.0385       0.000       0.009       0.007       0.110       0.001       0.030      27.451        0.03       6306.    0.1527  
        2.73      0.3348      0.3114      0.0353      0.0380       0.000       0.009       0.006       0.109       0.001       0.028      25.982        0.03       6314.    0.1396  
        2.90      0.3544      0.3104      0.0327      0.0374       0.000       0.009       0.006       0.107       0.001       0.026      24.454        0.03       6321.    0.1264  
        3.06      0.3741      0.3062      0.0301      0.0368       0.000       0.009       0.005       0.105       0.001       0.024      22.859        0.03       6329.    0.1133  
        3.22      0.3938      0.2988      0.0274      0.0361       0.000       0.009       0.005       0.103       0.001       0.021      21.191        0.03       6338.    0.1002  
        3.38      0.4135      0.2879      0.0246      0.0353       0.000       0.009       0.004       0.101       0.001       0.019      19.444        0.03       6347.    0.0871  
        3.54      0.4332      0.2731      0.0218      0.0346       0.000       0.008       0.004       0.099       0.001       0.017      17.608        0.03       6356.    0.0743  
        3.70      0.4529      0.2542      0.0189      0.0337       0.000       0.008       0.003       0.097       0.001       0.015      15.672        0.03       6365.    0.0616  
        3.86      0.4726      0.2306      0.0160      0.0329       0.000       0.008       0.003       0.094       0.001       0.013      13.627        0.03       6375.    0.0493  
        4.02      0.4923      0.2020      0.0131      0.0320       0.000       0.008       0.002       0.092       0.001       0.010      11.458        0.03       6385.    0.0375  
        4.18      0.5120      0.1678      0.0102      0.0310       0.000       0.008       0.002       0.089       0.001       0.008       9.151        0.03       6396.    0.0264  
        4.34      0.5317      0.1273      0.0072      0.0300       0.000       0.007       0.001       0.086       0.001       0.006       6.689        0.03       6406.    0.0162  
        4.50      0.5514      0.0800      0.0042      0.0290       0.000       0.007       0.001       0.083       0.001       0.003       4.052        0.03       6418.    0.0075  
        4.66      0.5711      0.0249      0.0012      0.0279       0.000       0.007       0.000       0.080       0.001       0.001       1.217        0.03       6429.    0.0012  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0684      0.0331       0.001       0.032       0.048       0.759       0.004       0.215      28.841        0.07      12456.    0.4309  
        0.34      0.0208      0.0419      0.0671      0.0333       0.001       0.032       0.047       0.762       0.004       0.211      28.170        0.07      12462.    0.4169  
        0.68      0.0415      0.0818      0.0657      0.0334       0.001       0.032       0.046       0.765       0.004       0.206      27.488        0.07      12469.    0.4026  
        1.02      0.0623      0.1195      0.0642      0.0335       0.001       0.032       0.045       0.767       0.004       0.202      26.796        0.07      12476.    0.3880  
        1.36      0.0831      0.1552      0.0627      0.0335       0.001       0.032       0.044       0.768       0.004       0.197      26.093        0.07      12484.    0.3732  
        1.70      0.1038      0.1887      0.0610      0.0336       0.001       0.032       0.043       0.769       0.004       0.191      25.382        0.07      12492.    0.3582  
        2.04      0.1246      0.2200      0.0592      0.0335       0.001       0.032       0.042       0.768       0.004       0.186      24.660        0.07      12501.    0.3429  
        2.37      0.1454      0.2491      0.0573      0.0335       0.001       0.032       0.040       0.767       0.004       0.180      23.928        0.07      12510.    0.3274  
        2.71      0.1661      0.2758      0.0554      0.0333       0.001       0.032       0.039       0.764       0.004       0.174      23.186        0.07      12520.    0.3117  
        3.05      0.1869      0.3002      0.0533      0.0332       0.001       0.032       0.038       0.760       0.004       0.167      22.432        0.07      12531.    0.2959  
        3.39      0.2077      0.3222      0.0511      0.0330       0.001       0.032       0.036       0.755       0.004       0.160      21.665        0.07      12542.    0.2799  
        3.73      0.2284      0.3416      0.0489      0.0327       0.001       0.032       0.034       0.749       0.004       0.153      20.884        0.07      12554.    0.2638  
        4.07      0.2492      0.3585      0.0465      0.0324       0.001       0.031       0.033       0.742       0.004       0.146      20.087        0.07      12567.    0.2476  
        4.41      0.2699      0.3726      0.0441      0.0320       0.001       0.031       0.031       0.733       0.003       0.138      19.272        0.07      12581.    0.2313  
        4.75      0.2907      0.3838      0.0416      0.0315       0.001       0.031       0.029       0.722       0.003       0.131      18.436        0.07      12595.    0.2149  
        5.09      0.3115      0.3921      0.0390      0.0310       0.001       0.030       0.028       0.711       0.003       0.123      17.576        0.07      12610.    0.1985  
        5.43      0.3322      0.3971      0.0364      0.0305       0.001       0.029       0.026       0.698       0.003       0.114      16.688        0.07      12625.    0.1819  
        5.77      0.3530      0.3986      0.0337      0.0298       0.001       0.029       0.024       0.684       0.003       0.106      15.769        0.07      12641.    0.1654  
        6.11      0.3738      0.3965      0.0309      0.0291       0.001       0.028       0.022       0.668       0.003       0.097      14.811        0.07      12658.    0.1488  
        6.44      0.3945      0.3902      0.0281      0.0284       0.001       0.027       0.020       0.650       0.003       0.088      13.810        0.07      12676.    0.1322  
        6.78      0.4153      0.3794      0.0252      0.0276       0.001       0.027       0.018       0.632       0.003       0.079      12.756        0.07      12695.    0.1157  
        7.12      0.4361      0.3635      0.0222      0.0267       0.001       0.026       0.016       0.611       0.003       0.070      11.641        0.07      12714.    0.0992  
        7.46      0.4568      0.3419      0.0193      0.0257       0.001       0.025       0.014       0.590       0.003       0.060      10.452        0.07      12734.    0.0829  
        7.80      0.4776      0.3138      0.0162      0.0247       0.001       0.024       0.011       0.566       0.003       0.051       9.174        0.07      12755.    0.0668  
        8.14      0.4984      0.2780      0.0132      0.0236       0.001       0.023       0.009       0.541       0.003       0.041       7.789        0.07      12776.    0.0511  
        8.48      0.5191      0.2333      0.0101      0.0225       0.001       0.022       0.007       0.515       0.002       0.032       6.275        0.07      12799.    0.0360  
        8.82      0.5399      0.1779      0.0070      0.0213       0.001       0.021       0.005       0.487       0.002       0.022       4.601        0.07      12822.    0.0220  
        9.16      0.5607      0.1096      0.0039      0.0200       0.001       0.019       0.003       0.458       0.002       0.012       2.730        0.07      12846.    0.0098  
        9.50      0.5814      0.0254      0.0008      0.0187       0.001       0.018       0.001       0.428       0.002       0.003       0.609        0.07      12870.    0.0010  
        9.84      0.6022                                                                                                                                                            
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
