         8.75x7.5N                (875x75N.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1052      0.0698       0.000       0.018       0.020       0.215       0.002       0.087      41.503        0.03       7315.    0.3902  
        0.28      0.0343      0.0506      0.1047      0.0709       0.000       0.018       0.020       0.218       0.002       0.087      40.636        0.03       7322.    0.3810  
        0.57      0.0685      0.0989      0.1041      0.0721       0.000       0.019       0.019       0.222       0.002       0.086      39.734        0.03       7329.    0.3715  
        0.85      0.1028      0.1449      0.1033      0.0733       0.000       0.019       0.019       0.226       0.002       0.086      38.804        0.03       7338.    0.3615  
        1.14      0.1370      0.1884      0.1025      0.0746       0.000       0.019       0.019       0.229       0.002       0.085      37.850        0.03       7347.    0.3512  
        1.42      0.1713      0.2295      0.1015      0.0758       0.000       0.020       0.019       0.233       0.002       0.084      36.878        0.03       7357.    0.3406  
        1.70      0.2056      0.2680      0.1004      0.0770       0.000       0.020       0.019       0.237       0.002       0.083      35.892        0.03       7368.    0.3296  
        1.99      0.2398      0.3040      0.0991      0.0782       0.000       0.020       0.019       0.241       0.002       0.082      34.899        0.03       7381.    0.3184  
        2.27      0.2741      0.3375      0.0976      0.0792       0.000       0.021       0.018       0.244       0.002       0.081      33.903        0.03       7395.    0.3069  
        2.55      0.3083      0.3686      0.0957      0.0801       0.000       0.021       0.018       0.246       0.002       0.080      32.906        0.03       7410.    0.2951  
        2.84      0.3426      0.3971      0.0936      0.0808       0.000       0.021       0.017       0.249       0.002       0.078      31.912        0.03       7426.    0.2830  
        3.12      0.3769      0.4233      0.0912      0.0812       0.000       0.021       0.017       0.250       0.002       0.076      30.920        0.03       7444.    0.2706  
        3.41      0.4111      0.4470      0.0884      0.0813       0.000       0.021       0.017       0.250       0.002       0.073      29.930        0.04       7462.    0.2578  
        3.69      0.4454      0.4682      0.0851      0.0810       0.000       0.021       0.016       0.249       0.002       0.071      28.939        0.04       7482.    0.2447  
        3.97      0.4796      0.4868      0.0815      0.0803       0.000       0.021       0.015       0.247       0.002       0.068      27.944        0.04       7504.    0.2312  
        4.26      0.5139      0.5028      0.0775      0.0792       0.000       0.021       0.014       0.244       0.002       0.064      26.936        0.04       7527.    0.2174  
        4.54      0.5482      0.5159      0.0732      0.0778       0.000       0.020       0.014       0.239       0.002       0.061      25.909        0.04       7551.    0.2032  
        4.83      0.5824      0.5258      0.0686      0.0760       0.000       0.020       0.013       0.234       0.002       0.057      24.852        0.04       7576.    0.1886  
        5.11      0.6167      0.5321      0.0637      0.0739       0.000       0.019       0.012       0.227       0.002       0.053      23.752        0.04       7602.    0.1738  
        5.39      0.6509      0.5343      0.0586      0.0714       0.000       0.019       0.011       0.220       0.002       0.049      22.598        0.04       7630.    0.1586  
        5.68      0.6852      0.5320      0.0534      0.0687       0.000       0.018       0.010       0.212       0.002       0.044      21.374        0.04       7659.    0.1431  
        5.96      0.7195      0.5242      0.0479      0.0658       0.000       0.017       0.009       0.202       0.002       0.040      20.060        0.04       7689.    0.1273  
        6.25      0.7537      0.5101      0.0424      0.0626       0.000       0.016       0.008       0.193       0.002       0.035      18.633        0.04       7720.    0.1112  
        6.53      0.7880      0.4884      0.0367      0.0592       0.000       0.015       0.007       0.182       0.002       0.030      17.064        0.04       7753.    0.0947  
        6.81      0.8222      0.4573      0.0309      0.0556       0.000       0.014       0.006       0.171       0.002       0.026      15.311        0.04       7786.    0.0780  
        7.10      0.8565      0.4144      0.0250      0.0517       0.000       0.013       0.005       0.159       0.002       0.021      13.321        0.04       7821.    0.0611  
        7.38      0.8908      0.3564      0.0191      0.0476       0.000       0.012       0.004       0.147       0.001       0.016      11.016        0.04       7857.    0.0441  
        7.66      0.9250      0.2785      0.0131      0.0434       0.000       0.011       0.002       0.134       0.001       0.011       8.288        0.04       7894.    0.0275  
        7.95      0.9593      0.1732      0.0070      0.0390       0.000       0.010       0.001       0.120       0.001       0.006       4.971        0.04       7932.    0.0121  
        8.23      0.9935      0.0292      0.0010      0.0344       0.000       0.009       0.000       0.106       0.001       0.001       0.809        0.04       7971.    0.0007  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
