         8.75x7.5NN               (875x75NN.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0937      0.0633       0.000       0.016       0.017       0.195       0.002       0.078      40.742        0.03       6484.    0.3614  
        0.28      0.0344      0.0498      0.0932      0.0643       0.000       0.017       0.017       0.198       0.002       0.077      39.925        0.03       6489.    0.3533  
        0.57      0.0687      0.0975      0.0927      0.0653       0.000       0.017       0.017       0.201       0.002       0.077      39.070        0.03       6496.    0.3448  
        0.85      0.1031      0.1429      0.0922      0.0665       0.000       0.017       0.017       0.204       0.002       0.077      38.182        0.03       6502.    0.3360  
        1.14      0.1374      0.1860      0.0915      0.0676       0.000       0.018       0.017       0.208       0.002       0.076      37.267        0.03       6510.    0.3267  
        1.42      0.1718      0.2267      0.0908      0.0688       0.000       0.018       0.017       0.212       0.002       0.075      36.330        0.03       6519.    0.3172  
        1.71      0.2061      0.2649      0.0899      0.0699       0.000       0.018       0.017       0.215       0.002       0.075      35.377        0.03       6529.    0.3073  
        1.99      0.2405      0.3006      0.0888      0.0710       0.000       0.018       0.017       0.219       0.002       0.074      34.412        0.03       6540.    0.2972  
        2.28      0.2748      0.3338      0.0875      0.0721       0.000       0.019       0.016       0.222       0.002       0.073      33.442        0.03       6552.    0.2868  
        2.56      0.3092      0.3646      0.0861      0.0730       0.000       0.019       0.016       0.225       0.002       0.071      32.469        0.03       6565.    0.2761  
        2.85      0.3435      0.3930      0.0843      0.0737       0.000       0.019       0.016       0.227       0.002       0.070      31.496        0.03       6579.    0.2651  
        3.13      0.3779      0.4190      0.0823      0.0742       0.000       0.019       0.015       0.228       0.002       0.068      30.524        0.03       6594.    0.2537  
        3.42      0.4122      0.4425      0.0799      0.0744       0.000       0.019       0.015       0.229       0.002       0.066      29.552        0.04       6611.    0.2421  
        3.70      0.4466      0.4636      0.0771      0.0743       0.000       0.019       0.014       0.229       0.002       0.064      28.578        0.04       6628.    0.2300  
        3.98      0.4809      0.4821      0.0740      0.0738       0.000       0.019       0.014       0.227       0.002       0.061      27.598        0.04       6647.    0.2176  
        4.27      0.5153      0.4980      0.0705      0.0729       0.000       0.019       0.013       0.224       0.002       0.059      26.604        0.04       6667.    0.2047  
        4.55      0.5496      0.5109      0.0667      0.0717       0.000       0.019       0.012       0.221       0.002       0.055      25.590        0.04       6688.    0.1915  
        4.84      0.5840      0.5207      0.0625      0.0701       0.000       0.018       0.012       0.216       0.002       0.052      24.545        0.04       6710.    0.1779  
        5.12      0.6183      0.5269      0.0581      0.0682       0.000       0.018       0.011       0.210       0.002       0.048      23.457        0.04       6734.    0.1639  
        5.41      0.6527      0.5290      0.0535      0.0661       0.000       0.017       0.010       0.203       0.002       0.044      22.313        0.04       6758.    0.1496  
        5.69      0.6870      0.5265      0.0488      0.0636       0.000       0.017       0.009       0.196       0.002       0.041      21.097        0.04       6784.    0.1350  
        5.98      0.7214      0.5186      0.0438      0.0610       0.000       0.016       0.008       0.188       0.002       0.036      19.791        0.04       6810.    0.1201  
        6.26      0.7557      0.5043      0.0388      0.0581       0.000       0.015       0.007       0.179       0.002       0.032      18.372        0.04       6838.    0.1048  
        6.55      0.7901      0.4824      0.0336      0.0550       0.000       0.014       0.006       0.169       0.002       0.028      16.810        0.04       6867.    0.0893  
        6.83      0.8244      0.4512      0.0283      0.0517       0.000       0.013       0.005       0.159       0.002       0.023      15.067        0.04       6897.    0.0734  
        7.12      0.8588      0.4084      0.0229      0.0482       0.000       0.013       0.004       0.148       0.001       0.019      13.092        0.04       6928.    0.0574  
        7.40      0.8932      0.3507      0.0175      0.0445       0.000       0.012       0.003       0.137       0.001       0.015      10.811        0.04       6959.    0.0414  
        7.68      0.9275      0.2737      0.0120      0.0407       0.000       0.011       0.002       0.125       0.001       0.010       8.125        0.04       6992.    0.0258  
        7.97      0.9619      0.1706      0.0065      0.0367       0.000       0.010       0.001       0.113       0.001       0.005       4.883        0.04       7026.    0.0114  
        8.25      0.9962      0.0310      0.0010      0.0326       0.000       0.008       0.000       0.100       0.001       0.001       0.856        0.04       7061.    0.0008  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0943      0.0527       0.002       0.055       0.070       1.298       0.006       0.313      24.626        0.07      12968.    0.4384  
        0.58      0.0350      0.0611      0.0939      0.0538       0.002       0.056       0.070       1.324       0.006       0.312      24.038        0.07      12979.    0.4270  
        1.16      0.0699      0.1190      0.0935      0.0549       0.002       0.057       0.070       1.352       0.006       0.311      23.425        0.07      12991.    0.4152  
        1.74      0.1049      0.1737      0.0930      0.0561       0.002       0.058       0.069       1.382       0.007       0.309      22.794        0.07      13006.    0.4028  
        2.32      0.1399      0.2250      0.0923      0.0574       0.002       0.060       0.069       1.413       0.007       0.307      22.149        0.07      13022.    0.3901  
        2.90      0.1748      0.2730      0.0916      0.0587       0.002       0.061       0.068       1.444       0.007       0.304      21.494        0.07      13040.    0.3771  
        3.48      0.2098      0.3175      0.0907      0.0599       0.002       0.062       0.068       1.476       0.007       0.302      20.834        0.07      13060.    0.3638  
        4.06      0.2448      0.3587      0.0897      0.0612       0.002       0.064       0.067       1.506       0.007       0.298      20.175        0.07      13082.    0.3502  
        4.64      0.2797      0.3967      0.0884      0.0624       0.002       0.065       0.066       1.535       0.007       0.294      19.520        0.07      13107.    0.3365  
        5.21      0.3147      0.4314      0.0869      0.0634       0.002       0.066       0.065       1.561       0.007       0.289      18.871        0.07      13134.    0.3225  
        5.79      0.3497      0.4632      0.0852      0.0643       0.002       0.067       0.064       1.583       0.008       0.283      18.233        0.07      13163.    0.3084  
        6.37      0.3846      0.4919      0.0830      0.0649       0.002       0.068       0.062       1.598       0.008       0.276      17.605        0.07      13195.    0.2941  
        6.95      0.4196      0.5179      0.0806      0.0653       0.002       0.068       0.060       1.607       0.008       0.268      16.989        0.07      13229.    0.2795  
        7.53      0.4546      0.5410      0.0777      0.0653       0.002       0.068       0.058       1.608       0.008       0.258      16.383        0.07      13265.    0.2647  
        8.11      0.4895      0.5614      0.0745      0.0649       0.002       0.068       0.056       1.598       0.008       0.247      15.787        0.07      13304.    0.2497  
        8.69      0.5245      0.5790      0.0708      0.0642       0.002       0.067       0.053       1.580       0.008       0.235      15.195        0.07      13345.    0.2344  
        9.27      0.5595      0.5936      0.0669      0.0630       0.002       0.066       0.050       1.551       0.007       0.222      14.606        0.07      13389.    0.2189  
        9.85      0.5944      0.6051      0.0626      0.0615       0.002       0.064       0.047       1.514       0.007       0.208      14.012        0.07      13435.    0.2032  
       10.43      0.6294      0.6130      0.0581      0.0596       0.002       0.062       0.043       1.468       0.007       0.193      13.407        0.07      13483.    0.1873  
       11.01      0.6644      0.6170      0.0533      0.0574       0.002       0.060       0.040       1.414       0.007       0.177      12.783        0.07      13534.    0.1711  
       11.59      0.6993      0.6164      0.0484      0.0550       0.002       0.057       0.036       1.353       0.006       0.161      12.132        0.07      13586.    0.1548  
       12.17      0.7343      0.6104      0.0434      0.0522       0.002       0.054       0.032       1.285       0.006       0.144      11.442        0.07      13641.    0.1382  
       12.75      0.7693      0.5979      0.0382      0.0492       0.002       0.051       0.029       1.211       0.006       0.127      10.698        0.07      13699.    0.1212  
       13.33      0.8042      0.5773      0.0330      0.0459       0.002       0.048       0.025       1.130       0.005       0.110       9.881        0.07      13758.    0.1040  
       13.91      0.8392      0.5464      0.0276      0.0424       0.001       0.044       0.021       1.044       0.005       0.092       8.962        0.07      13820.    0.0863  
       14.49      0.8742      0.5018      0.0222      0.0387       0.001       0.040       0.017       0.952       0.005       0.074       7.902        0.07      13883.    0.0682  
       15.07      0.9091      0.4384      0.0167      0.0347       0.001       0.036       0.012       0.854       0.004       0.056       6.638        0.07      13949.    0.0498  
       15.64      0.9441      0.3478      0.0112      0.0305       0.001       0.032       0.008       0.751       0.004       0.037       5.070        0.07      14017.    0.0312  
       16.22      0.9791      0.2154      0.0058      0.0261       0.001       0.027       0.004       0.644       0.003       0.019       3.028        0.07      14087.    0.0133  
       16.80      1.0140      0.0138      0.0003      0.0216       0.001       0.022       0.000       0.532       0.003       0.001       0.187        0.07      14159.    0.0002  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0946      0.0483       0.005       0.113       0.159       4.015       0.013       0.708      17.969        0.10      19452.    0.4806  
        0.88      0.0352      0.0671      0.0943      0.0494       0.006       0.116       0.158       4.106       0.013       0.705      17.501        0.10      19468.    0.4672  
        1.75      0.0704      0.1306      0.0938      0.0506       0.006       0.118       0.158       4.204       0.013       0.701      17.016        0.10      19487.    0.4532  
        2.63      0.1056      0.1901      0.0933      0.0518       0.006       0.121       0.157       4.307       0.014       0.698      16.518        0.10      19509.    0.4387  
        3.50      0.1408      0.2457      0.0927      0.0531       0.006       0.124       0.156       4.415       0.014       0.693      16.012        0.10      19533.    0.4239  
        4.38      0.1760      0.2974      0.0920      0.0545       0.006       0.127       0.155       4.525       0.014       0.688      15.500        0.10      19561.    0.4088  
        5.25      0.2113      0.3450      0.0911      0.0558       0.006       0.131       0.153       4.636       0.015       0.681      14.988        0.10      19591.    0.3934  
        6.13      0.2465      0.3889      0.0901      0.0571       0.006       0.134       0.151       4.745       0.015       0.674      14.479        0.10      19625.    0.3779  
        7.00      0.2817      0.4290      0.0889      0.0583       0.007       0.137       0.149       4.847       0.015       0.664      13.976        0.10      19662.    0.3622  
        7.88      0.3169      0.4656      0.0874      0.0595       0.007       0.139       0.147       4.940       0.016       0.653      13.483        0.10      19703.    0.3465  
        8.75      0.3521      0.4988      0.0856      0.0604       0.007       0.141       0.144       5.018       0.016       0.640      13.000        0.10      19748.    0.3306  
        9.63      0.3873      0.5288      0.0834      0.0611       0.007       0.143       0.140       5.077       0.016       0.624      12.529        0.10      19796.    0.3147  
