         8.75x8.75W               (875x875W.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0979      0.0693       0.000       0.018       0.018       0.213       0.002       0.081      38.868        0.03       6632.    0.3525  
        0.31      0.0377      0.0522      0.0975      0.0704       0.000       0.018       0.018       0.217       0.002       0.081      38.133        0.03       6638.    0.3452  
        0.62      0.0754      0.1023      0.0972      0.0716       0.000       0.019       0.018       0.220       0.002       0.081      37.353        0.03       6645.    0.3374  
        0.94      0.1130      0.1500      0.0967      0.0729       0.000       0.019       0.018       0.224       0.002       0.080      36.532        0.03       6653.    0.3293  
        1.25      0.1507      0.1953      0.0962      0.0743       0.000       0.019       0.018       0.229       0.002       0.080      35.676        0.03       6662.    0.3208  
        1.56      0.1884      0.2381      0.0957      0.0757       0.000       0.020       0.018       0.233       0.002       0.079      34.788        0.03       6672.    0.3119  
        1.87      0.2261      0.2782      0.0950      0.0772       0.000       0.020       0.018       0.238       0.002       0.079      33.876        0.03       6684.    0.3027  
        2.19      0.2638      0.3157      0.0943      0.0788       0.000       0.020       0.018       0.242       0.002       0.078      32.945        0.03       6697.    0.2932  
        2.50      0.3014      0.3504      0.0934      0.0803       0.000       0.021       0.017       0.247       0.002       0.078      32.002        0.03       6711.    0.2834  
        2.81      0.3391      0.3825      0.0923      0.0818       0.000       0.021       0.017       0.252       0.002       0.077      31.050        0.03       6727.    0.2733  
        3.12      0.3768      0.4119      0.0909      0.0831       0.000       0.022       0.017       0.256       0.002       0.075      30.096        0.03       6744.    0.2629  
        3.43      0.4145      0.4388      0.0892      0.0842       0.000       0.022       0.017       0.259       0.002       0.074      29.144        0.04       6762.    0.2522  
        3.75      0.4522      0.4631      0.0870      0.0850       0.000       0.022       0.016       0.261       0.002       0.072      28.197        0.04       6782.    0.2411  
        4.06      0.4899      0.4849      0.0844      0.0853       0.000       0.022       0.016       0.262       0.003       0.070      27.254        0.04       6804.    0.2295  
        4.37      0.5275      0.5043      0.0813      0.0851       0.000       0.022       0.015       0.262       0.002       0.068      26.316        0.04       6826.    0.2175  
        4.68      0.5652      0.5210      0.0777      0.0843       0.000       0.022       0.015       0.259       0.002       0.065      25.375        0.04       6851.    0.2050  
        5.00      0.6029      0.5349      0.0737      0.0831       0.000       0.022       0.014       0.256       0.002       0.061      24.424        0.04       6876.    0.1922  
        5.31      0.6406      0.5457      0.0693      0.0813       0.000       0.021       0.013       0.250       0.002       0.058      23.452        0.04       6904.    0.1789  
        5.62      0.6783      0.5530      0.0645      0.0791       0.000       0.021       0.012       0.244       0.002       0.054      22.446        0.04       6932.    0.1652  
        5.93      0.7159      0.5563      0.0595      0.0766       0.000       0.020       0.011       0.236       0.002       0.049      21.392        0.04       6962.    0.1512  
        6.24      0.7536      0.5550      0.0542      0.0736       0.000       0.019       0.010       0.227       0.002       0.045      20.274        0.04       6993.    0.1368  
        6.56      0.7913      0.5482      0.0488      0.0704       0.000       0.018       0.009       0.217       0.002       0.041      19.074        0.04       7026.    0.1221  
        6.87      0.8290      0.5350      0.0431      0.0668       0.000       0.017       0.008       0.206       0.002       0.036      17.767        0.04       7059.    0.1069  
        7.18      0.8667      0.5139      0.0374      0.0630       0.000       0.016       0.007       0.194       0.002       0.031      16.324        0.04       7094.    0.0915  
        7.49      0.9043      0.4830      0.0315      0.0589       0.000       0.015       0.006       0.181       0.002       0.026      14.705        0.04       7131.    0.0756  
        7.81      0.9420      0.4398      0.0255      0.0546       0.000       0.014       0.005       0.168       0.002       0.021      12.854        0.04       7168.    0.0595  
        8.12      0.9797      0.3806      0.0195      0.0501       0.000       0.013       0.004       0.154       0.001       0.016      10.696        0.04       7207.    0.0432  
        8.43      1.0174      0.3000      0.0134      0.0453       0.000       0.012       0.002       0.139       0.001       0.011       8.119        0.04       7247.    0.0272  
        8.74      1.0551      0.1898      0.0073      0.0404       0.000       0.011       0.001       0.124       0.001       0.006       4.953        0.04       7288.    0.0122  
        9.05      1.0927      0.0369      0.0012      0.0353       0.000       0.009       0.000       0.109       0.001       0.001       0.929        0.04       7330.    0.0009  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0986      0.0585       0.002       0.061       0.074       1.440       0.007       0.328      23.210        0.07      13263.    0.4225  
        0.64      0.0384      0.0633      0.0983      0.0596       0.002       0.062       0.073       1.468       0.007       0.327      22.695        0.07      13276.    0.4124  
