         8.75x9.0W                (875x90W.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0983      0.0703       0.000       0.018       0.018       0.216       0.002       0.082      38.498        0.03       6630.    0.3498  
        0.32      0.0383      0.0525      0.0979      0.0714       0.000       0.019       0.018       0.220       0.002       0.081      37.781        0.03       6636.    0.3427  
        0.63      0.0765      0.1029      0.0976      0.0726       0.000       0.019       0.018       0.223       0.002       0.081      37.017        0.03       6643.    0.3351  
        0.95      0.1148      0.1510      0.0972      0.0739       0.000       0.019       0.018       0.227       0.002       0.081      36.212        0.03       6652.    0.3271  
        1.27      0.1530      0.1966      0.0967      0.0753       0.000       0.020       0.018       0.232       0.002       0.080      35.369        0.03       6661.    0.3188  
        1.58      0.1913      0.2397      0.0962      0.0768       0.000       0.020       0.018       0.236       0.002       0.080      34.493        0.03       6672.    0.3101  
        1.90      0.2295      0.2801      0.0956      0.0784       0.000       0.020       0.018       0.241       0.002       0.079      33.591        0.03       6683.    0.3010  
        2.22      0.2678      0.3178      0.0949      0.0800       0.000       0.021       0.018       0.246       0.002       0.079      32.669        0.03       6697.    0.2917  
        2.54      0.3060      0.3528      0.0941      0.0816       0.000       0.021       0.018       0.251       0.002       0.078      31.731        0.03       6711.    0.2821  
