         8.75x9.25NN              (875x925NN.dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0949      0.0686       0.000       0.018       0.018       0.211       0.002       0.079      38.117        0.03       6480.    0.3404  
        0.32      0.0388      0.0528      0.0947      0.0696       0.000       0.018       0.018       0.214       0.002       0.079      37.431        0.03       6487.    0.3338  
        0.64      0.0776      0.1035      0.0944      0.0708       0.000       0.018       0.018       0.218       0.002       0.078      36.695        0.03       6494.    0.3267  
        0.96      0.1164      0.1519      0.0941      0.0721       0.000       0.019       0.018       0.222       0.002       0.078      35.915        0.03       6502.    0.3192  
        1.29      0.1553      0.1979      0.0937      0.0735       0.000       0.019       0.018       0.226       0.002       0.078      35.092        0.03       6511.    0.3114  
        1.61      0.1941      0.2413      0.0933      0.0751       0.000       0.020       0.017       0.231       0.002       0.078      34.234        0.03       6521.    0.3031  
        1.93      0.2329      0.2821      0.0929      0.0767       0.000       0.020       0.017       0.236       0.002       0.077      33.344        0.03       6533.    0.2945  
        2.25      0.2717      0.3201      0.0923      0.0784       0.000       0.020       0.017       0.241       0.002       0.077      32.430        0.03       6546.    0.2856  
        2.57      0.3105      0.3553      0.0916      0.0801       0.000       0.021       0.017       0.246       0.002       0.076      31.498        0.03       6561.    0.2763  
        2.89      0.3493      0.3877      0.0907      0.0818       0.000       0.021       0.017       0.252       0.002       0.075      30.555        0.03       6576.    0.2668  
        3.22      0.3881      0.4174      0.0896      0.0833       0.000       0.022       0.017       0.256       0.002       0.074      29.607        0.03       6594.    0.2569  
        3.54      0.4270      0.4445      0.0881      0.0847       0.000       0.022       0.016       0.261       0.002       0.073      28.659        0.04       6613.    0.2466  
        3.86      0.4658      0.4689      0.0862      0.0857       0.000       0.022       0.016       0.264       0.003       0.072      27.716        0.04       6633.    0.2359  
        4.18      0.5046      0.4908      0.0838      0.0862       0.000       0.022       0.016       0.265       0.003       0.070      26.780        0.04       6655.    0.2247  
        4.50      0.5434      0.5102      0.0809      0.0862       0.000       0.022       0.015       0.265       0.003       0.067      25.849        0.04       6678.    0.2131  
        4.82      0.5822      0.5270      0.0775      0.0856       0.000       0.022       0.014       0.263       0.003       0.064      24.920        0.04       6703.    0.2011  
        5.15      0.6210      0.5410      0.0736      0.0845       0.000       0.022       0.014       0.260       0.002       0.061      23.984        0.04       6730.    0.1886  
        5.47      0.6599      0.5520      0.0693      0.0828       0.000       0.022       0.013       0.255       0.002       0.058      23.030        0.04       6758.    0.1757  
        5.79      0.6987      0.5595      0.0646      0.0806       0.000       0.021       0.012       0.248       0.002       0.054      22.045        0.04       6787.    0.1623  
        6.11      0.7375      0.5630      0.0596      0.0780       0.000       0.020       0.011       0.240       0.002       0.049      21.015        0.04       6818.    0.1486  
        6.43      0.7763      0.5618      0.0543      0.0750       0.000       0.020       0.010       0.231       0.002       0.045      19.924        0.04       6850.    0.1346  
        6.75      0.8151      0.5552      0.0488      0.0717       0.000       0.019       0.009       0.221       0.002       0.041      18.751        0.04       6883.    0.1201  
        7.08      0.8539      0.5420      0.0432      0.0680       0.000       0.018       0.008       0.209       0.002       0.036      17.474        0.04       6918.    0.1053  
        7.40      0.8927      0.5209      0.0374      0.0641       0.000       0.017       0.007       0.197       0.002       0.031      16.062        0.04       6954.    0.0900  
        7.72      0.9316      0.4898      0.0315      0.0599       0.000       0.016       0.006       0.184       0.002       0.026      14.474        0.04       6992.    0.0744  
        8.04      0.9704      0.4461      0.0255      0.0554       0.000       0.014       0.005       0.170       0.002       0.021      12.657        0.04       7030.    0.0585  
        8.36      1.0092      0.3861      0.0194      0.0507       0.000       0.013       0.004       0.156       0.001       0.016      10.532        0.04       7070.    0.0425  
        8.68      1.0480      0.3041      0.0133      0.0458       0.000       0.012       0.002       0.141       0.001       0.011       7.989        0.04       7111.    0.0267  
        9.00      1.0868      0.1917      0.0072      0.0407       0.000       0.011       0.001       0.125       0.001       0.006       4.857        0.04       7154.    0.0119  
        9.33      1.1256      0.0353      0.0011      0.0354       0.000       0.009       0.000       0.109       0.001       0.001       0.863        0.04       7197.    0.0008  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0956      0.0578       0.002       0.060       0.071       1.423       0.007       0.318      22.766        0.07      12961.    0.4081  
        0.66      0.0395      0.0640      0.0954      0.0589       0.002       0.061       0.071       1.451       0.007       0.317      22.285        0.07      12973.    0.3990  
        1.31      0.0791      0.1251      0.0952      0.0602       0.002       0.063       0.071       1.481       0.007       0.316      21.773        0.07      12988.    0.3893  
        1.97      0.1186      0.1830      0.0949      0.0615       0.002       0.064       0.071       1.515       0.007       0.315      21.230        0.07      13004.    0.3791  
