         8.8x9.5                  (88x95.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1015      0.0751       0.000       0.019       0.019       0.230       0.002       0.084      37.242        0.03       6747.    0.3435  
        0.33      0.0404      0.0536      0.1011      0.0762       0.000       0.020       0.019       0.233       0.002       0.084      36.576        0.03       6754.    0.3367  
        0.67      0.0807      0.1050      0.1007      0.0774       0.000       0.020       0.019       0.237       0.002       0.083      35.863        0.03       6762.    0.3295  
        1.00      0.1211      0.1542      0.1003      0.0788       0.000       0.020       0.019       0.241       0.002       0.083      35.106        0.03       6771.    0.3219  
        1.34      0.1614      0.2009      0.0999      0.0802       0.000       0.021       0.019       0.246       0.002       0.083      34.309        0.03       6781.    0.3139  
        1.67      0.2018      0.2451      0.0994      0.0818       0.000       0.021       0.018       0.250       0.002       0.082      33.477        0.03       6793.    0.3056  
        2.00      0.2421      0.2865      0.0988      0.0835       0.000       0.022       0.018       0.256       0.002       0.082      32.614        0.03       6806.    0.2969  
        2.34      0.2825      0.3252      0.0982      0.0853       0.000       0.022       0.018       0.261       0.002       0.081      31.728        0.03       6821.    0.2879  
        2.67      0.3228      0.3610      0.0974      0.0871       0.000       0.023       0.018       0.267       0.003       0.081      30.823        0.03       6838.    0.2786  
        3.01      0.3632      0.3941      0.0965      0.0889       0.000       0.023       0.018       0.272       0.003       0.080      29.906        0.03       6856.    0.2690  
        3.34      0.4035      0.4243      0.0953      0.0906       0.000       0.023       0.018       0.277       0.003       0.079      28.981        0.03       6875.    0.2590  
        3.67      0.4439      0.4518      0.0938      0.0921       0.000       0.024       0.017       0.282       0.003       0.078      28.055        0.04       6896.    0.2487  
        4.01      0.4842      0.4767      0.0918      0.0933       0.000       0.024       0.017       0.286       0.003       0.076      27.131        0.04       6919.    0.2380  
        4.34      0.5246      0.4989      0.0894      0.0940       0.000       0.024       0.017       0.288       0.003       0.074      26.212        0.04       6944.    0.2269  
        4.68      0.5649      0.5186      0.0864      0.0941       0.000       0.024       0.016       0.288       0.003       0.071      25.300        0.04       6971.    0.2153  
        5.01      0.6053      0.5357      0.0828      0.0935       0.000       0.024       0.015       0.286       0.003       0.068      24.390        0.04       6999.    0.2032  
        5.34      0.6456      0.5499      0.0786      0.0923       0.000       0.024       0.015       0.283       0.003       0.065      23.476        0.04       7028.    0.1906  
        5.68      0.6860      0.5612      0.0740      0.0905       0.000       0.023       0.014       0.277       0.003       0.061      22.546        0.04       7060.    0.1776  
        6.01      0.7263      0.5689      0.0690      0.0881       0.000       0.023       0.013       0.270       0.003       0.057      21.588        0.04       7093.    0.1642  
        6.35      0.7667      0.5728      0.0637      0.0852       0.000       0.022       0.012       0.261       0.002       0.053      20.589        0.04       7127.    0.1504  
        6.68      0.8070      0.5719      0.0580      0.0819       0.000       0.021       0.011       0.251       0.002       0.048      19.531        0.04       7163.    0.1362  
        7.01      0.8474      0.5656      0.0522      0.0781       0.000       0.020       0.010       0.239       0.002       0.043      18.394        0.04       7201.    0.1216  
        7.35      0.8877      0.5526      0.0461      0.0740       0.000       0.019       0.009       0.227       0.002       0.038      17.156        0.04       7240.    0.1066  
        7.68      0.9281      0.5315      0.0399      0.0696       0.000       0.018       0.007       0.213       0.002       0.033      15.785        0.04       7281.    0.0912  
        8.02      0.9684      0.5003      0.0335      0.0648       0.000       0.017       0.006       0.198       0.002       0.028      14.239        0.04       7323.    0.0754  
        8.35      1.0088      0.4561      0.0270      0.0598       0.000       0.015       0.005       0.183       0.002       0.022      12.462        0.04       7366.    0.0593  
        8.68      1.0491      0.3949      0.0205      0.0545       0.000       0.014       0.004       0.167       0.002       0.017      10.372        0.04       7411.    0.0430  
        9.02      1.0895      0.3104      0.0139      0.0489       0.000       0.013       0.003       0.150       0.001       0.012       7.852        0.04       7457.    0.0268  
        9.35      1.1298      0.1932      0.0074      0.0432       0.000       0.011       0.001       0.132       0.001       0.006       4.713        0.04       7504.    0.0117  
        9.69      1.1702      0.0276      0.0009      0.0373       0.000       0.010       0.000       0.114       0.001       0.001       0.650        0.04       7552.    0.0006  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1022      0.0640       0.002       0.066       0.076       1.566       0.007       0.338      22.017        0.07      13494.    0.4076  
