         8x3.75                   (8x375.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0720      0.0467       0.000       0.008       0.009       0.092       0.001       0.042      46.432        0.03       5566.    0.3303  
        0.16      0.0207      0.0313      0.0708      0.0468       0.000       0.008       0.009       0.092       0.001       0.041      45.543        0.03       5569.    0.3211  
        0.31      0.0414      0.0614      0.0695      0.0469       0.000       0.008       0.009       0.092       0.001       0.040      44.626        0.03       5572.    0.3117  
        0.47      0.0622      0.0902      0.0681      0.0469       0.000       0.008       0.009       0.092       0.001       0.040      43.683        0.03       5575.    0.3020  
        0.63      0.0829      0.1176      0.0665      0.0469       0.000       0.008       0.009       0.092       0.001       0.039      42.713        0.03       5579.    0.2920  
        0.78      0.1036      0.1435      0.0649      0.0469       0.000       0.008       0.008       0.092       0.001       0.038      41.716        0.03       5583.    0.2817  
        0.94      0.1243      0.1680      0.0632      0.0468       0.000       0.008       0.008       0.092       0.001       0.037      40.690        0.03       5587.    0.2711  
        1.10      0.1450      0.1909      0.0614      0.0467       0.000       0.008       0.008       0.092       0.001       0.036      39.634        0.03       5592.    0.2603  
        1.26      0.1658      0.2122      0.0595      0.0465       0.000       0.008       0.008       0.091       0.001       0.035      38.548        0.03       5597.    0.2492  
        1.41      0.1865      0.2318      0.0575      0.0463       0.000       0.008       0.008       0.091       0.001       0.033      37.429        0.03       5602.    0.2378  
        1.57      0.2072      0.2496      0.0554      0.0460       0.000       0.008       0.007       0.090       0.001       0.032      36.275        0.03       5607.    0.2262  
        1.73      0.2279      0.2656      0.0532      0.0456       0.000       0.008       0.007       0.090       0.001       0.031      35.084        0.03       5613.    0.2144  
        1.88      0.2486      0.2796      0.0509      0.0453       0.000       0.008       0.007       0.089       0.001       0.030      33.854        0.03       5619.    0.2024  
        2.04      0.2694      0.2915      0.0485      0.0448       0.000       0.007       0.006       0.088       0.001       0.028      32.581        0.03       5625.    0.1902  
        2.20      0.2901      0.3012      0.0460      0.0443       0.000       0.007       0.006       0.087       0.001       0.027      31.263        0.03       5632.    0.1778  
        2.35      0.3108      0.3086      0.0435      0.0438       0.000       0.007       0.006       0.086       0.001       0.025      29.895        0.03       5639.    0.1652  
        2.51      0.3315      0.3135      0.0409      0.0432       0.000       0.007       0.005       0.085       0.001       0.024      28.474        0.03       5647.    0.1526  
        2.67      0.3522      0.3158      0.0382      0.0426       0.000       0.007       0.005       0.084       0.001       0.022      26.995        0.03       5654.    0.1398  
        2.83      0.3730      0.3153      0.0354      0.0419       0.000       0.007       0.005       0.082       0.001       0.021      25.453        0.03       5662.    0.1270  
        2.98      0.3937      0.3117      0.0326      0.0412       0.000       0.007       0.004       0.081       0.001       0.019      23.841        0.03       5671.    0.1141  
        3.14      0.4144      0.3049      0.0297      0.0404       0.000       0.007       0.004       0.079       0.001       0.017      22.154        0.03       5680.    0.1012  
        3.30      0.4351      0.2945      0.0268      0.0396       0.000       0.007       0.003       0.078       0.001       0.016      20.383        0.03       5689.    0.0884  
        3.45      0.4558      0.2804      0.0238      0.0387       0.000       0.006       0.003       0.076       0.001       0.014      18.519        0.03       5698.    0.0757  
        3.61      0.4765      0.2620      0.0208      0.0378       0.000       0.006       0.003       0.074       0.001       0.012      16.551        0.03       5708.    0.0632  
        3.77      0.4973      0.2390      0.0177      0.0368       0.000       0.006       0.002       0.072       0.001       0.010      14.470        0.03       5718.    0.0510  
        3.92      0.5180      0.2109      0.0146      0.0358       0.000       0.006       0.002       0.070       0.001       0.008      12.260        0.03       5729.    0.0392  
        4.08      0.5387      0.1772      0.0114      0.0347       0.000       0.006       0.001       0.068       0.001       0.007       9.906        0.03       5740.    0.0280  
        4.24      0.5594      0.1373      0.0082      0.0336       0.000       0.006       0.001       0.066       0.001       0.005       7.391        0.03       5751.    0.0178  
