         8x4.2SFR                 (8x42SFR.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0590      0.0266       0.000       0.004       0.008       0.052       0.000       0.034      66.845        0.03       7344.    0.4302  
        0.13      0.0171      0.0375      0.0584      0.0267       0.000       0.004       0.008       0.052       0.001       0.034      65.905        0.03       7347.    0.4221  
        0.26      0.0343      0.0739      0.0578      0.0268       0.000       0.004       0.008       0.053       0.001       0.034      64.925        0.03       7350.    0.4136  
        0.39      0.0514      0.1091      0.0571      0.0269       0.000       0.004       0.007       0.053       0.001       0.033      63.908        0.03       7353.    0.4047  
        0.52      0.0685      0.1431      0.0563      0.0270       0.000       0.004       0.007       0.053       0.001       0.033      62.856        0.03       7356.    0.3953  
        0.65      0.0857      0.1757      0.0555      0.0270       0.000       0.004       0.007       0.053       0.001       0.032      61.771        0.03       7360.    0.3856  
        0.78      0.1028      0.2071      0.0546      0.0271       0.000       0.005       0.007       0.053       0.001       0.032      60.655        0.03       7364.    0.3754  
        0.91      0.1199      0.2370      0.0535      0.0271       0.000       0.005       0.007       0.053       0.001       0.031      59.508        0.03       7368.    0.3648  
        1.04      0.1371      0.2655      0.0524      0.0271       0.000       0.004       0.007       0.053       0.001       0.030      58.332        0.03       7372.    0.3539  
        1.17      0.1542      0.2925      0.0512      0.0270       0.000       0.004       0.007       0.053       0.001       0.030      57.126        0.03       7377.    0.3424  
        1.30      0.1713      0.3180      0.0498      0.0268       0.000       0.004       0.007       0.053       0.001       0.029      55.891        0.03       7382.    0.3306  
        1.43      0.1885      0.3419      0.0484      0.0267       0.000       0.004       0.006       0.052       0.001       0.028      54.624        0.03       7387.    0.3183  
        1.56      0.2056      0.3641      0.0468      0.0264       0.000       0.004       0.006       0.052       0.000       0.027      53.323        0.03       7392.    0.3056  
        1.69      0.2227      0.3845      0.0451      0.0261       0.000       0.004       0.006       0.051       0.000       0.026      51.983        0.03       7398.    0.2924  
        1.82      0.2398      0.4031      0.0432      0.0257       0.000       0.004       0.006       0.051       0.000       0.025      50.598        0.03       7404.    0.2787  
        1.95      0.2570      0.4196      0.0412      0.0252       0.000       0.004       0.005       0.050       0.000       0.024      49.159        0.03       7411.    0.2644  
        2.08      0.2741      0.4338      0.0390      0.0247       0.000       0.004       0.005       0.048       0.000       0.023      47.656        0.03       7418.    0.2495  
        2.21      0.2912      0.4457      0.0367      0.0240       0.000       0.004       0.005       0.047       0.000       0.021      46.077        0.03       7425.    0.2339  
        2.34      0.3084      0.4549      0.0342      0.0232       0.000       0.004       0.004       0.046       0.000       0.020      44.412        0.03       7432.    0.2178  
        2.47      0.3255      0.4610      0.0317      0.0224       0.000       0.004       0.004       0.044       0.000       0.018      42.645        0.03       7440.    0.2012  
        2.60      0.3426      0.4638      0.0290      0.0215       0.000       0.004       0.004       0.042       0.000       0.017      40.755        0.03       7448.    0.1841  
        2.73      0.3598      0.4626      0.0263      0.0205       0.000       0.003       0.003       0.040       0.000       0.015      38.716        0.03       7456.    0.1665  
        2.86      0.3769      0.4568      0.0235      0.0194       0.000       0.003       0.003       0.038       0.000       0.014      36.491        0.03       7465.    0.1484  
        2.99      0.3940      0.4454      0.0207      0.0183       0.000       0.003       0.003       0.036       0.000       0.012      34.031        0.03       7474.    0.1297  
        3.11      0.4112      0.4270      0.0178      0.0171       0.000       0.003       0.002       0.034       0.000       0.010      31.269        0.03       7483.    0.1105  
        3.24      0.4283      0.3998      0.0148      0.0159       0.000       0.003       0.002       0.031       0.000       0.009      28.107        0.03       7492.    0.0906  
        3.37      0.4454      0.3611      0.0118      0.0145       0.000       0.002       0.002       0.029       0.000       0.007      24.408        0.03       7502.    0.0702  
        3.50      0.4626      0.3066      0.0087      0.0132       0.000       0.002       0.001       0.026       0.000       0.005      19.959        0.03       7512.    0.0494  
        3.63      0.4797      0.2298      0.0056      0.0117       0.000       0.002       0.001       0.023       0.000       0.003      14.424        0.03       7523.    0.0286  
        3.76      0.4968      0.1193      0.0024      0.0102       0.000       0.002       0.000       0.020       0.000       0.001       7.230        0.03       7533.    0.0095  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0591      0.0246       0.001       0.016       0.031       0.387       0.002       0.137      36.189        0.06      14689.    0.4663  
        0.27      0.0175      0.0415      0.0585      0.0247       0.001       0.016       0.031       0.389       0.002       0.136      35.637        0.06      14694.    0.4569  
        0.53      0.0351      0.0817      0.0579      0.0249       0.001       0.017       0.030       0.391       0.002       0.134      35.062        0.06      14700.    0.4471  
        0.80      0.0526      0.1204      0.0572      0.0250       0.001       0.017       0.030       0.393       0.002       0.133      34.467        0.06      14706.    0.4368  
        1.06      0.0701      0.1577      0.0564      0.0251       0.001       0.017       0.029       0.394       0.002       0.131      33.853        0.06      14713.    0.4261  
        1.33      0.0877      0.1935      0.0555      0.0252       0.001       0.017       0.029       0.396       0.002       0.129      33.223        0.06      14720.    0.4149  
        1.59      0.1052      0.2276      0.0546      0.0252       0.001       0.017       0.028       0.397       0.002       0.127      32.577        0.06      14728.    0.4033  
        1.86      0.1227      0.2602      0.0535      0.0252       0.001       0.017       0.028       0.397       0.002       0.124      31.916        0.06      14737.    0.3912  
        2.13      0.1403      0.2911      0.0523      0.0252       0.001       0.017       0.027       0.397       0.002       0.122      31.242        0.06      14746.    0.3788  
        2.39      0.1578      0.3203      0.0510      0.0252       0.001       0.017       0.027       0.396       0.002       0.119      30.554        0.06      14755.    0.3659  
        2.66      0.1753      0.3477      0.0496      0.0250       0.001       0.017       0.026       0.394       0.002       0.115      29.853        0.06      14766.    0.3525  
        2.92      0.1929      0.3733      0.0481      0.0249       0.001       0.017       0.025       0.391       0.002       0.112      29.138        0.06      14777.    0.3388  
        3.19      0.2104      0.3970      0.0465      0.0246       0.001       0.016       0.024       0.387       0.002       0.108      28.407        0.06      14788.    0.3245  
        3.45      0.2279      0.4188      0.0447      0.0243       0.001       0.016       0.023       0.382       0.002       0.104      27.660        0.06      14800.    0.3098  
        3.72      0.2455      0.4385      0.0427      0.0239       0.001       0.016       0.022       0.376       0.002       0.099      26.891        0.06      14813.    0.2946  
        3.98      0.2630      0.4559      0.0406      0.0234       0.000       0.016       0.021       0.368       0.002       0.094      26.097        0.06      14827.    0.2787  
        4.25      0.2805      0.4709      0.0383      0.0228       0.000       0.015       0.020       0.359       0.002       0.089      25.271        0.06      14841.    0.2622  
        4.52      0.2981      0.4833      0.0359      0.0221       0.000       0.015       0.019       0.348       0.002       0.083      24.409        0.06      14855.    0.2451  
        4.78      0.3156      0.4927      0.0333      0.0214       0.000       0.014       0.017       0.336       0.002       0.077      23.502        0.06      14871.    0.2275  
        5.05      0.3331      0.4988      0.0307      0.0205       0.000       0.014       0.016       0.322       0.002       0.071      22.543        0.06      14887.    0.2093  
        5.31      0.3507      0.5012      0.0279      0.0195       0.000       0.013       0.015       0.308       0.001       0.065      21.517        0.06      14903.    0.1906  
