         8x4.5MR                  (8x45MR.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1222      0.0626       0.000       0.010       0.016       0.123       0.001       0.071      58.729        0.03       8243.    0.5440  
        0.18      0.0237      0.0454      0.1204      0.0629       0.000       0.010       0.016       0.124       0.001       0.070      57.624        0.03       8249.    0.5299  
        0.36      0.0474      0.0890      0.1186      0.0632       0.000       0.010       0.015       0.124       0.001       0.069      56.511        0.03       8256.    0.5156  
        0.54      0.0711      0.1308      0.1165      0.0633       0.000       0.011       0.015       0.125       0.001       0.068      55.394        0.03       8263.    0.5011  
        0.72      0.0948      0.1709      0.1143      0.0634       0.000       0.011       0.015       0.125       0.001       0.066      54.271        0.03       8271.    0.4862  
        0.90      0.1185      0.2092      0.1119      0.0634       0.000       0.011       0.015       0.125       0.001       0.065      53.142        0.03       8280.    0.4711  
        1.08      0.1422      0.2457      0.1093      0.0633       0.000       0.011       0.014       0.124       0.001       0.063      52.008        0.03       8288.    0.4557  
        1.26      0.1660      0.2803      0.1066      0.0631       0.000       0.010       0.014       0.124       0.001       0.062      50.858        0.03       8298.    0.4400  
        1.44      0.1897      0.3130      0.1036      0.0628       0.000       0.010       0.014       0.123       0.001       0.060      49.698        0.03       8308.    0.4239  
        1.62      0.2134      0.3438      0.1005      0.0624       0.000       0.010       0.013       0.123       0.001       0.058      48.514        0.03       8319.    0.4075  
        1.80      0.2371      0.3725      0.0971      0.0618       0.000       0.010       0.013       0.122       0.001       0.056      47.306        0.03       8330.    0.3906  
        1.98      0.2608      0.3990      0.0935      0.0611       0.000       0.010       0.012       0.120       0.001       0.054      46.064        0.03       8342.    0.3733  
        2.16      0.2845      0.4231      0.0898      0.0604       0.000       0.010       0.012       0.119       0.001       0.052      44.779        0.03       8354.    0.3555  
        2.33      0.3082      0.4447      0.0858      0.0595       0.000       0.010       0.011       0.117       0.001       0.050      43.444        0.03       8367.    0.3372  
        2.51      0.3319      0.4635      0.0816      0.0585       0.000       0.010       0.011       0.115       0.001       0.047      42.044        0.03       8381.    0.3183  
        2.69      0.3556      0.4792      0.0773      0.0574       0.000       0.010       0.010       0.113       0.001       0.045      40.572        0.03       8395.    0.2989  
        2.87      0.3793      0.4915      0.0727      0.0561       0.000       0.009       0.009       0.110       0.001       0.042      39.014        0.03       8410.    0.2788  
        3.05      0.4030      0.4998      0.0680      0.0548       0.000       0.009       0.009       0.108       0.001       0.039      37.340        0.03       8426.    0.2579  
        3.23      0.4267      0.5038      0.0630      0.0534       0.000       0.009       0.008       0.105       0.001       0.037      35.545        0.03       8442.    0.2364  
        3.41      0.4504      0.5028      0.0579      0.0518       0.000       0.009       0.008       0.102       0.001       0.034      33.611        0.03       8458.    0.2142  
        3.59      0.4742      0.4964      0.0526      0.0502       0.000       0.008       0.007       0.099       0.001       0.031      31.520        0.03       8475.    0.1916  
        3.77      0.4979      0.4836      0.0472      0.0486       0.000       0.008       0.006       0.096       0.001       0.027      29.249        0.03       8493.    0.1684  
        3.95      0.5216      0.4638      0.0417      0.0469       0.000       0.008       0.005       0.092       0.001       0.024      26.776        0.03       8512.    0.1448  
        4.13      0.5453      0.4359      0.0360      0.0451       0.000       0.007       0.005       0.089       0.001       0.021      24.070        0.03       8531.    0.1211  
        4.31      0.5690      0.3988      0.0303      0.0432       0.000       0.007       0.004       0.085       0.001       0.018      21.102        0.03       8550.    0.0973  
        4.49      0.5927      0.3510      0.0245      0.0413       0.000       0.007       0.003       0.081       0.001       0.014      17.832        0.03       8571.    0.0739  
        4.67      0.6164      0.2910      0.0186      0.0394       0.000       0.007       0.002       0.077       0.001       0.011      14.217        0.03       8592.    0.0514  
        4.85      0.6401      0.2169      0.0127      0.0374       0.000       0.006       0.002       0.074       0.001       0.007      10.205        0.03       8613.    0.0304  
        5.03      0.6638      0.1265      0.0067      0.0354       0.000       0.006       0.001       0.070       0.001       0.004       5.736        0.03       8635.    0.0125  
        5.21      0.6875      0.0169      0.0008      0.0333       0.000       0.006       0.000       0.066       0.001       0.000       0.738        0.03       8658.    0.0006  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1226      0.0569       0.001       0.038       0.064       0.896       0.004       0.285      32.417        0.06      16486.    0.6015  
        0.36      0.0240      0.0505      0.1208      0.0573       0.001       0.038       0.063       0.902       0.004       0.281      31.741        0.06      16498.    0.5848  
        0.73      0.0479      0.0989      0.1189      0.0576       0.001       0.038       0.062       0.907       0.004       0.276      31.065        0.06      16512.    0.5678  
        1.09      0.0719      0.1451      0.1169      0.0579       0.001       0.038       0.061       0.911       0.004       0.271      30.393        0.06      16527.    0.5507  
        1.45      0.0958      0.1892      0.1147      0.0581       0.001       0.039       0.060       0.914       0.004       0.266      29.722        0.06      16543.    0.5334  
        1.81      0.1198      0.2312      0.1122      0.0582       0.001       0.039       0.059       0.915       0.004       0.261      29.055        0.06      16560.    0.5159  
        2.18      0.1437      0.2711      0.1096      0.0581       0.001       0.039       0.057       0.914       0.004       0.255      28.390        0.06      16578.    0.4982  
        2.54      0.1677      0.3088      0.1068      0.0580       0.001       0.039       0.056       0.913       0.004       0.248      27.725        0.06      16597.    0.4803  
        2.90      0.1916      0.3445      0.1038      0.0578       0.001       0.038       0.054       0.908       0.004       0.241      27.062        0.06      16618.    0.4621  
        3.27      0.2156      0.3780      0.1006      0.0574       0.001       0.038       0.053       0.903       0.004       0.234      26.393        0.06      16640.    0.4437  
        3.63      0.2396      0.4093      0.0972      0.0569       0.001       0.038       0.051       0.895       0.004       0.226      25.720        0.06      16662.    0.4249  
        3.99      0.2635      0.4382      0.0936      0.0563       0.001       0.037       0.049       0.885       0.004       0.217      25.037        0.06      16687.    0.4059  
        4.36      0.2875      0.4648      0.0897      0.0555       0.001       0.037       0.047       0.873       0.004       0.208      24.340        0.06      16712.    0.3864  
        4.72      0.3114      0.4887      0.0857      0.0546       0.001       0.036       0.045       0.859       0.004       0.199      23.625        0.06      16738.    0.3666  
        5.08      0.3354      0.5099      0.0815      0.0536       0.001       0.036       0.043       0.843       0.004       0.189      22.887        0.06      16766.    0.3463  
        5.44      0.3593      0.5279      0.0771      0.0525       0.001       0.035       0.040       0.825       0.004       0.179      22.118        0.06      16795.    0.3254  
        5.81      0.3833      0.5426      0.0725      0.0512       0.001       0.034       0.038       0.805       0.004       0.168      21.313        0.06      16825.    0.3041  
        6.17      0.4072      0.5534      0.0676      0.0498       0.001       0.033       0.035       0.783       0.004       0.157      20.457        0.06      16857.    0.2819  
        6.53      0.4312      0.5598      0.0626      0.0482       0.001       0.032       0.033       0.758       0.004       0.145      19.545        0.06      16889.    0.2591  
        6.90      0.4552      0.5614      0.0574      0.0465       0.001       0.031       0.030       0.732       0.003       0.133      18.567        0.06      16923.    0.2358  
        7.26      0.4791      0.5573      0.0521      0.0448       0.001       0.030       0.027       0.704       0.003       0.121      17.511        0.06      16958.    0.2118  
        7.62      0.5031      0.5468      0.0466      0.0429       0.001       0.029       0.024       0.675       0.003       0.108      16.362        0.06      16995.    0.1873  
        7.99      0.5270      0.5287      0.0411      0.0410       0.001       0.027       0.021       0.644       0.003       0.095      15.102        0.06      17032.    0.1623  
        8.35      0.5510      0.5017      0.0354      0.0389       0.001       0.026       0.019       0.612       0.003       0.082      13.708        0.06      17071.    0.1368  
        8.71      0.5749      0.4641      0.0297      0.0368       0.001       0.024       0.016       0.579       0.003       0.069      12.154        0.06      17111.    0.1110  
        9.07      0.5989      0.4138      0.0239      0.0346       0.001       0.023       0.012       0.544       0.003       0.055      10.403        0.06      17152.    0.0852  
        9.44      0.6228      0.3479      0.0180      0.0323       0.001       0.021       0.009       0.508       0.002       0.042       8.409        0.06      17195.    0.0599  
        9.80      0.6468      0.2626      0.0122      0.0299       0.001       0.020       0.006       0.471       0.002       0.028       6.113        0.06      17239.    0.0357  
       10.16      0.6708      0.1530      0.0063      0.0275       0.001       0.018       0.003       0.433       0.002       0.015       3.434        0.06      17284.    0.0144  
       10.53      0.6947      0.0119      0.0004      0.0250       0.001       0.017       0.000       0.394       0.002       0.001       0.257        0.06      17330.    0.0003  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1228      0.0544       0.004       0.081       0.144       2.886       0.009       0.642      22.674        0.10      24728.    0.6317  
        0.55      0.0241      0.0532      0.1211      0.0548       0.004       0.082       0.142       2.909       0.009       0.633      22.177        0.10      24747.    0.6135  
        1.09      0.0482      0.1041      0.1192      0.0552       0.004       0.083       0.140       2.929       0.009       0.623      21.682        0.10      24768.    0.5950  
        1.64      0.0723      0.1526      0.1171      0.0555       0.004       0.083       0.138       2.945       0.009       0.612      21.190        0.10      24791.    0.5765  
        2.19      0.0964      0.1988      0.1149      0.0557       0.004       0.083       0.135       2.956       0.009       0.600      20.703        0.10      24815.    0.5578  
        2.74      0.1204      0.2427      0.1124      0.0558       0.004       0.083       0.132       2.963       0.009       0.587      20.220        0.10      24841.    0.5390  
        3.28      0.1445      0.2843      0.1098      0.0558       0.004       0.083       0.129       2.963       0.009       0.574      19.742        0.10      24868.    0.5200  
        3.83      0.1686      0.3237      0.1070      0.0557       0.004       0.083       0.126       2.959       0.009       0.559      19.265        0.10      24897.    0.5009  
        4.38      0.1927      0.3609      0.1039      0.0555       0.004       0.083       0.122       2.947       0.009       0.543      18.793        0.10      24928.    0.4816  
        4.93      0.2168      0.3957      0.1007      0.0552       0.004       0.083       0.118       2.929       0.009       0.526      18.320        0.10      24961.    0.4622  
        5.47      0.2409      0.4284      0.0972      0.0547       0.004       0.082       0.114       2.903       0.009       0.508      17.847        0.10      24996.    0.4424  
        6.02      0.2650      0.4586      0.0936      0.0541       0.004       0.081       0.110       2.872       0.009       0.489      17.371        0.10      25032.    0.4225  
        6.57      0.2891      0.4864      0.0897      0.0533       0.004       0.080       0.105       2.831       0.009       0.469      16.889        0.10      25070.    0.4022  
        7.12      0.3132      0.5116      0.0857      0.0525       0.004       0.078       0.101       2.785       0.009       0.448      16.397        0.10      25111.    0.3816  
        7.66      0.3373      0.5341      0.0814      0.0514       0.004       0.077       0.096       2.730       0.009       0.425      15.893        0.10      25153.    0.3605  
        8.21      0.3613      0.5534      0.0770      0.0502       0.004       0.075       0.090       2.668       0.008       0.402      15.372        0.10      25196.    0.3390  
        8.76      0.3854      0.5695      0.0723      0.0489       0.003       0.073       0.085       2.598       0.008       0.378      14.830        0.10      25242.    0.3170  
        9.31      0.4095      0.5817      0.0674      0.0475       0.003       0.071       0.079       2.519       0.008       0.352      14.257        0.10      25290.    0.2943  
        9.85      0.4336      0.5897      0.0623      0.0458       0.003       0.069       0.073       2.434       0.008       0.326      13.650        0.10      25339.    0.2709  
       10.40      0.4577      0.5929      0.0571      0.0441       0.003       0.066       0.067       2.342       0.007       0.299      13.001        0.10      25390.    0.2471  
       10.95      0.4818      0.5905      0.0518      0.0423       0.003       0.063       0.061       2.244       0.007       0.271      12.301        0.10      25443.    0.2226  
       11.50      0.5059      0.5816      0.0463      0.0403       0.003       0.060       0.054       2.140       0.007       0.242      11.540        0.10      25498.    0.1975  
       12.04      0.5300      0.5651      0.0408      0.0382       0.003       0.057       0.048       2.030       0.006       0.213      10.702        0.10      25555.    0.1718  
       12.59      0.5541      0.5393      0.0351      0.0361       0.003       0.054       0.041       1.914       0.006       0.183       9.770        0.10      25614.    0.1455  
       13.14      0.5781      0.5023      0.0293      0.0338       0.002       0.051       0.034       1.793       0.006       0.153       8.720        0.10      25675.    0.1188  
       13.69      0.6022      0.4514      0.0235      0.0314       0.002       0.047       0.028       1.667       0.005       0.123       7.522        0.10      25737.    0.0917  
       14.23      0.6263      0.3827      0.0177      0.0289       0.002       0.043       0.021       1.536       0.005       0.092       6.133        0.10      25802.    0.0648  
