         8x4F                     (8x4F.dat)                                                                                                                                        
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0836      0.0439       0.000       0.007       0.011       0.086       0.001       0.049      57.314        0.03       6957.    0.4392  
        0.17      0.0219      0.0408      0.0820      0.0440       0.000       0.007       0.011       0.086       0.001       0.048      56.142        0.03       6962.    0.4261  
        0.33      0.0438      0.0799      0.0803      0.0440       0.000       0.007       0.010       0.087       0.001       0.047      54.952        0.03       6967.    0.4127  
        0.50      0.0657      0.1173      0.0785      0.0440       0.000       0.007       0.010       0.087       0.001       0.046      53.744        0.03       6972.    0.3991  
        0.66      0.0876      0.1528      0.0766      0.0439       0.000       0.007       0.010       0.086       0.001       0.044      52.518        0.03       6978.    0.3853  
        0.83      0.1095      0.1865      0.0746      0.0438       0.000       0.007       0.010       0.086       0.001       0.043      51.271        0.03       6984.    0.3711  
        1.00      0.1314      0.2182      0.0725      0.0437       0.000       0.007       0.009       0.086       0.001       0.042      50.001        0.03       6990.    0.3568  
        1.16      0.1533      0.2480      0.0703      0.0435       0.000       0.007       0.009       0.085       0.001       0.041      48.706        0.03       6997.    0.3422  
        1.33      0.1752      0.2757      0.0680      0.0432       0.000       0.007       0.009       0.085       0.001       0.039      47.383        0.03       7004.    0.3273  
        1.49      0.1971      0.3013      0.0655      0.0429       0.000       0.007       0.009       0.084       0.001       0.038      46.027        0.03       7011.    0.3123  
        1.66      0.2190      0.3247      0.0630      0.0425       0.000       0.007       0.008       0.084       0.001       0.037      44.636        0.03       7019.    0.2969  
        1.83      0.2409      0.3457      0.0604      0.0421       0.000       0.007       0.008       0.083       0.001       0.035      43.204        0.03       7027.    0.2813  
        1.99      0.2628      0.3642      0.0577      0.0416       0.000       0.007       0.008       0.082       0.001       0.033      41.727        0.03       7036.    0.2655  
        2.16      0.2847      0.3801      0.0548      0.0411       0.000       0.007       0.007       0.081       0.001       0.032      40.199        0.03       7045.    0.2494  
        2.32      0.3066      0.3932      0.0519      0.0405       0.000       0.007       0.007       0.080       0.001       0.030      38.614        0.03       7054.    0.2332  
        2.49      0.3285      0.4033      0.0489      0.0398       0.000       0.007       0.006       0.078       0.001       0.028      36.966        0.03       7064.    0.2167  
        2.65      0.3504      0.4102      0.0458      0.0392       0.000       0.007       0.006       0.077       0.001       0.027      35.249        0.03       7075.    0.2000  
        2.82      0.3723      0.4137      0.0427      0.0384       0.000       0.006       0.006       0.076       0.001       0.025      33.454        0.03       7086.    0.1832  
        2.99      0.3942      0.4134      0.0395      0.0376       0.000       0.006       0.005       0.074       0.001       0.023      31.572        0.03       7097.    0.1662  
        3.15      0.4161      0.4090      0.0362      0.0368       0.000       0.006       0.005       0.072       0.001       0.021      29.595        0.03       7109.    0.1492  
        3.32      0.4380      0.4002      0.0328      0.0359       0.000       0.006       0.004       0.071       0.001       0.019      27.513        0.03       7121.    0.1321  
        3.48      0.4599      0.3866      0.0294      0.0350       0.000       0.006       0.004       0.069       0.001       0.017      25.313        0.03       7133.    0.1150  
        3.65      0.4818      0.3678      0.0260      0.0340       0.000       0.006       0.003       0.067       0.001       0.015      22.982        0.03       7146.    0.0981  
        3.82      0.5037      0.3431      0.0225      0.0330       0.000       0.005       0.003       0.065       0.001       0.013      20.506        0.03       7160.    0.0815  
        3.98      0.5256      0.3119      0.0190      0.0319       0.000       0.005       0.002       0.063       0.001       0.011      17.870        0.03       7174.    0.0652  
        4.15      0.5475      0.2737      0.0154      0.0309       0.000       0.005       0.002       0.061       0.001       0.009      15.053        0.03       7189.    0.0495  
        4.31      0.5694      0.2276      0.0119      0.0297       0.000       0.005       0.002       0.058       0.001       0.007      12.036        0.03       7204.    0.0348  
        4.48      0.5913      0.1727      0.0083      0.0286       0.000       0.005       0.001       0.056       0.001       0.005       8.794        0.03       7219.    0.0213  
        4.65      0.6132      0.1080      0.0048      0.0274       0.000       0.005       0.001       0.054       0.001       0.003       5.302        0.03       7235.    0.0098  
        4.81      0.6351      0.0322      0.0013      0.0262       0.000       0.004       0.000       0.051       0.000       0.001       1.527        0.03       7251.    0.0015  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0839      0.0383       0.001       0.025       0.044       0.603       0.003       0.195      32.988        0.06      13914.    0.5066  
        0.34      0.0223      0.0477      0.0823      0.0384       0.001       0.026       0.043       0.605       0.003       0.191      32.241        0.06      13924.    0.4903  
        0.68      0.0446      0.0932      0.0806      0.0385       0.001       0.026       0.042       0.606       0.003       0.187      31.489        0.06      13934.    0.4738  
        1.01      0.0669      0.1365      0.0788      0.0386       0.001       0.026       0.041       0.607       0.003       0.183      30.736        0.06      13945.    0.4572  
        1.35      0.0891      0.1775      0.0769      0.0386       0.001       0.026       0.040       0.607       0.003       0.178      29.979        0.06      13956.    0.4405  
        1.69      0.1114      0.2163      0.0748      0.0385       0.001       0.026       0.039       0.606       0.003       0.174      29.218        0.06      13968.    0.4235  
        2.03      0.1337      0.2527      0.0727      0.0384       0.001       0.026       0.038       0.605       0.003       0.169      28.453        0.06      13981.    0.4065  
        2.36      0.1560      0.2869      0.0704      0.0383       0.001       0.025       0.037       0.602       0.003       0.163      27.682        0.06      13995.    0.3892  
        2.70      0.1783      0.3186      0.0680      0.0381       0.001       0.025       0.036       0.599       0.003       0.158      26.904        0.06      14009.    0.3718  
        3.04      0.2006      0.3480      0.0655      0.0378       0.001       0.025       0.034       0.594       0.003       0.152      26.116        0.06      14025.    0.3543  
        3.38      0.2229      0.3748      0.0629      0.0374       0.001       0.025       0.033       0.589       0.003       0.146      25.317        0.06      14041.    0.3366  
        3.71      0.2452      0.3990      0.0603      0.0370       0.001       0.025       0.031       0.582       0.003       0.140      24.504        0.06      14058.    0.3188  
        4.05      0.2674      0.4206      0.0575      0.0365       0.001       0.024       0.030       0.575       0.003       0.133      23.675        0.06      14075.    0.3008  
        4.39      0.2897      0.4393      0.0546      0.0360       0.001       0.024       0.028       0.566       0.003       0.127      22.825        0.06      14094.    0.2826  
        4.73      0.3120      0.4550      0.0516      0.0354       0.001       0.024       0.027       0.557       0.003       0.120      21.951        0.06      14114.    0.2643  
        5.07      0.3343      0.4674      0.0485      0.0347       0.001       0.023       0.025       0.546       0.003       0.113      21.050        0.06      14134.    0.2458  
        5.40      0.3566      0.4765      0.0454      0.0340       0.001       0.023       0.024       0.535       0.003       0.105      20.117        0.06      14156.    0.2272  
