         8x6SF                    (8x6SF.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1767      0.0907       0.000       0.015       0.023       0.178       0.002       0.103      58.641        0.03      11211.    0.6531  
        0.24      0.0320      0.0607      0.1748      0.0921       0.000       0.015       0.023       0.181       0.002       0.101      57.162        0.03      11225.    0.6332  
        0.48      0.0640      0.1183      0.1727      0.0933       0.000       0.016       0.023       0.184       0.002       0.100      55.705        0.03      11239.    0.6134  
        0.73      0.0959      0.1729      0.1703      0.0945       0.000       0.016       0.022       0.186       0.002       0.099      54.275        0.03      11255.    0.5936  
        0.97      0.1279      0.2246      0.1677      0.0955       0.000       0.016       0.022       0.188       0.002       0.097      52.876        0.03      11272.    0.5739  
        1.21      0.1599      0.2735      0.1649      0.0964       0.000       0.016       0.022       0.189       0.002       0.096      51.512        0.03      11291.    0.5543  
        1.45      0.1919      0.3198      0.1617      0.0970       0.000       0.016       0.021       0.191       0.002       0.094      50.183        0.03      11312.    0.5347  
        1.70      0.2238      0.3634      0.1582      0.0974       0.000       0.016       0.021       0.192       0.002       0.092      48.888        0.03      11334.    0.5153  
        1.94      0.2558      0.4046      0.1544      0.0976       0.000       0.016       0.020       0.192       0.002       0.090      47.626        0.03      11358.    0.4959  
