         8x8E                     (8x8E.dat)                                                                                                                                        
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1500      0.1007       0.000       0.017       0.020       0.198       0.002       0.087      44.847        0.03       8601.    0.4603  
        0.30      0.0393      0.0574      0.1493      0.1023       0.000       0.017       0.019       0.201       0.002       0.087      43.942        0.03       8612.    0.4499  
        0.60      0.0787      0.1123      0.1484      0.1039       0.000       0.017       0.019       0.204       0.002       0.086      42.996        0.03       8623.    0.4390  
        0.89      0.1180      0.1647      0.1475      0.1057       0.000       0.018       0.019       0.208       0.002       0.086      42.015        0.03       8637.    0.4276  
        1.19      0.1573      0.2143      0.1464      0.1075       0.000       0.018       0.019       0.211       0.002       0.085      41.006        0.03       8652.    0.4158  
        1.49      0.1967      0.2611      0.1451      0.1093       0.000       0.018       0.019       0.215       0.002       0.084      39.975        0.03       8668.    0.4036  
        1.79      0.2360      0.3051      0.1437      0.1111       0.000       0.018       0.019       0.219       0.002       0.083      38.931        0.03       8687.    0.3911  
        2.09      0.2753      0.3464      0.1420      0.1129       0.000       0.019       0.019       0.222       0.002       0.082      37.882        0.03       8707.    0.3783  
        2.38      0.3147      0.3849      0.1400      0.1144       0.000       0.019       0.018       0.225       0.002       0.081      36.834        0.03       8729.    0.3652  
        2.68      0.3540      0.4208      0.1377      0.1158       0.000       0.019       0.018       0.228       0.002       0.080      35.794        0.03       8753.    0.3519  
