         9.5x5MR                  (95x5MR.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1199      0.0554       0.000       0.022       0.031       0.257       0.002       0.138      54.865        0.04      11498.    0.5978  
        0.19      0.0215      0.0456      0.1179      0.0555       0.000       0.022       0.031       0.258       0.002       0.136      53.858        0.04      11506.    0.5819  
        0.39      0.0430      0.0896      0.1157      0.0555       0.000       0.022       0.030       0.258       0.002       0.134      52.848        0.04      11515.    0.5657  
        0.58      0.0645      0.1317      0.1134      0.0555       0.000       0.022       0.029       0.258       0.002       0.131      51.820        0.04      11524.    0.5492  
        0.77      0.0859      0.1722      0.1109      0.0554       0.000       0.022       0.029       0.257       0.002       0.128      50.793        0.04      11535.    0.5323  
        0.97      0.1074      0.2108      0.1083      0.0552       0.000       0.022       0.028       0.256       0.002       0.125      49.754        0.04      11545.    0.5153  
        1.16      0.1289      0.2476      0.1054      0.0549       0.000       0.022       0.027       0.255       0.002       0.122      48.696        0.04      11556.    0.4976  
        1.35      0.1504      0.2825      0.1024      0.0545       0.000       0.021       0.027       0.253       0.002       0.118      47.621        0.04      11568.    0.4796  
        1.55      0.1719      0.3154      0.0993      0.0541       0.000       0.021       0.026       0.251       0.002       0.115      46.519        0.04      11581.    0.4612  
        1.74      0.1934      0.3461      0.0959      0.0536       0.000       0.021       0.025       0.249       0.002       0.111      45.383        0.04      11594.    0.4423  
        1.93      0.2149      0.3747      0.0924      0.0530       0.000       0.021       0.024       0.246       0.002       0.107      44.214        0.04      11608.    0.4230  
        2.13      0.2363      0.4008      0.0887      0.0523       0.000       0.021       0.023       0.243       0.002       0.102      42.995        0.04      11622.    0.4030  
        2.32      0.2578      0.4243      0.0849      0.0516       0.000       0.020       0.022       0.239       0.002       0.098      41.726        0.04      11637.    0.3825  
        2.51      0.2793      0.4449      0.0808      0.0507       0.000       0.020       0.021       0.236       0.002       0.093      40.385        0.04      11653.    0.3612  
        2.71      0.3008      0.4624      0.0766      0.0498       0.000       0.020       0.020       0.231       0.002       0.088      38.974        0.04      11669.    0.3394  
        2.90      0.3223      0.4764      0.0722      0.0489       0.000       0.019       0.019       0.227       0.002       0.083      37.483        0.04      11686.    0.3170  
        3.09      0.3438      0.4868      0.0677      0.0478       0.000       0.019       0.018       0.222       0.002       0.078      35.902        0.04      11703.    0.2940  
        3.29      0.3653      0.4930      0.0631      0.0467       0.000       0.018       0.016       0.217       0.002       0.073      34.220        0.04      11721.    0.2704  
        3.48      0.3868      0.4946      0.0583      0.0456       0.000       0.018       0.015       0.212       0.002       0.067      32.425        0.04      11740.    0.2464  
        3.67      0.4082      0.4911      0.0534      0.0444       0.000       0.017       0.014       0.206       0.002       0.062      30.503        0.04      11760.    0.2218  
        3.87      0.4297      0.4820      0.0484      0.0431       0.000       0.017       0.013       0.200       0.002       0.056      28.440        0.04      11780.    0.1968  
        4.06      0.4512      0.4665      0.0432      0.0418       0.000       0.016       0.011       0.194       0.002       0.050      26.217        0.04      11800.    0.1715  
        4.25      0.4727      0.4440      0.0380      0.0404       0.000       0.016       0.010       0.188       0.002       0.044      23.817        0.04      11822.    0.1461  
        4.45      0.4942      0.4135      0.0326      0.0390       0.000       0.015       0.008       0.181       0.002       0.038      21.217        0.04      11844.    0.1206  
        4.64      0.5157      0.3741      0.0272      0.0375       0.000       0.015       0.007       0.174       0.002       0.031      18.394        0.04      11867.    0.0955  
        4.83      0.5372      0.3247      0.0218      0.0360       0.000       0.014       0.006       0.167       0.002       0.025      15.325        0.04      11890.    0.0712  
        5.03      0.5586      0.2643      0.0163      0.0345       0.000       0.014       0.004       0.160       0.002       0.019      11.994        0.04      11914.    0.0482  
        5.22      0.5801      0.1921      0.0109      0.0329       0.000       0.013       0.003       0.153       0.001       0.013       8.396        0.04      11939.    0.0276  
        5.41      0.6016      0.1057      0.0055      0.0313       0.000       0.012       0.001       0.145       0.001       0.006       4.456        0.04      11964.    0.0104  
        5.61      0.6231      0.0020      0.0001      0.0297       0.000       0.012       0.000       0.138       0.001       0.000       0.080        0.04      11988.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1202      0.0511       0.003       0.080       0.125       1.898       0.009       0.555      29.828        0.08      22995.    0.6509  
        0.40      0.0222      0.0511      0.1181      0.0513       0.003       0.080       0.123       1.904       0.009       0.546      29.218        0.08      23013.    0.6320  
        0.80      0.0444      0.1002      0.1159      0.0514       0.003       0.081       0.120       1.908       0.009       0.535      28.611        0.08      23031.    0.6130  
        1.20      0.0666      0.1470      0.1135      0.0514       0.003       0.081       0.118       1.910       0.009       0.524      27.998        0.08      23051.    0.5937  
        1.60      0.0888      0.1918      0.1109      0.0513       0.003       0.081       0.115       1.906       0.009       0.512      27.393        0.08      23072.    0.5741  
        2.00      0.1110      0.2344      0.1082      0.0512       0.003       0.080       0.112       1.902       0.009       0.500      26.785        0.08      23094.    0.5545  
        2.40      0.1332      0.2749      0.1052      0.0509       0.003       0.080       0.109       1.893       0.009       0.486      26.174        0.08      23117.    0.5343  
        2.80      0.1553      0.3132      0.1020      0.0506       0.003       0.079       0.106       1.880       0.009       0.471      25.560        0.08      23142.    0.5139  
        3.19      0.1775      0.3492      0.0987      0.0502       0.003       0.079       0.103       1.865       0.009       0.456      24.936        0.08      23168.    0.4931  
        3.59      0.1997      0.3829      0.0952      0.0497       0.002       0.078       0.099       1.845       0.009       0.440      24.301        0.08      23196.    0.4719  
        3.99      0.2219      0.4141      0.0916      0.0491       0.002       0.077       0.095       1.823       0.009       0.423      23.654        0.08      23225.    0.4504  
        4.39      0.2441      0.4427      0.0877      0.0484       0.002       0.076       0.091       1.797       0.009       0.405      22.989        0.08      23255.    0.4285  
        4.79      0.2663      0.4684      0.0836      0.0475       0.002       0.075       0.087       1.766       0.008       0.386      22.297        0.08      23286.    0.4058  
        5.19      0.2885      0.4910      0.0794      0.0466       0.002       0.073       0.082       1.732       0.008       0.367      21.577        0.08      23319.    0.3826  
        5.59      0.3107      0.5103      0.0750      0.0456       0.002       0.072       0.078       1.695       0.008       0.346      20.825        0.08      23353.    0.3589  
