         9.5x7.5N                 (95x75N.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1038      0.0634       0.000       0.025       0.027       0.294       0.003       0.120      41.547        0.04       9056.    0.4213  
        0.28      0.0315      0.0504      0.1031      0.0643       0.000       0.025       0.027       0.299       0.003       0.119      40.632        0.04       9064.    0.4105  
        0.57      0.0629      0.0985      0.1022      0.0653       0.000       0.026       0.027       0.303       0.003       0.118      39.691        0.04       9072.    0.3993  
        0.85      0.0944      0.1442      0.1012      0.0662       0.000       0.026       0.026       0.308       0.003       0.117      38.730        0.04       9081.    0.3877  
        1.13      0.1258      0.1874      0.1001      0.0672       0.000       0.026       0.026       0.312       0.003       0.116      37.754        0.04       9092.    0.3758  
        1.42      0.1573      0.2281      0.0988      0.0681       0.000       0.027       0.026       0.316       0.003       0.114      36.767        0.04       9103.    0.3636  
        1.70      0.1888      0.2663      0.0973      0.0690       0.000       0.027       0.025       0.320       0.003       0.112      35.773        0.04       9116.    0.3511  
        1.98      0.2202      0.3021      0.0956      0.0697       0.000       0.027       0.025       0.324       0.003       0.110      34.776        0.04       9130.    0.3384  
        2.26      0.2517      0.3353      0.0937      0.0703       0.000       0.028       0.024       0.327       0.003       0.108      33.778        0.04       9145.    0.3253  
