         9.5x7N                   (95x7N.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1029      0.0619       0.000       0.024       0.027       0.288       0.003       0.119      42.110        0.04       9058.    0.4250  
        0.27      0.0303      0.0492      0.1020      0.0628       0.000       0.025       0.026       0.292       0.003       0.118      41.181        0.04       9065.    0.4139  
        0.54      0.0606      0.0961      0.1010      0.0637       0.000       0.025       0.026       0.296       0.003       0.117      40.229        0.04       9074.    0.4024  
        0.82      0.0909      0.1407      0.0999      0.0645       0.000       0.025       0.026       0.300       0.003       0.115      39.260        0.04       9083.    0.3905  
        1.09      0.1211      0.1829      0.0987      0.0654       0.000       0.026       0.026       0.304       0.003       0.114      38.278        0.04       9092.    0.3784  
        1.36      0.1514      0.2227      0.0973      0.0661       0.000       0.026       0.025       0.307       0.003       0.112      37.288        0.04       9103.    0.3659  
        1.63      0.1817      0.2601      0.0957      0.0668       0.000       0.026       0.025       0.310       0.003       0.110      36.291        0.04       9115.    0.3532  
        1.91      0.2120      0.2951      0.0938      0.0674       0.000       0.026       0.024       0.313       0.003       0.108      35.292        0.04       9128.    0.3402  
        2.18      0.2423      0.3277      0.0918      0.0679       0.000       0.027       0.024       0.315       0.003       0.106      34.292        0.04       9143.    0.3270  
        2.45      0.2726      0.3579      0.0895      0.0682       0.000       0.027       0.023       0.317       0.003       0.103      33.292        0.04       9158.    0.3135  
        2.72      0.3029      0.3857      0.0870      0.0683       0.000       0.027       0.023       0.317       0.003       0.100      32.291        0.04       9175.    0.2997  
        3.00      0.3331      0.4111      0.0842      0.0682       0.000       0.027       0.022       0.317       0.003       0.097      31.288        0.04       9192.    0.2857  
        3.27      0.3634      0.4340      0.0811      0.0679       0.000       0.027       0.021       0.315       0.003       0.094      30.281        0.04       9211.    0.2714  
        3.54      0.3937      0.4544      0.0778      0.0674       0.000       0.026       0.020       0.313       0.003       0.090      29.265        0.04       9232.    0.2568  
        3.81      0.4240      0.4722      0.0742      0.0666       0.000       0.026       0.019       0.309       0.003       0.086      28.235        0.04       9253.    0.2420  
        4.09      0.4543      0.4871      0.0703      0.0656       0.000       0.026       0.018       0.304       0.003       0.081      27.185        0.04       9276.    0.2268  
        4.36      0.4846      0.4989      0.0662      0.0643       0.000       0.025       0.017       0.299       0.003       0.076      26.108        0.04       9299.    0.2114  
        4.63      0.5149      0.5075      0.0619      0.0628       0.000       0.025       0.016       0.291       0.003       0.071      24.995        0.04       9324.    0.1957  
        4.90      0.5451      0.5125      0.0574      0.0610       0.000       0.024       0.015       0.283       0.003       0.066      23.837        0.04       9351.    0.1797  
        5.18      0.5754      0.5134      0.0527      0.0591       0.000       0.023       0.014       0.274       0.003       0.061      22.621        0.04       9378.    0.1634  
        5.45      0.6057      0.5097      0.0479      0.0569       0.000       0.022       0.012       0.264       0.003       0.055      21.334        0.04       9406.    0.1469  
        5.72      0.6360      0.5006      0.0430      0.0546       0.000       0.021       0.011       0.253       0.002       0.050      19.958        0.04       9436.    0.1302  
        5.99      0.6663      0.4853      0.0379      0.0521       0.000       0.020       0.010       0.242       0.002       0.044      18.470        0.04       9467.    0.1132  
        6.27      0.6966      0.4627      0.0328      0.0494       0.000       0.019       0.009       0.229       0.002       0.038      16.841        0.04       9499.    0.0960  
        6.54      0.7269      0.4310      0.0276      0.0465       0.000       0.018       0.007       0.216       0.002       0.032      15.035        0.04       9532.    0.0786  
        6.81      0.7571      0.3882      0.0223      0.0435       0.000       0.017       0.006       0.202       0.002       0.026      13.001        0.04       9567.    0.0611  
        7.08      0.7874      0.3313      0.0169      0.0403       0.000       0.016       0.004       0.187       0.002       0.020      10.668        0.04       9602.    0.0437  
        7.36      0.8177      0.2560      0.0116      0.0369       0.000       0.014       0.003       0.171       0.002       0.013       7.937        0.04       9639.    0.0268  
        7.63      0.8480      0.1560      0.0061      0.0334       0.000       0.013       0.002       0.155       0.001       0.007       4.663        0.04       9676.    0.0115  
        7.90      0.8783      0.0216      0.0007      0.0298       0.000       0.012       0.000       0.138       0.001       0.001       0.624        0.04       9715.    0.0005  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1035      0.0524       0.003       0.082       0.108       1.946       0.009       0.478      25.055        0.08      18116.    0.5074  
        0.57      0.0315      0.0607      0.1027      0.0534       0.003       0.084       0.107       1.983       0.009       0.474      24.388        0.08      18131.    0.4918  
        1.13      0.0631      0.1180      0.1017      0.0544       0.003       0.085       0.106       2.020       0.010       0.470      23.711        0.08      18148.    0.4759  
        1.70      0.0946      0.1718      0.1006      0.0554       0.003       0.087       0.104       2.057       0.010       0.464      23.028        0.08      18167.    0.4596  
        2.27      0.1261      0.2223      0.0993      0.0563       0.003       0.088       0.103       2.093       0.010       0.459      22.344        0.08      18188.    0.4431  
        2.84      0.1577      0.2694      0.0978      0.0572       0.003       0.090       0.102       2.126       0.010       0.452      21.662        0.08      18211.    0.4264  
        3.40      0.1892      0.3132      0.0961      0.0581       0.003       0.091       0.100       2.157       0.010       0.444      20.986        0.08      18237.    0.4095  
        3.97      0.2207      0.3537      0.0942      0.0588       0.003       0.092       0.098       2.184       0.010       0.435      20.316        0.08      18265.    0.3925  
        4.54      0.2523      0.3911      0.0921      0.0594       0.003       0.093       0.096       2.205       0.011       0.425      19.656        0.08      18295.    0.3753  
        5.11      0.2838      0.4255      0.0896      0.0598       0.003       0.094       0.093       2.221       0.011       0.414      19.006        0.08      18328.    0.3581  
        5.67      0.3153      0.4568      0.0869      0.0600       0.003       0.094       0.090       2.228       0.011       0.401      18.367        0.08      18364.    0.3408  
        6.24      0.3469      0.4853      0.0839      0.0600       0.003       0.094       0.087       2.228       0.011       0.387      17.737        0.08      18402.    0.3233  
        6.81      0.3784      0.5108      0.0806      0.0597       0.003       0.094       0.084       2.218       0.011       0.372      17.114        0.08      18442.    0.3058  
        7.38      0.4099      0.5334      0.0770      0.0592       0.003       0.093       0.080       2.198       0.010       0.356      16.498        0.08      18486.    0.2881  
        7.94      0.4415      0.5531      0.0731      0.0583       0.003       0.092       0.076       2.167       0.010       0.338      15.883        0.08      18532.    0.2703  
        8.51      0.4730      0.5696      0.0689      0.0572       0.003       0.090       0.072       2.126       0.010       0.318      15.267        0.08      18580.    0.2523  
        9.08      0.5045      0.5829      0.0645      0.0559       0.003       0.088       0.067       2.075       0.010       0.298      14.646        0.08      18631.    0.2341  
        9.65      0.5361      0.5925      0.0599      0.0542       0.003       0.085       0.062       2.013       0.010       0.277      14.014        0.08      18685.    0.2159  
       10.21      0.5676      0.5983      0.0551      0.0523       0.003       0.082       0.057       1.942       0.009       0.255      13.363        0.08      18741.    0.1974  
       10.78      0.5991      0.5995      0.0502      0.0501       0.002       0.079       0.052       1.862       0.009       0.232      12.686        0.08      18800.    0.1788  
       11.35      0.6307      0.5956      0.0451      0.0477       0.002       0.075       0.047       1.774       0.008       0.208      11.973        0.08      18862.    0.1600  
       11.91      0.6622      0.5855      0.0399      0.0451       0.002       0.071       0.041       1.676       0.008       0.184      11.209        0.08      18926.    0.1409  
       12.48      0.6937      0.5678      0.0346      0.0423       0.002       0.066       0.036       1.571       0.007       0.160      10.376        0.08      18992.    0.1215  
       13.05      0.7253      0.5406      0.0292      0.0392       0.002       0.062       0.030       1.457       0.007       0.135       9.449        0.08      19061.    0.1017  
       13.62      0.7568      0.5009      0.0238      0.0359       0.002       0.056       0.025       1.335       0.006       0.110       8.391        0.08      19132.    0.0814  
       14.18      0.7883      0.4443      0.0183      0.0324       0.002       0.051       0.019       1.205       0.006       0.084       7.145        0.08      19206.    0.0608  
       14.75      0.8199      0.3636      0.0128      0.0288       0.001       0.045       0.013       1.068       0.005       0.059       5.623        0.08      19283.    0.0400  
       15.32      0.8514      0.2468      0.0072      0.0249       0.001       0.039       0.007       0.925       0.004       0.033       3.675        0.08      19362.    0.0196  
       15.89      0.8829      0.0713      0.0017      0.0208       0.001       0.033       0.002       0.774       0.004       0.008       1.024        0.08      19442.    0.0026  
       16.45      0.9145                                                                                                                                                            
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1039      0.0484       0.008       0.171       0.243       6.071       0.019       1.079      18.129        0.11      27175.    0.5516  
        0.83      0.0309      0.0645      0.1030      0.0494       0.008       0.175       0.241       6.197       0.020       1.071      17.620        0.11      27197.    0.5340  
        1.67      0.0618      0.1252      0.1021      0.0504       0.008       0.178       0.239       6.324       0.020       1.061      17.107        0.11      27221.    0.5160  
        2.50      0.0927      0.1821      0.1010      0.0515       0.009       0.182       0.236       6.452       0.021       1.050      16.592        0.11      27249.    0.4979  
        3.34      0.1237      0.2353      0.0998      0.0525       0.009       0.185       0.233       6.576       0.021       1.037      16.079        0.11      27280.    0.4795  
        4.17      0.1546      0.2848      0.0984      0.0534       0.009       0.189       0.230       6.695       0.021       1.022      15.570        0.11      27314.    0.4610  
        5.01      0.1855      0.3307      0.0968      0.0543       0.009       0.192       0.226       6.806       0.022       1.006      15.068        0.11      27351.    0.4425  
        5.84      0.2164      0.3732      0.0949      0.0551       0.009       0.194       0.222       6.903       0.022       0.987      14.574        0.11      27391.    0.4239  
        6.68      0.2473      0.4123      0.0929      0.0557       0.009       0.197       0.217       6.985       0.022       0.965      14.090        0.11      27435.    0.4054  
        7.51      0.2782      0.4483      0.0906      0.0562       0.009       0.199       0.212       7.047       0.022       0.941      13.616        0.11      27483.    0.3868  
        8.34      0.3092      0.4811      0.0880      0.0565       0.010       0.200       0.205       7.085       0.023       0.914      13.154        0.11      27535.    0.3683  
        9.18      0.3401      0.5111      0.0851      0.0566       0.010       0.200       0.199       7.097       0.023       0.884      12.702        0.11      27590.    0.3498  
       10.01      0.3710      0.5381      0.0819      0.0565       0.009       0.199       0.191       7.080       0.023       0.851      12.260        0.11      27649.    0.3312  
       10.85      0.4019      0.5624      0.0785      0.0561       0.009       0.198       0.183       7.030       0.022       0.815      11.826        0.11      27712.    0.3127  
       11.68      0.4328      0.5837      0.0747      0.0554       0.009       0.196       0.175       6.946       0.022       0.776      11.399        0.11      27778.    0.2942  
       12.52      0.4637      0.6022      0.0707      0.0545       0.009       0.192       0.165       6.827       0.022       0.735      10.976        0.11      27848.    0.2755  
       13.35      0.4947      0.6178      0.0665      0.0532       0.009       0.188       0.155       6.672       0.021       0.691      10.555        0.11      27923.    0.2569  
       14.18      0.5256      0.6301      0.0620      0.0517       0.009       0.183       0.145       6.484       0.021       0.644      10.133        0.11      28000.    0.2382  
       15.02      0.5565      0.6390      0.0574      0.0500       0.008       0.176       0.134       6.264       0.020       0.596       9.705        0.11      28082.    0.2195  
       15.85      0.5874      0.6441      0.0526      0.0480       0.008       0.169       0.123       6.012       0.019       0.546       9.267        0.12      28167.    0.2006  
       16.69      0.6183      0.6447      0.0477      0.0457       0.008       0.161       0.111       5.730       0.018       0.495       8.813        0.12      28256.    0.1816  
       17.52      0.6492      0.6402      0.0426      0.0432       0.007       0.153       0.100       5.418       0.017       0.443       8.335        0.12      28349.    0.1624  
       18.36      0.6801      0.6295      0.0375      0.0405       0.007       0.143       0.088       5.077       0.016       0.389       7.822        0.12      28445.    0.1430  
       19.19      0.7111      0.6108      0.0323      0.0376       0.006       0.133       0.075       4.708       0.015       0.335       7.260        0.12      28544.    0.1231  
       20.03      0.7420      0.5819      0.0270      0.0344       0.006       0.121       0.063       4.310       0.014       0.280       6.629        0.12      28648.    0.1028  
       20.86      0.7729      0.5391      0.0216      0.0310       0.005       0.109       0.051       3.886       0.012       0.225       5.895        0.12      28755.    0.0818  
       21.69      0.8038      0.4762      0.0162      0.0274       0.005       0.097       0.038       3.436       0.011       0.169       5.007        0.12      28865.    0.0602  
       22.53      0.8347      0.3830      0.0108      0.0236       0.004       0.083       0.025       2.961       0.009       0.113       3.878        0.12      28979.    0.0381  
       23.36      0.8656      0.2396      0.0054      0.0197       0.003       0.069       0.013       2.464       0.008       0.057       2.339        0.12      29097.    0.0163  
       24.20      0.8966      0.0038      0.0001      0.0155       0.003       0.055       0.000       1.945       0.006       0.001       0.036        0.12      29217.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1041      0.0462       0.018       0.290       0.432      13.721       0.033       1.923      14.291        0.15      36232.    0.5804  
        1.14      0.0316      0.0690      0.1033      0.0472       0.019       0.297       0.429      14.032       0.033       1.908      13.864        0.15      36263.    0.5608  
        2.27      0.0631      0.1338      0.1023      0.0483       0.019       0.303       0.425      14.348       0.034       1.890      13.433        0.15      36297.    0.5409  
        3.41      0.0947      0.1943      0.1012      0.0493       0.020       0.310       0.420      14.665       0.035       1.870      13.003        0.15      36334.    0.5208  
        4.54      0.1263      0.2505      0.1000      0.0504       0.020       0.316       0.415      14.975       0.036       1.847      12.576        0.15      36376.    0.5005  
        5.68      0.1578      0.3026      0.0985      0.0514       0.020       0.323       0.409      15.270       0.036       1.820      12.154        0.15      36423.    0.4802  
        6.82      0.1894      0.3508      0.0969      0.0523       0.021       0.328       0.402      15.544       0.037       1.790      11.740        0.15      36474.    0.4599  
        7.95      0.2210      0.3951      0.0950      0.0531       0.021       0.334       0.394      15.787       0.038       1.755      11.334        0.15      36530.    0.4397  
