         9.625x3.75N              (9625x375N.dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0516      0.0299       0.000       0.013       0.014       0.148       0.001       0.063      43.248        0.04       5957.    0.3132  
        0.16      0.0178      0.0301      0.0506      0.0299       0.000       0.013       0.014       0.148       0.001       0.062      42.394        0.04       5959.    0.3042  
        0.32      0.0355      0.0590      0.0496      0.0299       0.000       0.013       0.014       0.148       0.001       0.060      41.510        0.04       5962.    0.2948  
        0.49      0.0533      0.0865      0.0486      0.0299       0.000       0.013       0.013       0.148       0.001       0.059      40.597        0.04       5965.    0.2852  
        0.65      0.0711      0.1126      0.0474      0.0299       0.000       0.013       0.013       0.148       0.001       0.058      39.656        0.04       5967.    0.2753  
        0.81      0.0889      0.1374      0.0462      0.0299       0.000       0.013       0.013       0.148       0.001       0.056      38.685        0.04       5970.    0.2652  
        0.97      0.1066      0.1606      0.0449      0.0299       0.000       0.013       0.012       0.148       0.001       0.055      37.684        0.04       5974.    0.2547  
        1.13      0.1244      0.1822      0.0436      0.0298       0.000       0.012       0.012       0.148       0.001       0.053      36.652        0.04       5977.    0.2440  
        1.30      0.1422      0.2022      0.0422      0.0297       0.000       0.012       0.012       0.147       0.001       0.051      35.588        0.04       5981.    0.2331  
        1.46      0.1599      0.2204      0.0407      0.0296       0.000       0.012       0.011       0.147       0.001       0.050      34.492        0.04       5985.    0.2220  
        1.62      0.1777      0.2369      0.0392      0.0294       0.000       0.012       0.011       0.146       0.001       0.048      33.362        0.04       5989.    0.2106  
        1.78      0.1955      0.2515      0.0376      0.0292       0.000       0.012       0.010       0.145       0.001       0.046      32.196        0.04       5993.    0.1991  
        1.94      0.2132      0.2641      0.0360      0.0290       0.000       0.012       0.010       0.144       0.001       0.044      30.992        0.04       5998.    0.1874  
        2.11      0.2310      0.2746      0.0342      0.0288       0.000       0.012       0.009       0.143       0.001       0.042      29.750        0.04       6002.    0.1755  
        2.27      0.2488      0.2830      0.0325      0.0285       0.000       0.012       0.009       0.142       0.001       0.040      28.465        0.04       6007.    0.1635  
        2.43      0.2666      0.2890      0.0306      0.0283       0.000       0.012       0.008       0.140       0.001       0.037      27.137        0.04       6013.    0.1515  
        2.59      0.2843      0.2927      0.0288      0.0279       0.000       0.012       0.008       0.139       0.001       0.035      25.760        0.04       6018.    0.1393  
        2.75      0.3021      0.2937      0.0268      0.0276       0.000       0.012       0.007       0.137       0.001       0.033      24.333        0.04       6024.    0.1271  
        2.92      0.3199      0.2921      0.0249      0.0272       0.000       0.011       0.007       0.135       0.001       0.030      22.850        0.04       6030.    0.1149  
        3.08      0.3376      0.2875      0.0228      0.0268       0.000       0.011       0.006       0.133       0.001       0.028      21.308        0.04       6036.    0.1027  
        3.24      0.3554      0.2798      0.0208      0.0264       0.000       0.011       0.006       0.131       0.001       0.025      19.700        0.04       6043.    0.0905  
        3.40      0.3732      0.2687      0.0187      0.0259       0.000       0.011       0.005       0.128       0.001       0.023      18.021        0.04       6050.    0.0785  
        3.56      0.3910      0.2541      0.0165      0.0254       0.000       0.011       0.005       0.126       0.001       0.020      16.264        0.04       6057.    0.0666  
        3.73      0.4087      0.2355      0.0143      0.0249       0.000       0.010       0.004       0.123       0.001       0.017      14.419        0.04       6065.    0.0550  
        3.89      0.4265      0.2127      0.0121      0.0243       0.000       0.010       0.003       0.121       0.001       0.015      12.479        0.04       6072.    0.0438  
        4.05      0.4443      0.1852      0.0099      0.0237       0.000       0.010       0.003       0.118       0.001       0.012      10.432        0.04       6080.    0.0331  
        4.21      0.4620      0.1526      0.0076      0.0231       0.000       0.010       0.002       0.114       0.001       0.009       8.267        0.04       6089.    0.0230  
        4.37      0.4798      0.1144      0.0054      0.0224       0.000       0.009       0.001       0.111       0.001       0.007       5.969        0.04       6097.    0.0139  
        4.54      0.4976      0.0700      0.0031      0.0217       0.000       0.009       0.001       0.108       0.001       0.004       3.523        0.04       6106.    0.0062  
        4.70      0.5154      0.0187      0.0008      0.0210       0.000       0.009       0.000       0.104       0.001       0.001       0.910        0.04       6115.    0.0008  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0520      0.0235       0.001       0.039       0.057       0.930       0.004       0.253      27.721        0.08      11914.    0.4029  
        0.34      0.0186      0.0404      0.0510      0.0236       0.001       0.039       0.056       0.934       0.004       0.248      27.079        0.08      11919.    0.3899  
        0.68      0.0373      0.0788      0.0499      0.0236       0.001       0.040       0.055       0.938       0.004       0.243      26.424        0.08      11924.    0.3765  
        1.02      0.0559      0.1152      0.0488      0.0237       0.001       0.040       0.053       0.940       0.004       0.237      25.758        0.08      11930.    0.3628  
        1.36      0.0746      0.1495      0.0476      0.0237       0.001       0.040       0.052       0.942       0.004       0.232      25.079        0.08      11936.    0.3489  
        1.70      0.0932      0.1817      0.0463      0.0238       0.001       0.040       0.051       0.943       0.005       0.225      24.389        0.08      11942.    0.3347  
        2.04      0.1119      0.2118      0.0450      0.0238       0.001       0.040       0.049       0.942       0.005       0.219      23.687        0.08      11949.    0.3204  
