         9x3N                     (9x3N.dat)                                                                                                                                        
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0527      0.0328       0.000       0.010       0.011       0.116       0.001       0.049      42.983        0.04       6114.    0.2943  
        0.14      0.0163      0.0256      0.0516      0.0328       0.000       0.010       0.011       0.116       0.001       0.048      42.086        0.04       6116.    0.2851  
        0.28      0.0326      0.0502      0.0505      0.0328       0.000       0.010       0.011       0.116       0.001       0.047      41.160        0.04       6118.    0.2757  
        0.42      0.0489      0.0735      0.0493      0.0328       0.000       0.010       0.010       0.116       0.001       0.046      40.207        0.04       6121.    0.2660  
        0.56      0.0652      0.0956      0.0480      0.0327       0.000       0.010       0.010       0.116       0.001       0.045      39.226        0.04       6124.    0.2562  
        0.69      0.0815      0.1164      0.0467      0.0327       0.000       0.010       0.010       0.116       0.001       0.043      38.216        0.04       6127.    0.2461  
        0.83      0.0978      0.1359      0.0453      0.0326       0.000       0.010       0.009       0.116       0.001       0.042      37.176        0.04       6130.    0.2359  
        0.97      0.1141      0.1540      0.0439      0.0325       0.000       0.010       0.009       0.115       0.001       0.041      36.107        0.04       6133.    0.2255  
        1.11      0.1305      0.1706      0.0424      0.0324       0.000       0.010       0.009       0.115       0.001       0.039      35.006        0.04       6136.    0.2149  
        1.25      0.1468      0.1857      0.0409      0.0323       0.000       0.010       0.009       0.114       0.001       0.038      33.873        0.04       6140.    0.2041  
        1.39      0.1631      0.1993      0.0393      0.0321       0.000       0.010       0.008       0.114       0.001       0.037      32.708        0.04       6144.    0.1933  
        1.53      0.1794      0.2112      0.0376      0.0320       0.000       0.010       0.008       0.113       0.001       0.035      31.508        0.04       6148.    0.1823  
        1.67      0.1957      0.2213      0.0360      0.0318       0.000       0.010       0.008       0.113       0.001       0.033      30.273        0.04       6152.    0.1711  
        1.81      0.2120      0.2297      0.0342      0.0316       0.000       0.009       0.007       0.112       0.001       0.032      29.001        0.04       6157.    0.1599  
        1.95      0.2283      0.2362      0.0324      0.0314       0.000       0.009       0.007       0.111       0.001       0.030      27.690        0.04       6161.    0.1487  
        2.08      0.2446      0.2407      0.0306      0.0311       0.000       0.009       0.006       0.110       0.001       0.028      26.339        0.04       6166.    0.1374  
        2.22      0.2609      0.2432      0.0287      0.0308       0.000       0.009       0.006       0.109       0.001       0.027      24.944        0.04       6171.    0.1260  
        2.36      0.2772      0.2435      0.0268      0.0305       0.000       0.009       0.006       0.108       0.001       0.025      23.505        0.04       6177.    0.1147  
        2.50      0.2935      0.2415      0.0248      0.0302       0.000       0.009       0.005       0.107       0.001       0.023      22.017        0.04       6182.    0.1035  
        2.64      0.3098      0.2371      0.0228      0.0299       0.000       0.009       0.005       0.106       0.001       0.021      20.478        0.04       6188.    0.0923  
        2.78      0.3261      0.2301      0.0208      0.0295       0.000       0.009       0.004       0.104       0.001       0.019      18.884        0.04       6194.    0.0812  
        2.92      0.3424      0.2205      0.0187      0.0291       0.000       0.009       0.004       0.103       0.001       0.017      17.230        0.04       6200.    0.0703  
        3.06      0.3588      0.2080      0.0166      0.0287       0.000       0.009       0.003       0.102       0.001       0.015      15.514        0.04       6207.    0.0596  
        3.20      0.3751      0.1924      0.0145      0.0282       0.000       0.008       0.003       0.100       0.001       0.013      13.729        0.04       6213.    0.0492  
        3.34      0.3914      0.1736      0.0123      0.0277       0.000       0.008       0.003       0.098       0.001       0.011      11.869        0.04       6220.    0.0392  
        3.47      0.4077      0.1512      0.0101      0.0272       0.000       0.008       0.002       0.096       0.001       0.009       9.929        0.04       6228.    0.0297  
        3.61      0.4240      0.1252      0.0079      0.0267       0.000       0.008       0.002       0.094       0.001       0.007       7.902        0.04       6235.    0.0209  
        3.75      0.4403      0.0951      0.0056      0.0261       0.000       0.008       0.001       0.092       0.001       0.005       5.780        0.04       6243.    0.0129  
        3.89      0.4566      0.0606      0.0034      0.0255       0.000       0.008       0.001       0.090       0.001       0.003       3.554        0.04       6251.    0.0062  
        4.03      0.4729      0.0214      0.0011      0.0249       0.000       0.007       0.000       0.088       0.001       0.001       1.213        0.04       6259.    0.0012  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0531      0.0255       0.001       0.031       0.044       0.722       0.003       0.198      27.903        0.07      12227.    0.3834  
        0.29      0.0167      0.0341      0.0520      0.0255       0.001       0.031       0.043       0.723       0.003       0.193      27.268        0.07      12232.    0.3707  
        0.57      0.0335      0.0666      0.0508      0.0255       0.001       0.031       0.042       0.724       0.003       0.189      26.619        0.07      12237.    0.3577  
        0.86      0.0502      0.0974      0.0496      0.0256       0.001       0.031       0.041       0.724       0.003       0.184      25.959        0.07      12242.    0.3446  
        1.14      0.0669      0.1265      0.0483      0.0255       0.001       0.031       0.040       0.724       0.003       0.180      25.285        0.07      12248.    0.3312  
        1.43      0.0837      0.1538      0.0469      0.0255       0.001       0.031       0.039       0.724       0.003       0.175      24.600        0.07      12254.    0.3177  
        1.71      0.1004      0.1793      0.0455      0.0255       0.001       0.031       0.038       0.722       0.003       0.169      23.901        0.07      12261.    0.3040  
        2.00      0.1171      0.2030      0.0440      0.0254       0.001       0.030       0.037       0.721       0.003       0.164      23.190        0.07      12267.    0.2902  
        2.28      0.1339      0.2247      0.0425      0.0253       0.001       0.030       0.036       0.718       0.003       0.158      22.465        0.07      12274.    0.2762  
        2.57      0.1506      0.2445      0.0410      0.0252       0.001       0.030       0.034       0.715       0.003       0.152      21.726        0.07      12282.    0.2622  
        2.85      0.1673      0.2622      0.0393      0.0251       0.001       0.030       0.033       0.711       0.003       0.146      20.972        0.07      12290.    0.2480  
        3.14      0.1841      0.2779      0.0376      0.0249       0.001       0.030       0.031       0.707       0.003       0.140      20.203        0.07      12298.    0.2337  
        3.42      0.2008      0.2914      0.0359      0.0248       0.001       0.030       0.030       0.702       0.003       0.134      19.417        0.07      12307.    0.2194  
        3.71      0.2175      0.3026      0.0341      0.0245       0.001       0.029       0.029       0.696       0.003       0.127      18.612        0.07      12316.    0.2050  
        3.99      0.2343      0.3114      0.0323      0.0243       0.001       0.029       0.027       0.689       0.003       0.120      17.788        0.07      12326.    0.1906  
        4.28      0.2510      0.3178      0.0304      0.0240       0.001       0.029       0.025       0.681       0.003       0.113      16.942        0.07      12336.    0.1761  
        4.56      0.2677      0.3215      0.0285      0.0237       0.001       0.028       0.024       0.672       0.003       0.106      16.072        0.07      12347.    0.1617  
        4.85      0.2845      0.3226      0.0265      0.0234       0.001       0.028       0.022       0.663       0.003       0.099      15.175        0.07      12358.    0.1473  
        5.13      0.3012      0.3207      0.0245      0.0230       0.001       0.028       0.020       0.652       0.003       0.091      14.247        0.07      12370.    0.1329  
        5.42      0.3179      0.3157      0.0224      0.0226       0.001       0.027       0.019       0.640       0.003       0.083      13.286        0.07      12382.    0.1186  
        5.70      0.3347      0.3073      0.0203      0.0221       0.001       0.027       0.017       0.628       0.003       0.076      12.286        0.07      12394.    0.1045  
        5.99      0.3514      0.2952      0.0182      0.0217       0.001       0.026       0.015       0.614       0.003       0.068      11.243        0.07      12407.    0.0904  
        6.28      0.3681      0.2792      0.0160      0.0211       0.001       0.025       0.013       0.599       0.003       0.060      10.149        0.07      12421.    0.0766  
        6.56      0.3849      0.2588      0.0138      0.0206       0.001       0.025       0.012       0.584       0.003       0.052       8.998        0.07      12435.    0.0631  
        6.85      0.4016      0.2335      0.0116      0.0200       0.001       0.024       0.010       0.567       0.003       0.043       7.780        0.07      12450.    0.0500  
        7.13      0.4183      0.2027      0.0094      0.0194       0.001       0.023       0.008       0.549       0.003       0.035       6.485        0.07      12465.    0.0375  
        7.42      0.4351      0.1658      0.0071      0.0187       0.001       0.022       0.006       0.530       0.003       0.027       5.100        0.07      12480.    0.0257  
        7.70      0.4518      0.1219      0.0049      0.0180       0.001       0.022       0.004       0.510       0.002       0.018       3.610        0.07      12497.    0.0150  
        7.99      0.4685      0.0699      0.0026      0.0172       0.001       0.021       0.002       0.489       0.002       0.010       1.996        0.07      12513.    0.0060  
        8.27      0.4853      0.0083      0.0003      0.0165       0.001       0.020       0.000       0.467       0.002       0.001       0.229        0.07      12531.    0.0002  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0533      0.0224       0.003       0.060       0.100       2.144       0.007       0.446      21.230        0.11      18341.    0.4384  
        0.44      0.0172      0.0399      0.0522      0.0225       0.003       0.061       0.098       2.149       0.007       0.437      20.714        0.11      18348.    0.4231  
        0.88      0.0344      0.0778      0.0509      0.0225       0.003       0.061       0.096       2.154       0.007       0.426      20.191        0.11      18356.    0.4076  
        1.32      0.0516      0.1137      0.0497      0.0225       0.003       0.061       0.093       2.156       0.007       0.416      19.661        0.11      18364.    0.3919  
        1.76      0.0688      0.1474      0.0483      0.0225       0.003       0.061       0.091       2.157       0.007       0.405      19.124        0.11      18373.    0.3760  
        2.20      0.0860      0.1790      0.0469      0.0225       0.003       0.061       0.088       2.156       0.007       0.393      18.581        0.11      18382.    0.3601  
        2.64      0.1032      0.2085      0.0455      0.0225       0.003       0.061       0.086       2.153       0.007       0.381      18.032        0.11      18392.    0.3440  
