         9x4.5MRF-RH              (9x45MRF-RH.dat)                                                                                                                                  
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1146      0.0546       0.000       0.016       0.024       0.193       0.002       0.107      56.170        0.04      10398.    0.5668  
        0.18      0.0217      0.0447      0.1127      0.0547       0.000       0.016       0.024       0.194       0.002       0.105      55.103        0.04      10405.    0.5514  
        0.37      0.0434      0.0876      0.1106      0.0548       0.000       0.016       0.023       0.194       0.002       0.103      54.031        0.04      10413.    0.5356  
        0.55      0.0651      0.1288      0.1084      0.0548       0.000       0.016       0.023       0.194       0.002       0.101      52.948        0.04      10421.    0.5196  
        0.74      0.0868      0.1682      0.1060      0.0547       0.000       0.016       0.022       0.194       0.002       0.099      51.858        0.04      10430.    0.5033  
        0.92      0.1085      0.2057      0.1035      0.0546       0.000       0.016       0.022       0.193       0.002       0.096      50.755        0.04      10439.    0.4867  
        1.11      0.1302      0.2415      0.1008      0.0543       0.000       0.016       0.021       0.193       0.002       0.094      49.638        0.04      10449.    0.4697  
        1.29      0.1519      0.2753      0.0979      0.0540       0.000       0.016       0.020       0.191       0.002       0.091      48.503        0.04      10460.    0.4525  
        1.48      0.1736      0.3070      0.0949      0.0536       0.000       0.016       0.020       0.190       0.002       0.088      47.342        0.04      10471.    0.4347  
        1.66      0.1953      0.3368      0.0917      0.0532       0.000       0.016       0.019       0.188       0.002       0.085      46.153        0.04      10483.    0.4166  
        1.85      0.2170      0.3643      0.0883      0.0526       0.000       0.016       0.018       0.186       0.002       0.082      44.930        0.04      10495.    0.3981  
        2.03      0.2387      0.3893      0.0848      0.0520       0.000       0.016       0.018       0.184       0.002       0.079      43.659        0.04      10508.    0.3789  
        2.22      0.2604      0.4119      0.0810      0.0512       0.000       0.015       0.017       0.182       0.002       0.075      42.336        0.04      10521.    0.3593  
        2.40      0.2821      0.4316      0.0771      0.0504       0.000       0.015       0.016       0.179       0.002       0.072      40.954        0.04      10535.    0.3391  
        2.59      0.3038      0.4484      0.0731      0.0495       0.000       0.015       0.015       0.176       0.002       0.068      39.504        0.04      10550.    0.3184  
        2.77      0.3255      0.4618      0.0689      0.0486       0.000       0.015       0.014       0.172       0.002       0.064      37.978        0.04      10565.    0.2973  
        2.96      0.3472      0.4717      0.0646      0.0476       0.000       0.014       0.014       0.169       0.002       0.060      36.366        0.04      10580.    0.2756  
        3.14      0.3689      0.4776      0.0602      0.0465       0.000       0.014       0.013       0.165       0.002       0.056      34.657        0.04      10597.    0.2535  
        3.33      0.3906      0.4792      0.0557      0.0454       0.000       0.014       0.012       0.161       0.002       0.052      32.838        0.04      10614.    0.2310  
        3.51      0.4123      0.4759      0.0510      0.0442       0.000       0.013       0.011       0.157       0.001       0.047      30.897        0.04      10631.    0.2080  
        3.70      0.4340      0.4673      0.0462      0.0429       0.000       0.013       0.010       0.152       0.001       0.043      28.819        0.04      10649.    0.1847  
        3.88      0.4557      0.4526      0.0413      0.0416       0.000       0.012       0.009       0.147       0.001       0.038      26.585        0.04      10668.    0.1611  
        4.07      0.4774      0.4312      0.0364      0.0403       0.000       0.012       0.008       0.143       0.001       0.034      24.177        0.04      10688.    0.1375  
        4.25      0.4991      0.4023      0.0313      0.0389       0.000       0.012       0.007       0.138       0.001       0.029      21.573        0.04      10708.    0.1138  
        4.44      0.5208      0.3648      0.0262      0.0374       0.000       0.011       0.005       0.133       0.001       0.024      18.747        0.04      10728.    0.0905  
        4.62      0.5425      0.3176      0.0210      0.0359       0.000       0.011       0.004       0.127       0.001       0.020      15.671        0.04      10749.    0.0677  
        4.81      0.5642      0.2595      0.0158      0.0344       0.000       0.010       0.003       0.122       0.001       0.015      12.312        0.04      10771.    0.0461  
        4.99      0.5859      0.1890      0.0106      0.0328       0.000       0.010       0.002       0.116       0.001       0.010       8.633        0.04      10794.    0.0265  
        5.18      0.6075      0.1043      0.0053      0.0311       0.000       0.009       0.001       0.110       0.001       0.005       4.593        0.04      10817.    0.0100  
        5.36      0.6292      0.0032      0.0001      0.0295       0.000       0.009       0.000       0.104       0.001       0.000       0.136        0.04      10840.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1149      0.0498       0.002       0.060       0.096       1.411       0.007       0.428      30.902        0.07      20795.    0.6246  
