         9x4.5R-RH                (9x45R-RH.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0639      0.0275       0.000       0.008       0.013       0.097       0.001       0.059      62.159        0.04       9685.    0.4683  
        0.14      0.0165      0.0377      0.0632      0.0276       0.000       0.008       0.013       0.098       0.001       0.059      61.182        0.04       9689.    0.4585  
        0.28      0.0330      0.0742      0.0624      0.0278       0.000       0.008       0.013       0.098       0.001       0.058      60.178        0.04       9693.    0.4483  
        0.42      0.0495      0.1094      0.0616      0.0279       0.000       0.008       0.013       0.099       0.001       0.057      59.148        0.04       9697.    0.4376  
        0.56      0.0660      0.1433      0.0607      0.0279       0.000       0.008       0.013       0.099       0.001       0.056      58.096        0.04       9701.    0.4265  
        0.70      0.0825      0.1758      0.0596      0.0280       0.000       0.008       0.012       0.099       0.001       0.055      57.022        0.04       9706.    0.4150  
        0.84      0.0990      0.2070      0.0584      0.0280       0.000       0.008       0.012       0.099       0.001       0.054      55.928        0.04       9711.    0.4031  
        0.98      0.1155      0.2366      0.0572      0.0279       0.000       0.008       0.012       0.099       0.001       0.053      54.813        0.04       9716.    0.3907  
        1.13      0.1321      0.2648      0.0557      0.0278       0.000       0.008       0.012       0.098       0.001       0.052      53.678        0.04       9722.    0.3778  
        1.27      0.1486      0.2915      0.0542      0.0276       0.000       0.008       0.011       0.098       0.001       0.050      52.522        0.04       9728.    0.3645  
        1.41      0.1651      0.3166      0.0525      0.0274       0.000       0.008       0.011       0.097       0.001       0.049      51.342        0.04       9734.    0.3508  
        1.55      0.1816      0.3401      0.0507      0.0271       0.000       0.008       0.011       0.096       0.001       0.047      50.135        0.04       9741.    0.3366  
        1.69      0.1981      0.3619      0.0488      0.0267       0.000       0.008       0.010       0.095       0.001       0.045      48.898        0.04       9748.    0.3219  
        1.83      0.2146      0.3818      0.0467      0.0262       0.000       0.008       0.010       0.093       0.001       0.043      47.624        0.04       9756.    0.3067  
        1.97      0.2311      0.3998      0.0445      0.0257       0.000       0.008       0.009       0.091       0.001       0.041      46.307        0.04       9763.    0.2911  
        2.11      0.2476      0.4157      0.0421      0.0251       0.000       0.008       0.009       0.089       0.001       0.039      44.938        0.04       9772.    0.2749  
        2.25      0.2641      0.4294      0.0397      0.0244       0.000       0.007       0.008       0.086       0.001       0.037      43.512        0.04       9780.    0.2584  
        2.39      0.2806      0.4406      0.0371      0.0237       0.000       0.007       0.008       0.084       0.001       0.035      42.020        0.04       9789.    0.2414  
        2.53      0.2971      0.4490      0.0345      0.0229       0.000       0.007       0.007       0.081       0.001       0.032      40.447        0.04       9798.    0.2241  
        2.67      0.3136      0.4544      0.0319      0.0220       0.000       0.007       0.007       0.078       0.001       0.030      38.778        0.04       9808.    0.2063  
        2.81      0.3301      0.4563      0.0291      0.0211       0.000       0.006       0.006       0.075       0.001       0.027      36.992        0.04       9817.    0.1881  
        2.95      0.3466      0.4541      0.0263      0.0201       0.000       0.006       0.005       0.071       0.001       0.024      35.061        0.04       9828.    0.1695  
        3.09      0.3631      0.4471      0.0234      0.0190       0.000       0.006       0.005       0.067       0.001       0.022      32.950        0.04       9838.    0.1503  
        3.24      0.3797      0.4342      0.0205      0.0179       0.000       0.005       0.004       0.063       0.001       0.019      30.609        0.04       9849.    0.1306  
        3.38      0.3962      0.4140      0.0175      0.0167       0.000       0.005       0.004       0.059       0.001       0.016      27.971        0.04       9860.    0.1103  
        3.52      0.4127      0.3846      0.0144      0.0155       0.000       0.005       0.003       0.055       0.001       0.013      24.942        0.04       9872.    0.0893  
        3.66      0.4292      0.3429      0.0113      0.0142       0.000       0.004       0.002       0.050       0.000       0.011      21.382        0.04       9884.    0.0679  
        3.80      0.4457      0.2844      0.0082      0.0128       0.000       0.004       0.002       0.045       0.000       0.008      17.078        0.04       9897.    0.0460  
        3.94      0.4622      0.2018      0.0050      0.0114       0.000       0.003       0.001       0.040       0.000       0.005      11.686        0.04       9909.    0.0246  
        4.08      0.4787      0.0819      0.0017      0.0099       0.000       0.003       0.000       0.035       0.000       0.002       4.580        0.04       9922.    0.0056  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
