         9x6-4                    (9x6-4.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1693      0.1217       0.001       0.036       0.035       0.431       0.004       0.157      37.242        0.04       8606.    0.4569  
        0.24      0.0282      0.0385      0.1667      0.1221       0.001       0.037       0.035       0.433       0.004       0.155      36.545        0.04       8615.    0.4448  
        0.48      0.0564      0.0755      0.1639      0.1224       0.001       0.037       0.034       0.434       0.004       0.152      35.833        0.04       8625.    0.4325  
        0.72      0.0846      0.1109      0.1609      0.1227       0.001       0.037       0.034       0.435       0.004       0.150      35.107        0.04       8635.    0.4198  
        0.96      0.1128      0.1448      0.1577      0.1228       0.001       0.037       0.033       0.435       0.004       0.147      34.368        0.04       8647.    0.4068  
        1.20      0.1410      0.1771      0.1542      0.1228       0.001       0.037       0.032       0.435       0.004       0.143      33.615        0.04       8659.    0.3935  
        1.44      0.1692      0.2076      0.1505      0.1226       0.001       0.037       0.031       0.435       0.004       0.140      32.848        0.04       8672.    0.3799  
        1.68      0.1974      0.2365      0.1466      0.1223       0.001       0.037       0.031       0.433       0.004       0.136      32.067        0.04       8685.    0.3660  
        1.92      0.2256      0.2635      0.1423      0.1218       0.001       0.036       0.030       0.432       0.004       0.132      31.270        0.04       8700.    0.3517  
        2.16      0.2537      0.2888      0.1379      0.1212       0.001       0.036       0.029       0.429       0.004       0.128      30.457        0.04       8715.    0.3371  
        2.40      0.2819      0.3121      0.1331      0.1203       0.001       0.036       0.028       0.426       0.004       0.124      29.624        0.04       8731.    0.3222  
        2.64      0.3101      0.3334      0.1281      0.1191       0.001       0.036       0.027       0.422       0.004       0.119      28.771        0.04       8748.    0.3069  
        2.88      0.3383      0.3526      0.1227      0.1178       0.001       0.035       0.026       0.417       0.004       0.114      27.893        0.04       8766.    0.2913  
        3.12      0.3665      0.3696      0.1172      0.1162       0.001       0.035       0.024       0.412       0.004       0.109      26.987        0.04       8784.    0.2754  
        3.36      0.3947      0.3842      0.1113      0.1144       0.001       0.034       0.023       0.405       0.004       0.104      26.048        0.04       8803.    0.2591  
        3.60      0.4229      0.3962      0.1052      0.1123       0.001       0.034       0.022       0.398       0.004       0.098      25.072        0.04       8823.    0.2424  
        3.84      0.4511      0.4054      0.0989      0.1100       0.001       0.033       0.021       0.390       0.004       0.092      24.052        0.04       8844.    0.2255  
        4.08      0.4793      0.4116      0.0923      0.1075       0.001       0.032       0.019       0.381       0.004       0.086      22.981        0.04       8866.    0.2082  
        4.33      0.5075      0.4144      0.0856      0.1048       0.000       0.031       0.018       0.372       0.004       0.080      21.852        0.04       8889.    0.1906  
        4.57      0.5357      0.4134      0.0787      0.1019       0.000       0.031       0.016       0.361       0.003       0.073      20.656        0.04       8913.    0.1727  
        4.81      0.5639      0.4083      0.0716      0.0988       0.000       0.030       0.015       0.350       0.003       0.067      19.380        0.04       8937.    0.1546  
        5.05      0.5921      0.3985      0.0643      0.0955       0.000       0.029       0.013       0.338       0.003       0.060      18.012        0.04       8962.    0.1361  
        5.29      0.6203      0.3832      0.0568      0.0920       0.000       0.028       0.012       0.326       0.003       0.053      16.536        0.04       8988.    0.1175  
        5.53      0.6485      0.3618      0.0492      0.0882       0.000       0.026       0.010       0.313       0.003       0.046      14.931        0.04       9015.    0.0988  
        5.77      0.6767      0.3330      0.0415      0.0843       0.000       0.025       0.009       0.299       0.003       0.039      13.171        0.04       9043.    0.0800  
        6.01      0.7049      0.2956      0.0336      0.0802       0.000       0.024       0.007       0.284       0.003       0.031      11.224        0.04       9072.    0.0613  
        6.25      0.7330      0.2478      0.0256      0.0758       0.000       0.023       0.005       0.269       0.003       0.024       9.049        0.04       9102.    0.0432  
        6.49      0.7612      0.1875      0.0175      0.0713       0.000       0.021       0.004       0.253       0.002       0.016       6.591        0.04       9132.    0.0260  
        6.73      0.7894      0.1114      0.0094      0.0665       0.000       0.020       0.002       0.236       0.002       0.009       3.778        0.04       9164.    0.0109  
        6.97      0.8176      0.0157      0.0012      0.0616       0.000       0.018       0.000       0.218       0.002       0.001       0.512        0.04       9196.    0.0005  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1709      0.1034       0.004       0.124       0.143       2.931       0.014       0.636      22.114        0.07      17211.    0.5450  
        0.49      0.0287      0.0464      0.1683      0.1040       0.004       0.125       0.141       2.948       0.014       0.626      21.652        0.07      17230.    0.5295  
        0.98      0.0574      0.0909      0.1654      0.1045       0.004       0.125       0.138       2.962       0.014       0.615      21.185        0.07      17250.    0.5138  
