         9x8.5                    (9x85.dat)                                                                                                                                        
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1308      0.0882       0.000       0.026       0.027       0.313       0.003       0.122      39.686        0.04      10331.    0.4279  
        0.32      0.0375      0.0544      0.1301      0.0897       0.000       0.027       0.027       0.318       0.003       0.121      38.817        0.04      10342.    0.4174  
        0.64      0.0750      0.1062      0.1294      0.0913       0.000       0.027       0.027       0.324       0.003       0.120      37.914        0.04      10355.    0.4066  
        0.96      0.1124      0.1554      0.1285      0.0930       0.000       0.028       0.027       0.330       0.003       0.120      36.983        0.04      10369.    0.3953  
        1.28      0.1499      0.2018      0.1275      0.0947       0.000       0.028       0.027       0.336       0.003       0.119      36.032        0.04      10385.    0.3836  
        1.60      0.1874      0.2455      0.1264      0.0965       0.000       0.029       0.026       0.342       0.003       0.118      35.066        0.04      10402.    0.3716  
        1.92      0.2249      0.2864      0.1250      0.0981       0.000       0.029       0.026       0.348       0.003       0.116      34.093        0.04      10422.    0.3593  
        2.24      0.2623      0.3246      0.1234      0.0997       0.000       0.030       0.026       0.353       0.003       0.115      33.119        0.04      10443.    0.3468  
        2.56      0.2998      0.3601      0.1214      0.1011       0.000       0.030       0.025       0.358       0.003       0.113      32.147        0.04      10467.    0.3340  
        2.87      0.3373      0.3930      0.1192      0.1023       0.000       0.031       0.025       0.362       0.003       0.111      31.183        0.04      10493.    0.3209  
        3.19      0.3748      0.4233      0.1166      0.1032       0.000       0.031       0.024       0.366       0.003       0.108      30.228        0.04      10521.    0.3077  
        3.51      0.4122      0.4510      0.1135      0.1038       0.000       0.031       0.024       0.368       0.004       0.106      29.284        0.04      10551.    0.2942  
        3.83      0.4497      0.4763      0.1101      0.1039       0.000       0.031       0.023       0.368       0.004       0.102      28.348        0.04      10583.    0.2804  
