         9x8E-3                   (9x8E-3.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2029      0.1288       0.001       0.039       0.042       0.456       0.004       0.189      42.160        0.04      10581.    0.5661  
        0.28      0.0332      0.0512      0.2008      0.1302       0.001       0.039       0.042       0.461       0.004       0.187      41.277        0.04      10595.    0.5514  
        0.57      0.0664      0.1002      0.1985      0.1316       0.001       0.039       0.042       0.466       0.004       0.185      40.384        0.04      10610.    0.5364  
        0.85      0.0997      0.1470      0.1960      0.1328       0.001       0.040       0.041       0.471       0.004       0.182      39.483        0.04      10627.    0.5211  
        1.13      0.1329      0.1915      0.1931      0.1340       0.001       0.040       0.040       0.475       0.005       0.180      38.578        0.04      10645.    0.5054  
        1.42      0.1661      0.2338      0.1900      0.1350       0.001       0.040       0.040       0.478       0.005       0.177      37.673        0.04      10664.    0.4895  
        1.70      0.1993      0.2738      0.1865      0.1358       0.001       0.041       0.039       0.481       0.005       0.173      36.769        0.04      10685.    0.4734  
        1.98      0.2325      0.3116      0.1826      0.1363       0.001       0.041       0.038       0.483       0.005       0.170      35.869        0.04      10707.    0.4570  
        2.26      0.2657      0.3473      0.1784      0.1365       0.001       0.041       0.037       0.484       0.005       0.166      34.975        0.04      10731.    0.4403  
        2.55      0.2990      0.3808      0.1736      0.1363       0.001       0.041       0.036       0.483       0.005       0.161      34.088        0.04      10756.    0.4234  
        2.83      0.3322      0.4122      0.1684      0.1357       0.001       0.041       0.035       0.481       0.005       0.157      33.208        0.04      10783.    0.4063  
        3.11      0.3654      0.4414      0.1627      0.1347       0.001       0.040       0.034       0.477       0.005       0.151      32.334        0.04      10811.    0.3888  
        3.40      0.3986      0.4686      0.1565      0.1332       0.001       0.040       0.033       0.472       0.005       0.146      31.461        0.04      10842.    0.3711  
        3.68      0.4318      0.4935      0.1499      0.1311       0.001       0.039       0.031       0.465       0.004       0.139      30.583        0.04      10873.    0.3529  
        3.96      0.4650      0.5160      0.1427      0.1286       0.001       0.039       0.030       0.456       0.004       0.133      29.694        0.04      10907.    0.3344  
        4.25      0.4983      0.5358      0.1351      0.1257       0.001       0.038       0.028       0.445       0.004       0.126      28.782        0.04      10942.    0.3154  
        4.53      0.5315      0.5528      0.1272      0.1223       0.001       0.037       0.027       0.433       0.004       0.118      27.837        0.04      10978.    0.2959  
        4.81      0.5647      0.5665      0.1188      0.1185       0.001       0.035       0.025       0.420       0.004       0.111      26.847        0.04      11016.    0.2759  
        5.10      0.5979      0.5764      0.1102      0.1143       0.001       0.034       0.023       0.405       0.004       0.102      25.799        0.04      11055.    0.2553  
        5.38      0.6311      0.5819      0.1012      0.1097       0.001       0.033       0.021       0.389       0.004       0.094      24.676        0.04      11096.    0.2340  
        5.66      0.6644      0.5824      0.0919      0.1048       0.000       0.031       0.019       0.371       0.004       0.085      23.461        0.04      11138.    0.2120  
        5.95      0.6976      0.5768      0.0824      0.0996       0.000       0.030       0.017       0.353       0.003       0.077      22.130        0.04      11182.    0.1893  
        6.23      0.7308      0.5639      0.0726      0.0941       0.000       0.028       0.015       0.333       0.003       0.068      20.653        0.04      11228.    0.1659  
        6.51      0.7640      0.5422      0.0626      0.0883       0.000       0.026       0.013       0.313       0.003       0.058      18.994        0.04      11274.    0.1417  
        6.79      0.7972      0.5094      0.0525      0.0821       0.000       0.025       0.011       0.291       0.003       0.049      17.102        0.04      11322.    0.1168  
        7.08      0.8304      0.4625      0.0422      0.0758       0.000       0.023       0.009       0.268       0.003       0.039      14.907        0.04      11372.    0.0913  
        7.36      0.8637      0.3973      0.0318      0.0691       0.000       0.021       0.007       0.245       0.002       0.030      12.312        0.04      11423.    0.0655  
        7.64      0.8969      0.3075      0.0214      0.0623       0.000       0.019       0.004       0.221       0.002       0.020       9.175        0.04      11475.    0.0400  
        7.93      0.9301      0.1835      0.0109      0.0553       0.000       0.017       0.002       0.196       0.002       0.010       5.280        0.04      11529.    0.0164  
        8.21      0.9633      0.0100      0.0005      0.0481       0.000       0.014       0.000       0.170       0.002       0.000       0.277        0.04      11585.    0.0002  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2039      0.1183       0.004       0.142       0.171       3.354       0.016       0.759      23.059        0.07      21162.    0.6208  
        0.57      0.0335      0.0565      0.2019      0.1199       0.005       0.144       0.169       3.399       0.016       0.751      22.529        0.07      21190.    0.6035  
        1.14      0.0671      0.1103      0.1996      0.1214       0.005       0.145       0.167       3.442       0.016       0.742      21.995        0.07      21221.    0.5859  
        1.72      0.1006      0.1614      0.1970      0.1229       0.005       0.147       0.165       3.483       0.017       0.733      21.460        0.07      21254.    0.5680  
