         5x4E-4                   (5x4E-4.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2777      0.2259       0.000       0.004       0.006       0.042       0.000       0.025      59.228        0.02       4046.    0.5169  
        0.14      0.0297      0.0360      0.2736      0.2260       0.000       0.004       0.005       0.042       0.000       0.024      58.328        0.02       4053.    0.5053  
        0.28      0.0595      0.0709      0.2692      0.2259       0.000       0.004       0.005       0.042       0.000       0.024      57.417        0.02       4059.    0.4934  
        0.42      0.0892      0.1046      0.2644      0.2255       0.000       0.004       0.005       0.042       0.000       0.023      56.496        0.02       4066.    0.4811  
        0.56      0.1189      0.1372      0.2593      0.2248       0.000       0.004       0.005       0.042       0.000       0.023      55.563        0.02       4074.    0.4686  
        0.70      0.1487      0.1685      0.2537      0.2238       0.000       0.004       0.005       0.042       0.000       0.022      54.618        0.02       4082.    0.4557  
        0.84      0.1784      0.1987      0.2478      0.2225       0.000       0.004       0.005       0.042       0.000       0.022      53.657        0.02       4090.    0.4424  
        0.99      0.2081      0.2276      0.2415      0.2208       0.000       0.004       0.005       0.041       0.000       0.021      52.675        0.02       4099.    0.4287  
        1.13      0.2378      0.2551      0.2347      0.2188       0.000       0.003       0.005       0.041       0.000       0.021      51.667        0.02       4108.    0.4145  
        1.27      0.2676      0.2812      0.2275      0.2165       0.000       0.003       0.005       0.041       0.000       0.020      50.627        0.02       4118.    0.3999  
        1.41      0.2973      0.3058      0.2199      0.2138       0.000       0.003       0.004       0.040       0.000       0.019      49.546        0.02       4128.    0.3848  
        1.55      0.3270      0.3287      0.2118      0.2108       0.000       0.003       0.004       0.040       0.000       0.019      48.414        0.02       4138.    0.3691  
        1.69      0.3568      0.3497      0.2034      0.2075       0.000       0.003       0.004       0.039       0.000       0.018      47.224        0.02       4149.    0.3528  
        1.83      0.3865      0.3688      0.1947      0.2040       0.000       0.003       0.004       0.038       0.000       0.017      45.964        0.02       4160.    0.3359  
        1.97      0.4162      0.3855      0.1855      0.2003       0.000       0.003       0.004       0.038       0.000       0.016      44.624        0.02       4172.    0.3183  
